linker,conformer_id,distance_A,Rg_A,energy_kcal_mol,mmff_status
Rigid alkynyl,31,9.604954240713694,3.296746426542595,-0.12237372006192626,0
Rigid alkynyl,32,9.604953888809769,3.2967463483090342,-0.12237371504362951,0
Rigid alkynyl,33,9.604954002808693,3.2967463897967715,-0.12237371837185121,0
Rigid alkynyl,34,9.604954422502566,3.2967465026185643,-0.1223737128407639,0
Rigid alkynyl,35,9.604954251980498,3.296746503988236,-0.12237367168635657,0
Rigid alkynyl,36,9.6049540127422,3.296746383652969,-0.12237371499820543,0
Rigid alkynyl,37,9.604953946242198,3.296746386354659,-0.12237371125791394,0
Rigid alkynyl,38,9.604953952886243,3.2967463932519485,-0.12237371737122386,0
Rigid alkynyl,39,9.604953926455249,3.296746350897574,-0.12237372010880157,0
Rigid alkynyl,40,9.604953946639876,3.296746377548398,-0.12237371678627165,0
Rigid alkynyl,41,9.604953804481932,3.2967463367111898,-0.12237371786525574,0
Rigid alkynyl,42,9.604953417980735,3.2967461626262122,-0.1223737189379753,0
Rigid alkynyl,43,9.604953927143766,3.2967463708830698,-0.12237371640681052,0
Rigid alkynyl,44,9.604954120120242,3.296746443107608,-0.12237371611323059,0
Rigid alkynyl,45,9.60495349418289,3.296746255609116,-0.1223737199760904,0
Rigid alkynyl,46,9.604953790127418,3.2967462826043223,-0.122373718382333,0
Rigid alkynyl,47,9.60495365733613,3.2967463225506255,-0.12237371758955183,0
Rigid alkynyl,48,9.60495333135008,3.29674622799466,-0.12237371236896073,0
Rigid alkynyl,49,9.604953991637064,3.296746384194824,-0.1223737163957894,0
Rigid alkynyl,50,9.604952936707148,3.296746066303483,-0.12237371700096678,0
Rigid alkynyl,51,9.6049537487387,3.2967463245496615,-0.12237371533664551,0
Rigid alkynyl,52,9.604954216059165,3.2967464855430215,-0.1223737165758861,0
Rigid alkynyl,53,9.604953972905035,3.2967463867398936,-0.1223737205730913,0
Rigid alkynyl,54,9.604953833433672,3.2967463567642947,-0.12237371779172142,0
Rigid alkynyl,55,9.604954156018309,3.2967464445149464,-0.12237371612238862,0
Rigid alkynyl,56,9.604953425499804,3.296746221961422,-0.12237371801333041,0
Rigid alkynyl,57,9.604953934505005,3.296746377246494,-0.1223737180318434,0
Rigid alkynyl,58,9.604953922661316,3.296746364884744,-0.12237371950774059,0
Rigid alkynyl,59,9.60495376888903,3.296746318894261,-0.12237371622291335,0
Rigid alkynyl,60,9.604954994571312,3.296746685140993,-0.12237371227261083,0
Rigid alkynyl,61,9.604953909010442,3.2967463376830874,-0.12237371926551695,0
Rigid alkynyl,62,9.604952931832436,3.2967460358673613,-0.12237368044935647,0
Rigid alkynyl,63,9.604953642370232,3.29674626691343,-0.12237370430866706,0
Rigid alkynyl,64,9.60495397165517,3.296746383698272,-0.12237371702637938,0
Rigid alkynyl,65,9.604954329194674,3.2967464479358703,-0.12237371861979549,0
Rigid alkynyl,66,9.604953883476878,3.296746311361586,-0.12237371246541077,0
Rigid alkynyl,67,9.604953821520398,3.2967463543388122,-0.12237369857642268,0
Rigid alkynyl,68,9.604953743596601,3.296746286740141,-0.12237371607230028,0
Rigid alkynyl,69,9.604954658359318,3.296746647731366,-0.12237370910807882,0
Rigid alkynyl,70,9.604953875747745,3.296746350415272,-0.12237372048697993,0
Rigid alkynyl,71,9.604954301657077,3.2967465061484633,-0.12237367879255581,0
Rigid alkynyl,72,9.60495440621939,3.2967465170461083,-0.12237371456040234,0
Rigid alkynyl,73,9.604953928254961,3.296746361863209,-0.12237371574332422,0
Rigid alkynyl,74,9.604953659694074,3.29674630473438,-0.12237371599531319,0
Rigid alkynyl,75,9.604953771550395,3.2967463166525217,-0.12237371199745752,0
Rigid alkynyl,76,9.60495444524071,3.2967465215633402,-0.12237371014182982,0
Rigid alkynyl,77,9.604952971832981,3.2967461274308567,-0.12237370642422624,0
Rigid alkynyl,78,9.604954312198434,3.2967464911768567,-0.12237372039142266,0
Rigid alkynyl,79,9.60495379305603,3.2967463421411054,-0.12237371702557619,0
Rigid alkynyl,80,9.604953884698643,3.2967463446483274,-0.12237371611919662,0
Rigid alkynyl,81,9.604953209001346,3.2967462068652185,-0.12237371518697998,0
Rigid alkynyl,82,9.604953841573003,3.296746348868906,-0.12237372053670165,0
Rigid alkynyl,83,9.604953926726761,3.2967463779727253,-0.12237371840297595,0
Rigid alkynyl,84,9.60495391794283,3.2967463614737365,-0.12237371815989488,0
Rigid alkynyl,85,9.604953340344217,3.2967462774066467,-0.122373715479954,0
Rigid alkynyl,86,9.604953856729129,3.2967463241332475,-0.12237371286993404,0
