alpha,P_total_nM,time_h,target_fraction,degradation_pct
10.0,0.3981071705534973,10.75,0.9558346054373534,4.4165394562646565
10.0,0.3981071705534973,11.0,0.9548098482016674,4.519015179833263
10.0,0.3981071705534973,11.25,0.9537852004805134,4.621479951948659
10.0,0.3981071705534973,11.5,0.9527606624748148,4.7239337525185165
10.0,0.3981071705534973,11.75,0.9517362343860243,4.826376561397572
10.0,0.3981071705534973,12.0,0.9507119164161262,4.928808358387382
10.0,0.3981071705534973,12.25,0.949687708767638,5.031229123236203
10.0,0.3981071705534973,12.5,0.9486636116436126,5.1336388356387435
10.0,0.3981071705534973,12.75,0.9476396252476396,5.236037475236044
10.0,0.3981071705534973,13.0,0.9466157497838472,5.338425021615278
10.0,0.3981071705534973,13.25,0.9455919854569047,5.440801454309529
10.0,0.3981071705534973,13.5,0.9445683324720232,5.54316675279768
10.0,0.3981071705534973,13.75,0.9435447910349586,5.6455208965041415
10.0,0.3981071705534973,14.0,0.9425213613520126,5.747863864798742
10.0,0.3981071705534973,14.25,0.9414980436300348,5.850195636996524
10.0,0.3981071705534973,14.5,0.9404748380764248,5.952516192357516
10.0,0.3981071705534973,14.75,0.9394517448991341,6.054825510086593
10.0,0.3981071705534973,15.0,0.9384287643066674,6.157123569333256
10.0,0.3981071705534973,15.25,0.9374058965080851,6.259410349191485
10.0,0.3981071705534973,15.5,0.9363831417130051,6.361685828699493
10.0,0.3981071705534973,15.75,0.9353605001316042,6.463949986839578
10.0,0.3981071705534973,16.0,0.9343379719746208,6.566202802537924
10.0,0.3981071705534973,16.25,0.9333155574533563,6.668444254664374
10.0,0.3981071705534973,16.5,0.9322932567796769,6.770674322032311
10.0,0.3981071705534973,16.75,0.9312710701660162,6.872892983398382
10.0,0.3981071705534973,17.0,0.9302489978253766,6.975100217462337
10.0,0.3981071705534973,17.25,0.9292270399713312,7.077296002866884
10.0,0.3981071705534973,17.5,0.928205196818026,7.179480318197395
10.0,0.3981071705534973,17.75,0.9271834685801822,7.281653141981781
10.0,0.3981071705534973,18.0,0.9261618554730972,7.3838144526902845
10.0,0.3981071705534973,18.25,0.9251403577126475,7.485964228735254
10.0,0.3981071705534973,18.5,0.9241189755152904,7.588102448470957
10.0,0.3981071705534973,18.75,0.923097709098066,7.690229090193402
10.0,0.3981071705534973,19.0,0.9220765586785991,7.792344132140094
10.0,0.3981071705534973,19.25,0.9210555244751012,7.894447552489881
10.0,0.3981071705534973,19.5,0.9200346067063728,7.996539329362717
10.0,0.3981071705534973,19.75,0.9190138055918053,8.098619440819466
10.0,0.3981071705534973,20.0,0.9179931213513829,8.200687864861711
10.0,0.3981071705534973,20.25,0.9169725542056847,8.30274457943153
10.0,0.3981071705534973,20.5,0.9159521043758869,8.404789562411308
10.0,0.3981071705534973,20.75,0.914931772083765,8.506822791623502
10.0,0.3981071705534973,21.0,0.9139115575516953,8.608844244830472
10.0,0.3981071705534973,21.25,0.9128914610026575,8.71085389973425
10.0,0.3981071705534973,21.5,0.911871482660237,8.812851733976302
10.0,0.3981071705534973,21.75,0.9108516227486261,8.914837725137392
10.0,0.3981071705534973,22.0,0.909831881492627,9.016811850737305
10.0,0.3981071705534973,22.25,0.9088122591176534,9.11877408823466
10.0,0.3981071705534973,22.5,0.9077927558497332,9.220724415026682
10.0,0.3981071705534973,22.75,0.9067733719155098,9.322662808449023
10.0,0.3981071705534973,23.0,0.9057541075422451,9.424589245775493
10.0,0.3981071705534973,23.25,0.9047349629578209,9.526503704217914
10.0,0.3981071705534973,23.5,0.9037159383907418,9.628406160925817
10.0,0.3981071705534973,23.75,0.9026970340701368,9.73029659298632
10.0,0.3981071705534973,24.0,0.9016782502257618,9.832174977423824
10.0,0.4466835921509635,0.0,1.0,0.0
10.0,0.4466835921509635,0.25,0.998850003567987,0.11499964320129674
10.0,0.4466835921509635,0.5,0.9977001332591924,0.22998667408076212
10.0,0.4466835921509635,0.75,0.9965503893238276,0.3449610676172443
10.0,0.4466835921509635,1.0,0.995400772012819,0.45992279871810426
10.0,0.4466835921509635,1.25,0.9942512815778111,0.5748718422188936
10.0,0.4466835921509635,1.5,0.9931019182711682,0.6898081728831773
10.0,0.4466835921509635,1.75,0.991952682345978,0.8047317654022001
10.0,0.4466835921509635,2.0,0.9908035740560538,0.9196425943946207
10.0,0.4466835921509635,2.25,0.989654593655937,1.0345406344063002
10.0,0.4466835921509635,2.5,0.9885057414009002,1.1494258599099805
10.0,0.4466835921509635,2.75,0.9873570175469496,1.26429824530504
10.0,0.4466835921509635,3.0,0.9862084223508282,1.3791577649171827
10.0,0.4466835921509635,3.25,0.9850599560700175,1.4940043929982494
10.0,0.4466835921509635,3.5,0.9839116189627416,1.6088381037258404
10.0,0.4466835921509635,3.75,0.9827634112879688,1.7236588712031153
10.0,0.4466835921509635,4.0,0.981615333305415,1.838466669458505
10.0,0.4466835921509635,4.25,0.980467385275546,1.9532614724454
10.0,0.4466835921509635,4.5,0.979319567459581,2.068043254041896
10.0,0.4466835921509635,4.75,0.9781718801194946,2.182811988050537
10.0,0.4466835921509635,5.0,0.9770243235180203,2.2975676481979734
10.0,0.4466835921509635,5.25,0.9758768979186526,2.412310208134738
10.0,0.4466835921509635,5.5,0.9747296035856505,2.527039641434947
10.0,0.4466835921509635,5.75,0.9735824407840401,2.6417559215959896
10.0,0.4466835921509635,6.0,0.9724354097796173,2.756459022038271
10.0,0.4466835921509635,6.25,0.9712885108389508,2.8711489161049153
10.0,0.4466835921509635,6.5,0.9701417442293853,2.985825577061474
10.0,0.4466835921509635,6.75,0.9689951102190438,3.100488978095617
10.0,0.4466835921509635,7.0,0.9678486090768309,3.21513909231691
10.0,0.4466835921509635,7.25,0.9667022410724356,3.329775892756437
10.0,0.4466835921509635,7.5,0.9655560064763345,3.444399352366545
10.0,0.4466835921509635,7.75,0.9644099055597943,3.5590094440205666
