formulation,absorption_enabled,time_h,undissolved_mg,dissolved_mg,precipitated_mg,absorbed_mg,growth_site_activation,free_concentration_mg_ml
amorphous,True,0.9583333333333334,10.944643291453136,32.343304967649864,45.50882686533133,11.203224875565672,3.951227074264276,0.03593700551961096
amorphous,True,0.9666666666666667,10.595581689329576,32.00034587564054,46.1204184923256,11.283653942704287,3.964514557522828,0.03555593986182282
amorphous,True,0.975,10.252025493121138,31.65978209823451,46.724963807457094,11.363228601187258,3.9771499123155083,0.03517753566470501
amorphous,True,0.9833333333333333,9.914038562284723,31.321635382840064,47.322371187325366,11.441954867549844,3.9891511885097763,0.03480181709204452
amorphous,True,0.9916666666666667,9.58168146412442,30.985922577424873,47.91255715196628,11.519838806484424,4.000536500231682,0.03442880286380542
amorphous,True,1.0,9.25501141036318,30.652656040693945,48.495446029834966,11.596886519107905,4.011324006021755,0.03405850671188216
amorphous,True,1.0083333333333333,8.93408220074218,30.321844036340472,49.07096963068262,11.673104132234727,4.021531889880819,0.03369093781815608
amorphous,True,1.0166666666666666,8.618944173152917,29.993491111470004,49.63906692676146,11.748497788615621,4.031178343098883,0.03332610123496667
amorphous,True,1.025,8.309644159825675,29.667598459366637,50.19968374270484,11.823073638102844,4.040281546759903,0.03296399828818515
amorphous,True,1.0333333333333332,8.006225449116071,29.344164266832607,50.75277245434832,11.896837829702998,4.048859654815325,0.032604626963147344
amorphous,True,1.0416666666666667,7.708727752450261,29.023184046385044,51.298291696685524,11.969796504479168,4.056930777619853,0.03224798227376116
amorphous,True,1.05,7.417187176009526,28.70465095363722,51.836206081088235,12.041955789265016,4.064512965824172,0.03189405661515247
amorphous,True,1.0583333333333333,7.1316361967535435,28.388556090230136,52.36648592186219,12.113321791154124,4.071624194520968,0.03154284010025571
amorphous,True,1.0666666666666667,6.852103642402778,28.074888792708048,52.88910697216009,12.183900592729078,4.078282347543147,0.03119432088078672
amorphous,True,1.075,6.578614675019201,27.763636907756215,53.40405016922904,12.253698247995537,4.0845052018161345,0.03084848545306246
amorphous,True,1.0833333333333333,6.311190777844879,27.454787054235272,53.91130138893198,12.322720778987856,4.090310411670106,0.030505318949150304
amorphous,True,1.0916666666666666,6.049849745077653,27.148324872457497,54.41085120945112,12.390974173013726,4.09571549302275,0.03016480541384166
amorphous,True,1.1,5.794605674282,26.844235261157557,54.90269468405392,12.45846438050652,4.100737807348866,0.02982692806795284
amorphous,True,1.1083333333333334,5.545468961153091,26.542502602609268,55.38683112278245,12.525197313455182,4.105394545359933,0.029491669558454742
amorphous,True,1.1166666666666667,5.302446296369857,26.243110976338826,55.86326388290876,12.591178844382542,4.109702710324732,0.02915901219593203
amorphous,True,1.125,5.065540664292043,25.94604436187584,56.332000167987985,12.65641480584412,4.113679100971403,0.028828938179862044
