route,I_over_Ki,time_h,blood,liver,gut_depot,kidney,brain,lung,rest,metabolic_loss_mg,urinary_loss_mg,fecal_biliary_loss_mg,plasma_AUC_mg_h_l,hepatocyte_mg,renal_cell_mg,enterocyte_mg
IV,10.0,77.7,0.6134823077374134,0.5968748175047599,0.0,0.08897125813992302,1.07654171524749,0.056785455417949555,46.91785698715602,3.327015915529927,29.11929573067736,18.151663016552025,14.329457006127168,0.03636573693984105,0.015147060841215693,0.0
IV,10.0,77.80000000000001,0.6129295676765499,0.5963369371781633,0.0,0.08889099442704604,1.0755718101040224,0.05673429243248363,46.87560947942245,3.329811975042059,29.145099689165406,18.167550905136256,14.34172112153262,0.03633183475837087,0.01513251640112344,0.0
IV,10.0,77.9,0.6123773123245756,0.5957995287153389,0.0,0.08881080127349192,1.0746027554105635,0.05668317431284249,46.83339897631049,3.3326054282957833,29.170881306944132,18.18342476734524,14.353974188292298,0.036297964396636254,0.01511798641483676,0.0
IV,10.0,78.0,0.6118255412853416,0.5952625917303148,0.0,0.0887306786213098,1.0736345504721816,0.05663210102235772,46.79122544764728,3.335396277690472,29.196640601800034,18.19928461478239,14.366216215933145,0.036264125824889894,0.015103470867366164,0.0
IV,10.0,78.10000000000001,0.6112742541626998,0.5947261258371194,0.0,0.08865062641254887,1.0726671945939454,0.0565810725243609,46.749088863259956,3.3381845256254983,29.222377591519596,18.2151304590511,14.378447213982106,0.03623031901338449,0.015088969743722164,0.0
IV,10.0,78.2,0.6107234505605017,0.594190130649781,0.0,0.08857064458925834,1.0717006870809231,0.056530088782183636,46.70698919297568,3.3409701745002334,29.2480922938893,18.230962311754784,14.390667191966118,0.03619654393237277,0.015074483028915278,0.0
IV,10.0,78.30000000000001,0.6101731300825988,0.5936546057823279,0.0,0.08849073309348734,1.0707350272381835,0.05647914975915752,46.664926406621596,3.3437532267140506,29.27378472669563,18.24678018449684,14.40287615941213,0.03616280055210742,0.015060010707956014,0.0
IV,10.0,78.4,0.6096232923328428,0.5931195508487883,0.0,0.08841089186728512,1.069770214370795,0.05642825541861415,46.62290047402485,3.346533684666321,29.29945490772507,18.262584088880672,14.41507412584708,0.036129088842841155,0.015045552765854892,0.0
IV,10.0,78.5,0.6090739369150855,0.5925849654631907,0.0,0.08833112085270083,1.0688062477838258,0.0563774057238851,46.58091136501259,3.349311550756418,29.325102854764104,18.27837403650969,14.427261100797908,0.036095408774826684,0.015031109187622422,0.0
IV,10.0,78.60000000000001,0.608525063433178,0.5920508492395631,0.0,0.08825141999178361,1.0678431267823447,0.05632660063830198,46.53895904941196,3.3520868273837134,29.35072858559922,18.29415003898729,14.439437093791565,0.03606176031831671,0.015016679958269118,0.0
IV,10.0,78.7,0.6079766714909725,0.5915172017919341,0.0,0.08817178922658271,1.06688085067142,0.05627584012519638,46.4970434970501,3.3548595169475792,29.376332118016894,18.309912107916883,14.451602114354985,0.03602814344356394,0.015002265062805498,0.0
IV,10.0,78.80000000000001,0.60742876069232,0.5909840227343318,0.0,0.08809222849914727,1.0659194187561203,0.05622512414789989,46.45516467775417,3.357629621847389,29.40191346980362,18.325660254901873,14.463756172015117,0.03599455812082108,0.01498786448624207,0.0
IV,10.0,78.9,0.6068813306410724,0.5904513116807846,0.0,0.0880127377515265,1.064958830341514,0.05617445266974411,46.413322561351315,3.360397144482513,29.427472658745874,18.341394491545664,14.475899276298898,0.035961004320340835,0.014973478213589351,0.0
IV,10.0,79.0,0.6063343809410814,0.5899190682453207,0.0,0.08793331692576957,1.06399908473267,0.05612382565406062,46.37151711766868,3.363162087252325,29.45300970263014,18.357114829451653,14.488031436733273,0.035927482012375916,0.014959106229857855,0.0
IV,10.0,79.10000000000001,0.6057879111961983,0.5893872920419683,0.0,0.08785396596392564,1.063040181234656,0.05607324306418102,46.32974831653341,3.365924452556197,29.47852461924291,18.372821280223256,14.500152662845187,0.03589399116717902,0.014944748520058093,0.0
IV,10.0,79.2,0.6052419210102751,0.588855982684756,0.0,0.08777468480804393,1.062082119152541,0.05602270486343691,46.28801612777266,3.3686842427935013,29.504017426370662,18.388513855463867,14.512262964161577,0.03586053175500287,0.014930405069200584,0.0
IV,10.0,79.30000000000001,0.6046964099871629,0.5883251397877118,0.0,0.0876954734001736,1.0611248977913932,0.055972211015159874,46.246320521213555,3.3714414603636103,29.529488141799884,18.4041925667769,14.52436235020939,0.03582710374610015,0.014916075862295836,0.0
IV,10.0,79.4,0.6041513777307137,0.5877947629648642,0.0,0.08761633168236384,1.0601685164562815,0.05592176148268151,46.20466146668326,3.3741961076658957,29.554936783317054,18.41985742576575,14.536450830515566,0.035793707110723584,0.014901760884354368,0.0
IV,10.0,79.5,0.6036068238447789,0.5872648518302415,0.0,0.08753725959666382,1.059212974452274,0.05587135622933341,46.16303893400893,3.37694818709973,29.580363368708657,18.435508444033825,14.548528414607048,0.03576034181912588,0.014887460120386692,0.0
IV,10.0,79.60000000000001,0.6030627479332101,0.5867354059978717,0.0,0.08745825708512274,1.0582582710844393,0.05582099521844716,46.12145289301769,3.3796977010644866,29.605767915761184,18.45114563318453,14.56059511201078,0.03572700784155973,0.014873173555403319,0.0
IV,10.0,79.7,0.602519149599859,0.5862064250817833,0.0,0.08737932408978978,1.0573044056578458,0.05577067841335437,46.079903313536704,3.382444651959536,29.631150442261113,18.46676900482127,14.572650932253701,0.03569370514827785,0.014858901174414768,0.0
IV,10.0,79.80000000000001,0.601976028448577,0.5856779086960047,0.0,0.0873004605527141,1.0563513774775621,0.055720405777386614,46.0383901653931,3.385189042184252,29.656510965994933,18.48237857054745,14.584695884862759,0.03566043370953294,0.014844642962431548,0.0
IV,10.0,79.9,0.601433384083216,0.5851498564545641,0.0,0.0872216664159449,1.0553991858486569,0.0556701772738755,45.99691341841405,3.387930874138006,29.68184950474912,18.49797434196647,14.59672997936489,0.03562719349557771,0.014830398904464177,0.0
IV,10.0,80.0,0.6008912161076274,0.5846222679714898,0.0,0.08714294162153138,1.0544478300761981,0.055619992866152615,45.95547304242669,3.39067015022017,29.707166076310163,18.513556330681737,14.60875322528704,0.035593984476664876,0.014816168985523166,0.0
IV,10.0,80.10000000000001,0.6003495241256627,0.58409514286081,0.0,0.08706428611152268,1.0534973094652547,0.05556985251754954,45.914069007258156,3.3934068728301177,29.73246069846455,18.529124548296657,14.620765632156152,0.03556080662304713,0.014801953190619027,0.0
IV,10.0,80.2,0.5998083077411737,0.5835684807365531,0.0,0.08698569982796803,1.052547623320895,0.055519756191397894,45.87270128273561,3.39614104436722,29.75773338899876,18.54467900641463,14.632767209499168,0.03552765990497719,0.01478775150476228,0.0
IV,10.0,80.30000000000001,0.5992675665580118,0.5830422812127473,0.0,0.08690718271291656,1.0515987709481873,0.05546970385102925,45.83136983868619,3.3988726672308505,29.782984165699276,18.560219716639065,14.644757966843029,0.03549454429270775,0.014773563912963434,0.0
IV,10.0,80.4,0.5987273001800288,0.582516543903421,0.0,0.08682873470841751,1.0506507516522006,0.05541969545977521,45.79007464493706,3.40160174382038,29.808213046352584,18.57574669057336,14.656737913714679,0.03546145975649152,0.014759390400233005,0.0
IV,10.0,80.5,0.5981875082110762,0.5819912684226024,0.0,0.08675035575652001,1.0497035647380029,0.05536973098096736,45.74881567131534,3.4043282765351814,29.833420048745168,18.59125993982093,14.668707059641058,0.03542840626658122,0.014745230951581506,0.0
IV,10.0,80.60000000000001,0.5976481902550055,0.5814664543843199,0.0,0.08667204579927328,1.0487572095106625,0.0553198103779373,45.70759288764819,3.4070522677746276,29.858605190663518,18.606759475985168,14.680665414149113,0.03539538379322953,0.014731085552019449,0.0
IV,10.0,80.7,0.5971093459156684,0.5809421014026017,0.0,0.08659380477872647,1.0478116852752486,0.05526993361401662,45.66640626376276,3.40977371993809,29.88376848989411,18.622245310669484,14.692612986765782,0.03536239230668919,0.014716954186557354,0.0
IV,10.0,80.80000000000001,0.5965709747969166,0.5804182090914761,0.0,0.08651563263692878,1.0468669913368291,0.05522010065253691,45.62525576948619,3.412492635424942,29.90890996422343,18.637717455477283,14.704549787018012,0.03532943177721287,0.014702836840205725,0.0
IV,10.0,80.9,0.5960330765026015,0.5798947770649715,0.0,0.0864375293159294,1.0459231270004727,0.055170311456829775,45.58414137464564,3.4152090166345546,29.934029631437962,18.653175922011965,14.71647582443274,0.03529650217505331,0.014688733497975085,0.0
IV,10.0,81.0,0.5954956506365748,0.579371804937116,0.0,0.08635949475777752,1.044980091571248,0.05512056599022679,45.543063049068245,3.417922865966301,29.95912750932419,18.668620721876938,14.728391108536911,0.0352636034704632,0.014674644144875945,0.0
IV,10.0,81.10000000000001,0.594958696802688,0.5788492923219382,0.0,0.08628152890452227,1.044037884354223,0.05507086421605956,45.50202076258115,3.4206341858195533,29.9842036156686,18.684051866675606,14.74029564885747,0.03523073563369524,0.014660568765918817,0.0
IV,10.0,81.2,0.5944222146047928,0.578327238833466,0.0,0.0862036316982129,1.043096504654467,0.05502120609765968,45.46101448501151,3.423342978593683,30.009257968257675,18.69946936801137,14.752189454921355,0.035197898635002146,0.014646507346114217,0.0
IV,10.0,81.30000000000001,0.5938862036467407,0.577805644085728,0.0,0.08612580308089854,1.0421559517770473,0.05497159159835874,45.420044186186466,3.4260492466880637,30.0342905848779,18.71487323748764,14.764072536255513,0.03516509244463662,0.014632459870472654,0.0
IV,10.0,81.4,0.5933506635323835,0.5772845076927524,0.0,0.0860480429946284,1.0412162250270336,0.05492202068148833,45.37910983593317,3.428752992502067,30.059301483315757,18.730263486707816,14.775944902386883,0.03513231703285138,0.01461842632400465,0.0
IV,10.0,81.5,0.5928155938655726,0.5767638292685675,0.0,0.08597035138145166,1.0402773237094938,0.05487249331038005,45.33821140407877,3.4314542184350647,30.084290681357732,18.7456401272753,14.787806562842407,0.03509957236989912,0.014604406691720714,0.0
IV,10.0,81.60000000000001,0.5922809942501596,0.5762436084272016,0.0,0.08589272818341748,1.0393392471294962,0.054823009448365476,45.2973488604504,3.4341529268864304,30.10925819679031,18.761003170793504,14.799657527149032,0.03506685842603255,0.014590400958631358,0.0
IV,10.0,81.7,0.5917468644210918,0.575723844910529,0.0,0.0858151733619604,1.0384019948215752,0.05477356907091047,45.25652218482285,3.4368491192431887,30.134204041857636,18.776352624933956,14.811497801292182,0.03503417518321616,0.014576409117040494,0.0
IV,10.0,81.80000000000001,0.5912132040802257,0.5752045384282838,0.0,0.08573768687377029,1.0374655662620844,0.0547241721504179,45.215731354428186,3.4395427971485284,30.1591282302207,18.79168849837051,14.823327392158223,0.0350015226221167,0.014562431159123182,0.0
IV,10.0,81.9,0.5906800125655051,0.5746856883352526,0.0,0.08566026862164969,1.036529960290557,0.0546748186256068,45.17497631889943,3.4422339650552276,30.184030790917667,18.807010810686922,14.83514631646072,0.03496890069014923,0.014548467055983122,0.0
IV,10.0,82.0,0.5901472894934335,0.5741672942578153,0.0,0.08558291854951822,1.0355951762342468,0.054625508460979876,45.13425704902239,3.444922625264565,30.2089117412014,18.822319573107407,14.846954583384443,0.03493630935881477,0.014534516793378248,0.0
IV,10.0,82.10000000000001,0.5896150344805149,0.5736493558223518,0.0,0.0855056366012955,1.0346612134204074,0.05457624162103984,45.09357351558289,3.447608780077821,30.23377109832476,18.837614796856187,14.85875220211416,0.03490374859961432,0.0145205803570665,0.0
IV,10.0,82.2,0.5890832471432531,0.5731318726552422,0.0,0.08542842272090119,1.0337280711762928,0.05452701807028941,45.05292568936678,3.450292431796273,30.258608879540585,18.852896493157477,14.870539181834632,0.03487121838404891,0.014506657732805819,0.0
IV,10.0,82.30000000000001,0.5885519270981521,0.5726148443828666,0.0,0.0853512768522549,1.0327957488291573,0.054477837773231286,45.01231354115987,3.452973582721201,30.283425102101745,18.868164673235498,14.882315531730631,0.03483871868361954,0.014492748906354144,0.0
IV,10.0,82.4,0.5880210739617155,0.5720982706316047,0.0,0.08527419893927625,1.0318642457062546,0.05442870069436819,44.971737041748,3.455652235153884,30.30821978326108,18.883419348314465,14.894081260986923,0.03480624946982724,0.014478853863469417,0.0
IV,10.0,82.5,0.5874906873504475,0.5715821510278367,0.0,0.0851971889258849,1.0309335611348385,0.054379606798202834,44.931196161917,3.458328391395601,30.332992940271453,18.8986605296186,14.905836378788274,0.03477381071417301,0.014464972589909577,0.0
IV,10.0,82.60000000000001,0.5869607668808517,0.5710664851979425,0.0,0.08512024675600045,1.0300036944421627,0.05433055604923792,44.890690872452694,3.461002053747632,30.35774459038572,18.913888228372116,14.917580894319453,0.03474140238815786,0.014451105071432562,0.0
IV,10.0,82.7,0.586431312169432,0.5705512727683021,0.0,0.08504337237354256,1.0290746449554815,0.05428154841197618,44.85022114414092,3.463673224511254,30.38247475085673,18.929102455799235,14.929314816765224,0.03470902446328282,0.014437251293796314,0.0
IV,10.0,82.80000000000001,0.5859023228326923,0.5700365133652954,0.0,0.08496656572243083,1.0281464120020487,0.0542325838509203,44.80978694776749,3.466341905987748,30.407183438937338,18.944303223124177,14.941038155310357,0.034676676911048886,0.014423411242758769,0.0
IV,10.0,82.9,0.5853737984871364,0.5695222066153026,0.0,0.08488982674658492,1.0272189949091182,0.05418366233057302,44.769388254118255,3.4690081004783915,30.4318706718804,18.959490541571153,14.952750919139616,0.03464435970295709,0.01440958490407787,0.0
IV,10.0,83.0,0.5848457387492682,0.5690083521447036,0.0,0.08481315538992443,1.026292393003944,0.05413478381543703,44.729025033979035,3.4716718102844646,30.456536466938765,18.974664422364384,14.96445311743777,0.03461207281050843,0.014395772263511557,0.0
IV,10.0,83.10000000000001,0.5843181432355915,0.5684949495798782,0.0,0.08473655159636899,1.0253666056137796,0.05408594827001505,44.688697258135655,3.4743330377072468,30.481180841365298,18.989824876728093,14.976144759389586,0.03457981620520393,0.014381973306817767,0.0
IV,10.0,83.2,0.5837910115626102,0.5679819985472065,0.0,0.08466001530983826,1.0244416320658793,0.05403715565880979,44.64840489737395,3.4769917850480163,30.505803812412843,19.004971915886493,14.987825854179828,0.03454758985854461,0.014368188019754443,0.0
IV,10.0,83.30000000000001,0.5832643433468281,0.5674694986730686,0.0,0.08458354647425184,1.0235174716874968,0.05398840594632395,44.60814792247975,3.4796480546080524,30.53040539733426,19.020105551063804,14.999496410993268,0.034515393742031455,0.014354416388079523,0.0
IV,10.0,83.4,0.5827381382047492,0.5669574495838445,0.0,0.08450714503352938,1.0225941238058864,0.05393969909706028,44.56792630423889,3.482301848688634,30.5549856133824,19.035225793484244,15.011156439014668,0.034483227827165515,0.014340658397550948,0.0
IV,10.0,83.5,0.5822123957528772,0.566445850905914,0.0,0.0844308109315905,1.0216715877483016,0.053891035075521454,44.52774001343718,3.4849531695910407,30.579544477810117,19.050332654372028,15.022805947428797,0.03445109208544778,0.014326914033926658,0.0
