polymer,drug_loading,storage_K,RH_fraction,assumed_water_mass_fraction,dry_Tg_K,wet_Tg_K,Tg_minus_storage_K,heuristic_below_30K_margin,VFT_T0_K,VFT_domain_valid,log10_tau_s_hypothetical,log10_induction_h_hypothetical,shelf_life_status
Soluplus,0.1,313.15,0.75,0.02458056964494733,340.8482830953554,317.9256510615944,4.775651061594431,True,267.9256510615944,True,3.6895857824195524,6.133283281652265,not_calibrated_not_predictable
Soluplus,0.2,298.15,0.6,0.01602473994939556,338.5056373640706,323.25752464313,25.107524643130034,True,273.25752464313,True,18.138226051480714,20.581923550713427,not_calibrated_not_predictable
Soluplus,0.2,313.15,0.75,0.02229174814235432,338.5056373640706,317.78243928552115,4.632439285521173,True,267.78243928552115,True,3.6337450680852683,6.077442567317981,not_calibrated_not_predictable
Soluplus,0.3,298.15,0.6,0.014362151506617855,336.12096132646064,322.5308560965678,24.38085609656781,True,272.5308560965678,True,17.226648439756186,19.6703459389889,not_calibrated_not_predictable
Soluplus,0.3,313.15,0.75,0.0199921599372795,336.12096132646064,317.59796853580815,4.447968535808172,True,267.59796853580815,True,3.562334198615819,6.006031697848531,not_calibrated_not_predictable
Soluplus,0.5,298.15,0.6,0.011020062164453236,331.220911182464,320.91831911735426,22.76831911735428,True,270.91831911735426,True,15.377547550134015,17.821245049366727,not_calibrated_not_predictable
Soluplus,0.5,313.15,0.75,0.015360378101614808,331.220911182464,317.09546491879775,3.945464918797768,True,267.09546491879775,True,3.3707105845159333,5.814408083748646,not_calibrated_not_predictable
Eudragit L100,0.1,298.15,0.6,0.009424617213369938,447.77222659439803,433.6142896714559,135.4642896714559,False,383.6142896714559,False,,,not_calibrated_not_predictable
Eudragit L100,0.1,313.15,0.75,0.013144909801444758,447.77222659439803,428.30473147796545,115.15473147796547,False,378.30473147796545,False,,,not_calibrated_not_predictable
Eudragit L100,0.2,298.15,0.6,0.008667082082365605,428.95576941753257,416.68579057250594,118.53579057250596,False,366.68579057250594,False,,,not_calibrated_not_predictable
Eudragit L100,0.2,313.15,0.75,0.012091993993519325,428.95576941753257,412.06084566295937,98.91084566295939,False,362.06084566295937,False,,,not_calibrated_not_predictable
Eudragit L100,0.3,298.15,0.6,0.007908387425947447,411.52781024581634,400.9669833384688,102.81698333846884,False,350.9669833384688,False,,,not_calibrated_not_predictable
Eudragit L100,0.3,313.15,0.75,0.011036828988488468,411.52781024581634,396.96591233739,83.81591233739005,False,346.96591233739,False,,,not_calibrated_not_predictable
Eudragit L100,0.5,298.15,0.6,0.006387508871540099,380.2648748601422,372.6580102451205,74.50801024512054,False,322.6580102451205,False,,,not_calibrated_not_predictable
Eudragit L100,0.5,313.15,0.75,0.008919722497522299,380.2648748601422,369.7462917321935,56.59629173219355,False,319.7462917321935,False,,,not_calibrated_not_predictable
