id,concentration_M,kobs_ODE_fit_s,kobs_exact_s,kobs_rapid_equilibrium_s,kobs_QSSA_s,relative_fit_eigen_error,model
W04,5.108969774506935e-07,0.009919713098351352,0.009919713825864089,0.010095703270252937,0.009711875539904068,7.334009333170854e-08,forward-only clamped free inhibitor
W04,8.25404185268019e-07,0.012006942677610762,0.01200694344731403,0.012124387621195184,0.01177836216840165,6.410484665320126e-08,forward-only clamped free inhibitor
W04,1.333521432163324e-06,0.013779507447690352,0.0137795084256396,0.013846604566627792,0.013564902545200909,7.097127252553292e-08,forward-only clamped free inhibitor
W04,2.1544346900318865e-06,0.015147541690979968,0.015147542874497417,0.015181372446868027,0.014970392640972777,7.81326356946721e-08,forward-only clamped free inhibitor
W04,3.480700588428413e-06,0.016129112442806976,0.01612911320407036,0.016144664903685386,0.015996272673181527,4.7198092878453224e-08,forward-only clamped free inhibitor
W04,5.623413251903491e-06,0.01679795903877198,0.01679796000427909,0.016804664448728517,0.01670482509217627,5.747764086905249e-08,forward-only clamped free inhibitor
W04,9.085175756516881e-06,0.017238150987542507,0.017238151627230663,0.017240920760476876,0.017175732052354103,3.7108860095891316e-08,forward-only clamped free inhibitor
W04,1.4677992676220705e-05,0.01752136973027354,0.017521370473811304,0.01752248285600012,0.017480746076293425,4.243605056242217e-08,forward-only clamped free inhibitor
W04,2.3713737056616554e-05,0.017700975427186676,0.017700976003169694,0.017701415007425222,0.017675027517624675,3.253961922133897e-08,forward-only clamped free inhibitor
W04,3.831186849557293e-05,0.01781383844905592,0.017813839198229358,0.017814010527525338,0.017797459826702552,4.20556978131259e-08,forward-only clamped free inhibitor
W04,6.18965818891261e-05,0.017884356497238667,0.017884357437159562,0.017884423835439086,0.017874094738864504,5.255547463889343e-08,forward-only clamped free inhibitor
W04,0.0001,0.01792826036562008,0.01792826123204437,0.01792828685258964,0.017921860687402924,4.8327290613769947e-08,forward-only clamped free inhibitor
W05,1e-09,1.0376483525870693e-05,1.0376484018873521e-05,1.0652463382157126e-05,1.0376134889753569e-05,4.7511548917356095e-08,forward-only clamped free inhibitor
W05,1.6155980984398763e-09,1.6751198016088992e-05,1.6751198817166157e-05,1.7196003941666783e-05,1.6750289677101774e-05,4.782207962961138e-08,forward-only clamped free inhibitor
W05,2.6101572156825333e-09,2.7029263018225907e-05,2.702926434923723e-05,2.774511814019556e-05,2.7026900346109524e-05,4.924334262579322e-08,forward-only clamped free inhibitor
W05,4.216965034285823e-09,4.358011820540379e-05,4.358012012817153e-05,4.472946358711647e-05,4.3573987393563e-05,4.412029452893762e-08,forward-only clamped free inhibitor
W05,6.812920690579622e-09,7.017864109963806e-05,7.017864491965444e-05,7.201695958745463e-05,7.016279476425801e-05,5.443274631034001e-08,forward-only clamped free inhibitor
W05,1.1006941712522103e-08,0.0001127868753937804,0.00011278687959872781,0.00011570923847556792,0.00011274616011363041,3.7282239073732626e-08,forward-only clamped free inhibitor
W05,1.7782794100389228e-08,0.00018068935815569463,0.00018068936702794622,0.0001852898422525899,0.0001805857577348725,4.910223405651948e-08,forward-only clamped free inhibitor
W05,2.8729848333536684e-08,0.0002880149779182192,0.000288014988713103,0.000295145726287676,0.0002877553495062532,3.7480284875712755e-08,forward-only clamped free inhibitor
W05,4.641588833612782e-08,0.0004554611343014218,0.00045546114933313147,0.0004662477383076814,0.00045482591898817,3.300327522381963e-08,forward-only clamped free inhibitor
W05,7.498942093324559e-08,0.0007114654730278513,0.0007114655053494611,0.000727179467086169,0.0007099679032707773,4.542962317444221e-08,forward-only clamped free inhibitor
W05,1.21152765862859e-07,0.0010909436826200777,0.00109094373007643,0.0011125742405729234,0.0010876049135800216,4.350027493771336e-08,forward-only clamped free inhibitor
W05,1.9573417814876615e-07,0.001628296655978262,0.0016282967263069662,0.0016557225712781776,0.0016214331651715809,4.3191577536738635e-08,forward-only clamped free inhibitor
W05,3.162277660168379e-07,0.0023416175128882547,0.0023416176056607328,0.0023726845321103297,0.0023289978467513116,3.9618970215649085e-08,forward-only clamped free inhibitor
W05,5.108969774506935e-07,0.0032109934817756746,0.0032109936177888852,0.003241482764015408,0.003190870063367667,4.23586050679603e-08,forward-only clamped free inhibitor
W05,8.25404185268019e-07,0.004166106832787983,0.004166107036142091,0.004191453560865564,0.004138909464522212,4.881154180846892e-08,forward-only clamped free inhibitor
W05,1.333521432163324e-06,0.005102520024126393,0.005102520267150254,0.005120260004347453,0.005071577258110048,4.7628201160776484e-08,forward-only clamped free inhibitor
W05,2.1544346900318865e-06,0.00592360617193334,0.005923606488418553,0.0059341935211722294,0.005893609995464514,5.342779163530764e-08,forward-only clamped free inhibitor
