compound,time_h,plasma_unbound_uM,liver_unbound_uM,gut_proxy_uM,hep_CYP3A4,hep_CYP2D6,hep_CYP2C9,gut_CYP3A4,gut_CYP2D6,gut_CYP2C9
Amoxicillin,480.0,3.2478827317150104e-13,2.804939509331765e-13,3.2478827317150104e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,480.25,3.108204703001564e-13,2.6843106401000726e-13,3.108204703001564e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,480.5,2.9685266742881174e-13,2.56368177086838e-13,2.9685266742881174e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,480.75,2.828848645574671e-13,2.4430529016366864e-13,2.828848645574671e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,481.0,2.701270379156854e-13,2.332873640386565e-13,2.701270379156854e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,481.25,2.6021766485057274e-13,2.2472942204412962e-13,2.6021766485057274e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,481.5,2.503082917854601e-13,2.1617148004960273e-13,2.503082917854601e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,481.75,2.403989187203474e-13,2.076135380550759e-13,2.403989187203474e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,482.0,2.304895456552347e-13,1.99055596060549e-13,2.304895456552347e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,482.25,2.2058017259012203e-13,1.904976540660221e-13,2.2058017259012203e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,482.5,2.106707995250094e-13,1.8193971207149522e-13,2.106707995250094e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,482.75,2.0076142645989665e-13,1.7338177007696835e-13,2.0076142645989665e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,483.0,1.9170982845770382e-13,1.6556462058107732e-13,1.9170982845770382e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,483.25,1.8467755313826635e-13,1.5949140042094762e-13,1.8467755313826635e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,483.5,1.7764527781882893e-13,1.5341818026081793e-13,1.7764527781882893e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,483.75,1.7061300249939146e-13,1.473449601006882e-13,1.7061300249939146e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,484.0,1.6358072717995404e-13,1.412717399405585e-13,1.6358072717995404e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,484.25,1.5654845186051662e-13,1.3519851978042877e-13,1.5654845186051662e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,484.5,1.4951617654107915e-13,1.2912529962029905e-13,1.4951617654107915e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,484.75,1.424839012216417e-13,1.2305207946016933e-13,1.424839012216417e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,485.0,1.3606024767742383e-13,1.175044778043295e-13,1.3606024767742383e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,485.25,1.3106937506733124e-13,1.1319425575308621e-13,1.3106937506733124e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,485.5,1.2607850245723868e-13,1.088840337018429e-13,1.2607850245723868e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,485.75,1.210876298471461e-13,1.0457381165059961e-13,1.210876298471461e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,486.0,1.1609675723705354e-13,1.0026358959935628e-13,1.1609675723705354e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,486.25,1.1110588462696098e-13,9.595336754811298e-14,1.1110588462696098e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,486.5,1.061150120168684e-13,9.164314549686967e-14,1.061150120168684e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,486.75,1.0112413940677583e-13,8.733292344562637e-14,1.0112413940677583e-13,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,487.0,9.656519377799467e-14,8.339572257621219e-14,9.656519377799467e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,487.25,9.302306478140524e-14,8.033666583359479e-14,9.302306478140524e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,487.5,8.94809357848158e-14,7.727760909097739e-14,8.94809357848158e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,487.75,8.593880678822637e-14,7.421855234836e-14,8.593880678822637e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,488.0,8.239667779163691e-14,7.11594956057426e-14,8.239667779163691e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,488.25,7.885454879504747e-14,6.810043886312521e-14,7.885454879504747e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,488.5,7.531241979845802e-14,6.504138212050782e-14,7.531241979845802e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,488.75,7.177029080186858e-14,6.198232537789042e-14,7.177029080186858e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,489.0,6.853470667083783e-14,5.918800719753459e-14,6.853470667083783e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,489.25,6.602077210396878e-14,5.701692068581119e-14,6.602077210396878e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,489.5,6.350683753709975e-14,5.4845834174087794e-14,6.350683753709975e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,489.75,6.09929029702307e-14,5.267474766236439e-14,6.09929029702307e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,490.0,5.847896840336165e-14,5.0503661150640976e-14,5.847896840336165e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,490.25,5.5965033836492615e-14,4.833257463891758e-14,5.5965033836492615e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,490.5,5.3451099269623576e-14,4.616148812719417e-14,5.3451099269623576e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,490.75,5.0937164702754524e-14,4.399040161547077e-14,5.0937164702754524e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,491.0,4.8640791944990127e-14,4.200720603592921e-14,4.8640791944990127e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,491.25,4.685659016889405e-14,4.0466332036531727e-14,4.685659016889405e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,491.5,4.507238839279799e-14,3.8925458037134215e-14,4.507238839279799e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,491.75,4.328818661670191e-14,3.738458403773673e-14,4.328818661670191e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,492.0,4.150398484060584e-14,3.584371003833924e-14,4.150398484060584e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,492.25,3.971978306450978e-14,3.430283603894174e-14,3.971978306450978e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,492.5,3.7935581288413714e-14,3.2761962039544244e-14,3.7935581288413714e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,492.75,3.6151379512317644e-14,3.1221088040146745e-14,3.6151379512317644e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,493.0,3.4521586671617147e-14,2.981356482932782e-14,3.4521586671617147e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,493.25,3.3255294099393827e-14,2.8719968058878226e-14,3.3255294099393827e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,493.5,3.1989001527170513e-14,2.7626371288428633e-14,3.1989001527170513e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,493.75,3.072270895494718e-14,2.6532774517979043e-14,3.072270895494718e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,494.0,2.945641638272387e-14,2.5439177747529444e-14,2.945641638272387e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,494.25,2.819012381050055e-14,2.434558097707985e-14,2.819012381050055e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,494.5,2.692383123827722e-14,2.3251984206630257e-14,2.692383123827722e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,494.75,2.5657538666053904e-14,2.2158387436180667e-14,2.5657538666053904e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,495.0,2.4500833958949507e-14,2.115943303985801e-14,2.4500833958949507e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,495.25,2.3602114440917994e-14,2.0383280052769374e-14,2.3602114440917994e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,495.5,2.2703394922886484e-14,1.960712706568074e-14,2.2703394922886484e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,495.75,2.180467540485497e-14,1.8830974078592112e-14,2.180467540485497e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,496.0,2.0905955886823453e-14,1.8054821091503475e-14,2.0905955886823453e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,496.25,2.0007236368791937e-14,1.7278668104414844e-14,2.0007236368791937e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,496.5,1.9108516850760428e-14,1.650251511732621e-14,1.9108516850760428e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,496.75,1.820979733272891e-14,1.572636213023758e-14,1.820979733272891e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,497.0,1.7388855061911123e-14,1.5017379201817183e-14,1.7388855061911123e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,497.25,1.675101132856577e-14,1.4466524002837957e-14,1.675101132856577e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,497.5,1.6113167595220416e-14,1.3915668803858731e-14,1.6113167595220416e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,497.75,1.5475323861875062e-14,1.3364813604879506e-14,1.5475323861875062e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,498.0,1.483748012852971e-14,1.2813958405900282e-14,1.483748012852971e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,498.25,1.4199636395184354e-14,1.2263103206921061e-14,1.4199636395184354e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,498.5,1.3561792661839e-14,1.1712248007941836e-14,1.3561792661839e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,498.75,1.2923948928493649e-14,1.1161392808962613e-14,1.2923948928493649e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,499.0,1.2341305653572832e-14,1.0658209881293028e-14,1.2341305653572832e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,499.25,1.188861199203403e-14,1.0267254159747085e-14,1.188861199203403e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,499.5,1.1435918330495224e-14,9.876298438201142e-15,1.1435918330495224e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,499.75,1.098322466895642e-14,9.4853427166552e-15,1.098322466895642e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,500.0,1.053053100741762e-14,9.094386995109254e-15,1.053053100741762e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,500.25,1.0077837345878816e-14,8.703431273563312e-15,1.0077837345878816e-14,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,500.5,9.625143684340014e-15,8.31247555201737e-15,9.625143684340014e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,500.75,9.17245002280121e-15,7.921519830471428e-15,9.17245002280121e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,501.0,8.75893350810262e-15,7.564398312963074e-15,8.75893350810262e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,501.25,8.437645486257143e-15,7.286927252339663e-15,8.437645486257143e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,501.5,8.116357464411669e-15,7.009456191716253e-15,8.116357464411669e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,501.75,7.795069442566193e-15,6.7319851310928446e-15,7.795069442566193e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,502.0,7.473781420720717e-15,6.454514070469432e-15,7.473781420720717e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,502.25,7.152493398875243e-15,6.177043009846022e-15,7.152493398875243e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,502.5,6.831205377029767e-15,5.899571949222614e-15,6.831205377029767e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,502.75,6.509917355184291e-15,5.622100888599203e-15,6.509917355184291e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,503.0,6.2164343349866595e-15,5.368642809392116e-15,6.2164343349866595e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,503.25,5.988408184484465e-15,5.1717146529476566e-15,5.988408184484465e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,503.5,5.760382033982273e-15,4.974786496503197e-15,5.760382033982273e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,503.75,5.5323558834800786e-15,4.7778583400587364e-15,5.5323558834800786e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,504.0,5.304329732977885e-15,4.580930183614277e-15,5.304329732977885e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,504.25,5.076303582475692e-15,4.384002027169816e-15,5.076303582475692e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,504.5,4.848277431973499e-15,4.187073870725357e-15,4.848277431973499e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,504.75,4.620251281471305e-15,3.990145714280897e-15,4.620251281471305e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,505.0,4.4119590365578735e-15,3.810260171758064e-15,4.4119590365578735e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,505.25,4.250123170358801e-15,3.670495330282704e-15,4.250123170358801e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,505.5,4.088287304159729e-15,3.5307304888073445e-15,4.088287304159729e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,505.75,3.9264514379606576e-15,3.390965647331985e-15,3.9264514379606576e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,506.0,3.764615571761583e-15,3.2512008058566248e-15,3.764615571761583e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,506.25,3.602779705562511e-15,3.1114359643812647e-15,3.602779705562511e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,506.5,3.4409438393634397e-15,2.971671122905905e-15,3.4409438393634397e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,506.75,3.279107973164367e-15,2.8319062814305458e-15,3.279107973164367e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,507.0,3.1312777536744426e-15,2.7042370096088012e-15,3.1312777536744426e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,507.25,3.0164187888980458e-15,2.6050424034870032e-15,3.0164187888980458e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,507.5,2.9015598241216493e-15,2.5058477973652045e-15,2.9015598241216493e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,507.75,2.7867008593452533e-15,2.406653191243406e-15,2.7867008593452533e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,508.0,2.671841894568856e-15,2.3074585851216077e-15,2.671841894568856e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,508.25,2.55698292979246e-15,2.20826397899981e-15,2.55698292979246e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,508.5,2.4421239650160636e-15,2.1090693728780118e-15,2.4421239650160636e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,508.75,2.3272650002396664e-15,2.0098747667562134e-15,2.3272650002396664e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,509.0,2.2223461934752764e-15,1.9192646891534472e-15,2.2223461934752764e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,509.25,2.1408279114072944e-15,1.848863794480566e-15,2.1408279114072944e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,509.5,2.0593096293393112e-15,1.778462899807686e-15,2.0593096293393112e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,509.75,1.9777913472713284e-15,1.7080620051348057e-15,1.9777913472713284e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,510.0,1.896273065203346e-15,1.6376611104619253e-15,1.896273065203346e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,510.25,1.8147547831353632e-15,1.5672602157890448e-15,1.8147547831353632e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,510.5,1.733236501067381e-15,1.4968593211161642e-15,1.733236501067381e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,510.75,1.6517182189993982e-15,1.426458426443284e-15,1.6517182189993982e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,511.0,1.577254715861381e-15,1.3621501865196137e-15,1.577254715861381e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,511.25,1.5193991507842009e-15,1.3121849095300699e-15,1.5193991507842009e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,511.5,1.4615435857070211e-15,1.262219632540526e-15,1.4615435857070211e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,511.75,1.4036880206298418e-15,1.2122543555509824e-15,1.4036880206298418e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,512.0,1.3458324555526617e-15,1.1622890785614387e-15,1.3458324555526617e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,512.25,1.2879768904754822e-15,1.1123238015718949e-15,1.2879768904754822e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,512.5,1.2301213253983023e-15,1.0623585245823512e-15,1.2301213253983023e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,512.75,1.172265760321123e-15,1.0123932475928076e-15,1.172265760321123e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,513.0,1.1194171484222157e-15,9.667520801697735e-16,1.1194171484222157e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,513.25,1.0783556058395508e-15,9.31290472526259e-16,1.0783556058395508e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,513.5,1.0372940632568862e-15,8.95828864882744e-16,1.0372940632568862e-15,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,513.75,9.962325206742214e-16,8.60367257239229e-16,9.962325206742214e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,514.0,9.551709780915567e-16,8.249056495957141e-16,9.551709780915567e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,514.25,9.141094355088919e-16,7.894440419521991e-16,9.141094355088919e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,514.5,8.730478929262273e-16,7.539824343086842e-16,8.730478929262273e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,514.75,8.319863503435624e-16,7.185208266651693e-16,8.319863503435624e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,515.0,7.944783677488569e-16,6.861281478076838e-16,7.944783677488569e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,515.25,7.653359632624633e-16,6.609601573064843e-16,7.653359632624633e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,515.5,7.361935587760697e-16,6.357921668052848e-16,7.361935587760697e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,515.75,7.070511542896758e-16,6.106241763040857e-16,7.070511542896758e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,516.0,6.779087498032822e-16,5.854561858028863e-16,6.779087498032822e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,516.25,6.487663453168885e-16,5.602881953016868e-16,6.487663453168885e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,516.5,6.19623940830495e-16,5.351202048004876e-16,6.19623940830495e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,516.75,5.904815363441013e-16,5.099522142992881e-16,5.904815363441013e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,517.0,5.638611823220146e-16,4.869623193687154e-16,5.638611823220146e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,517.25,5.431780884626249e-16,4.690999665888831e-16,5.431780884626249e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,517.5,5.224949946032352e-16,4.512376138090506e-16,5.224949946032352e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,517.75,5.018119007438456e-16,4.333752610292182e-16,5.018119007438456e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,518.0,4.811288068844559e-16,4.1551290824938585e-16,4.811288068844559e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,518.25,4.604457130250663e-16,3.9765055546955334e-16,4.604457130250663e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,518.5,4.3976261916567654e-16,3.7978820268972093e-16,4.3976261916567654e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,518.75,4.190795253062869e-16,3.6192584990988847e-16,4.190795253062869e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,519.0,4.00186393784965e-16,3.45609346071348e-16,4.00186393784965e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,519.25,3.8550708440278783e-16,3.32931987232708e-16,3.8550708440278783e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,519.5,3.708277750206106e-16,3.2025462839406806e-16,3.708277750206106e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,519.75,3.5614846563843337e-16,3.0757726955542823e-16,3.5614846563843337e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,520.0,3.4146915625625627e-16,2.9489991071678834e-16,3.4146915625625627e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,520.25,3.26789846874079e-16,2.822225518781484e-16,3.26789846874079e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,520.5,3.121105374919018e-16,2.695451930395084e-16,3.121105374919018e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,520.75,2.974312281097246e-16,2.5686783420086854e-16,2.974312281097246e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,521.0,2.840222997992367e-16,2.4528760304639437e-16,2.840222997992367e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,521.25,2.7360402652723044e-16,2.3629016418128028e-16,2.7360402652723044e-16,1.0,1.0,1.0,1.0,1.0,1.0
Amoxicillin,521.5,2.6318575325522414e-16,2.272927253161662e-16,2.6318575325522414e-16,1.0,1.0,1.0,1.0,1.0,1.0
