gene,diplotype,genetic_phenotype,I_over_Ki,time_h,depot_nmol,parent_nmol,metabolite_nmol,eliminated_nmol_equivalent,parent_AUC_nM_h,metabolite_AUC_nM_h,doses_received
CYP2C19,*1/*1,NM,100.0,129.75,0.05829466373306954,934.0470676998174,9.053768178153828,5056.840869458284,2003.6011503115992,29.47677419802151,6
CYP2C19,*1/*1,NM,100.0,130.0,0.045399929764198786,924.3978791228872,9.046493869657397,5066.51022707768,2008.2472220219859,29.55219391115174,6
CYP2C19,*1/*1,NM,100.0,130.25,0.0353575008517448,914.8460728853822,9.036466531539984,5076.082103082214,2012.8452914148913,29.62754144893504,6
CYP2C19,*1/*1,NM,100.0,130.5,0.027536449350786717,905.3911752359536,9.0238066932213,5085.557481621462,2017.395844271385,29.702794374558174,6
CYP2C19,*1/*1,NM,100.0,130.75,0.021445408317398773,896.0325993363056,9.00863076655429,5094.93732448881,2021.8993637082285,29.777931238392746,6
CYP2C19,*1/*1,NM,100.0,131.0,0.016701700790876184,886.7696725292997,8.99105115002568,5104.222574619871,2026.3563296834607,29.852931544112735,6
CYP2C19,*1/*1,NM,100.0,131.25,0.013007297654558674,877.6016575520703,8.971176337049503,5113.414158813213,2030.7672186225532,29.92777571569884,6
CYP2C19,*1/*1,NM,100.0,131.5,0.010130093599013143,868.5277690337526,8.949111026551217,5122.512989846085,2035.1325031383544,30.002445065355904,6
CYP2C19,*1/*1,NM,100.0,131.75,0.007889324827498061,859.5471863211004,8.924956234468153,5131.519968119592,2039.4526518239588,30.07692176235654,6
CYP2C19,*1/*1,NM,100.0,132.0,0.006144212353560166,850.6590634444983,8.898809405124567,5140.435982938011,2043.7281291022573,30.151188802813998,6
CYP2C19,*1/*1,NM,100.0,132.25,0.004785117392309657,841.8625368571447,8.870764521697556,5149.261913503753,2047.9593951195197,30.22522998037986,6
CYP2C19,*1/*1,NM,100.0,132.5,0.0037266531722193598,833.1567314402092,8.840912215190155,5157.998629691416,2052.1469056731567,30.299029857856407,6
CYP2C19,*1/*1,NM,100.0,132.75,0.0029023204087599724,824.5407651577584,8.809339871482841,5166.646992650337,2056.2911121659913,30.372573739709328,6
CYP2C19,*1/*1,NM,100.0,133.0,0.0022603294070663864,816.0137526603467,8.776131736154436,5175.207855274079,2060.392461581068,30.445847645463434,6
CYP2C19,*1/*1,NM,100.0,133.25,0.001760346312222626,807.5748080700508,8.74136901685594,5183.682062566768,2064.451396472347,30.518838283961784,6
CYP2C19,*1/*1,NM,100.0,133.5,0.001370959086435841,799.2230471282342,8.705129983092002,5192.070451929574,2068.468354967665,30.591533028467214,6
CYP2C19,*1/*1,NM,100.0,133.75,0.0010677040100750908,790.9575888472231,8.6674900633195,5200.373853385434,2072.4437707811435,30.663919892584254,6
CYP2C19,*1/*1,NM,100.0,134.0,0.0008315287191349598,782.7775567758479,8.628521939314506,5208.593089756105,2076.3780732328464,30.735987506978816,6
CYP2C19,*1/*1,NM,100.0,134.25,0.000647595217608669,774.6820799644756,8.588295637790868,5216.728976802502,2080.271687273988,30.807725096872858,6
