polymer,drug_mass_fraction,drug_volume_fraction,chi_25C,mixing_free_energy_over_RT_per_site,dry_Tg_C
HPMC-AS,0.34032,0.322586352894,0.5143292057,-0.25521403762,93.3833810215
HPMC-AS,0.343646666667,0.325825290381,0.5143292057,-0.255057370326,93.117056737
HPMC-AS,0.346973333333,0.329065930997,0.5143292057,-0.254879041555,92.8509794594
HPMC-AS,0.3503,0.332308276086,0.5143292057,-0.254679334114,92.5851488452
HPMC-AS,0.353626666667,0.335552326991,0.5143292057,-0.254458525539,92.3195645516
HPMC-AS,0.356953333333,0.338798085061,0.5143292057,-0.254216888251,92.0542262364
HPMC-AS,0.36028,0.342045551642,0.5143292057,-0.253954689693,91.789133558
HPMC-AS,0.363606666667,0.345294728084,0.5143292057,-0.253672192478,91.5242861754
HPMC-AS,0.366933333333,0.348545615739,0.5143292057,-0.253369654517,91.2596837484
HPMC-AS,0.37026,0.351798215957,0.5143292057,-0.253047329147,90.9953259373
HPMC-AS,0.373586666667,0.355052530093,0.5143292057,-0.252705465261,90.7312124029
HPMC-AS,0.376913333333,0.358308559502,0.5143292057,-0.252344307424,90.467342807
HPMC-AS,0.38024,0.36156630554,0.5143292057,-0.251964095988,90.2037168117
HPMC-AS,0.383566666667,0.364825769565,0.5143292057,-0.251565067207,89.9403340798
HPMC-AS,0.386893333333,0.368086952937,0.5143292057,-0.251147453342,89.6771942747
HPMC-AS,0.39022,0.371349857016,0.5143292057,-0.250711482764,89.4142970606
HPMC-AS,0.393546666667,0.374614483164,0.5143292057,-0.250257380059,89.1516421021
HPMC-AS,0.396873333333,0.377880832746,0.5143292057,-0.24978536612,88.8892290645
HPMC-AS,0.4002,0.381148907126,0.5143292057,-0.249295658244,88.6270576137
HPMC-AS,0.403526666667,0.38441870767,0.5143292057,-0.248788470221,88.3651274163
HPMC-AS,0.406853333333,0.387690235747,0.5143292057,-0.24826401242,88.1034381394
HPMC-AS,0.41018,0.390963492727,0.5143292057,-0.247722491879,87.8419894508
HPMC-AS,0.413506666667,0.394238479979,0.5143292057,-0.247164112382,87.5807810188
HPMC-AS,0.416833333333,0.397515198877,0.5143292057,-0.246589074537,87.3198125124
HPMC-AS,0.42016,0.400793650794,0.5143292057,-0.24599757586,87.0590836013
HPMC-AS,0.423486666667,0.404073837105,0.5143292057,-0.245389810842,86.7985939555
HPMC-AS,0.426813333333,0.407355759187,0.5143292057,-0.244765971023,86.538343246
HPMC-AS,0.43014,0.410639418418,0.5143292057,-0.244126245062,86.278331144
HPMC-AS,0.433466666667,0.413924816178,0.5143292057,-0.243470818808,86.0185573217
HPMC-AS,0.436793333333,0.417211953848,0.5143292057,-0.242799875357,85.7590214515
HPMC-AS,0.44012,0.420500832811,0.5143292057,-0.242113595122,85.4997232068
HPMC-AS,0.443446666667,0.423791454449,0.5143292057,-0.241412155895,85.2406622612
HPMC-AS,0.446773333333,0.427083820149,0.5143292057,-0.2406957329,84.9818382893
HPMC-AS,0.4501,0.430377931298,0.5143292057,-0.239964498859,84.723250966
HPMC-AS,0.453426666667,0.433673789284,0.5143292057,-0.239218624039,84.4648999669
HPMC-AS,0.456753333333,0.436971395497,0.5143292057,-0.238458276316,84.2067849682
HPMC-AS,0.46008,0.440270751329,0.5143292057,-0.237683621219,83.9489056466
HPMC-AS,0.463406666667,0.443571858171,0.5143292057,-0.236894821988,83.6912616795
HPMC-AS,0.466733333333,0.446874717419,0.5143292057,-0.236092039618,83.4338527449
HPMC-AS,0.47006,0.450179330468,0.5143292057,-0.235275432914,83.1766785213
HPMC-AS,0.473386666667,0.453485698715,0.5143292057,-0.234445158529,82.9197386878
HPMC-AS,0.476713333333,0.45679382356,0.5143292057,-0.233601371017,82.6630329241
HPMC-AS,0.48004,0.460103706402,0.5143292057,-0.232744222875,82.4065609106
HPMC-AS,0.483366666667,0.463415348643,0.5143292057,-0.231873864585,82.1503223281
HPMC-AS,0.486693333333,0.466728751686,0.5143292057,-0.230990444655,81.894316858
HPMC-AS,0.49002,0.470043916937,0.5143292057,-0.230094109664,81.6385441824
HPMC-AS,0.493346666667,0.4733608458,0.5143292057,-0.229185004294,81.3830039839
HPMC-AS,0.496673333333,0.476679539685,0.5143292057,-0.228263271377,81.1276959458
HPMC-AS,0.5,0.48,0.5143292057,-0.227329051926,80.8726197516
HPMC-AS,0.503326666667,0.483322228156,0.5143292057,-0.226382485174,80.6177750859
HPMC-AS,0.506653333333,0.486646225564,0.5143292057,-0.225423708608,80.3631616335
HPMC-AS,0.50998,0.48997199364,0.5143292057,-0.224452858004,80.1087790798
HPMC-AS,0.513306666667,0.493299533797,0.5143292057,-0.223470067463,79.854627111
HPMC-AS,0.516633333333,0.496628847453,0.5143292057,-0.222475469437,79.6007054137
HPMC-AS,0.51996,0.499959936026,0.5143292057,-0.221469194768,79.347013675
HPMC-AS,0.523286666667,0.503292800935,0.5143292057,-0.220451372715,79.0935515828
HPMC-AS,0.526613333333,0.506627443603,0.5143292057,-0.219422130983,78.8403188253
HPMC-AS,0.52994,0.509963865451,0.5143292057,-0.218381595755,78.5873150913
HPMC-AS,0.533266666667,0.513302067903,0.5143292057,-0.217329891721,78.3345400705
HPMC-AS,0.536593333333,0.516642052387,0.5143292057,-0.2162671421,78.0819934527
HPMC-AS,0.53992,0.519983820329,0.5143292057,-0.215193468675,77.8296749285
HPMC-AS,0.543246666667,0.523327373157,0.5143292057,-0.214108991814,77.5775841892
HPMC-AS,0.546573333333,0.526672712303,0.5143292057,-0.213013830495,77.3257209262
HPMC-AS,0.5499,0.530019839198,0.5143292057,-0.211908102336,77.074084832
HPMC-AS,0.553226666667,0.533368755276,0.5143292057,-0.210791923615,76.8226755993
HPMC-AS,0.556553333333,0.536719461971,0.5143292057,-0.209665409295,76.5714929213
HPMC-AS,0.55988,0.540071960721,0.5143292057,-0.208528673047,76.3205364922
HPMC-AS,0.563206666667,0.543426252962,0.5143292057,-0.207381827272,76.0698060062
HPMC-AS,0.566533333333,0.546782340136,0.5143292057,-0.206224983126,75.8193011584
HPMC-AS,0.56986,0.550140223682,0.5143292057,-0.205058250536,75.5690216443
HPMC-AS,0.573186666667,0.553499905044,0.5143292057,-0.203881738225,75.3189671601
HPMC-AS,0.576513333333,0.556861385666,0.5143292057,-0.202695553732,75.0691374024
HPMC-AS,0.57984,0.560224666993,0.5143292057,-0.20149980343,74.8195320683
HPMC-AS,0.583166666667,0.563589750473,0.5143292057,-0.200294592547,74.5701508557
HPMC-AS,0.586493333333,0.566956637555,0.5143292057,-0.199080025182,74.3209934628
HPMC-AS,0.58982,0.570325329689,0.5143292057,-0.197856204328,74.0720595883
HPMC-AS,0.593146666667,0.573695828327,0.5143292057,-0.196623231886,73.8233489318
HPMC-AS,0.596473333333,0.577068134923,0.5143292057,-0.195381208684,73.574861193
HPMC-AS,0.5998,0.580442250931,0.5143292057,-0.194130234493,73.3265960723
HPMC-AS,0.603126666667,0.583818177809,0.5143292057,-0.192870408046,73.0785532709
HPMC-AS,0.606453333333,0.587195917015,0.5143292057,-0.19160182705,72.8307324901
HPMC-AS,0.60978,0.590575470008,0.5143292057,-0.190324588205,72.5831334321
HPMC-AS,0.613106666667,0.593956838249,0.5143292057,-0.18903878722,72.3357557993
HPMC-AS,0.616433333333,0.597340023203,0.5143292057,-0.187744518825,72.0885992949
HPMC-AS,0.61976,0.600725026332,0.5143292057,-0.186441876786,71.8416636226
HPMC-AS,0.623086666667,0.604111849104,0.5143292057,-0.185130953921,71.5949484864
HPMC-AS,0.626413333333,0.607500492986,0.5143292057,-0.183811842112,71.3484535911
HPMC-AS,0.62974,0.610890959446,0.5143292057,-0.182484632322,71.102178642
HPMC-AS,0.633066666667,0.614283249957,0.5143292057,-0.1811494146,70.8561233447
HPMC-AS,0.636393333333,0.61767736599,0.5143292057,-0.179806278104,70.6102874055
HPMC-AS,0.63972,0.621073309019,0.5143292057,-0.178455311106,70.3646705312
HPMC-AS,0.643046666667,0.62447108052,0.5143292057,-0.177096601005,70.1192724292
HPMC-AS,0.646373333333,0.62787068197,0.5143292057,-0.175730234343,69.8740928072
HPMC-AS,0.6497,0.631272114847,0.5143292057,-0.17435629681,69.6291313737
HPMC-AS,0.653026666667,0.634675380633,0.5143292057,-0.172974873262,69.3843878375
HPMC-AS,0.656353333333,0.638080480809,0.5143292057,-0.171586047724,69.1398619079
HPMC-AS,0.65968,0.641487416858,0.5143292057,-0.170189903408,68.895553295
HPMC-AS,0.663006666667,0.644896190266,0.5143292057,-0.168786522716,68.6514617092
HPMC-AS,0.666333333333,0.648306802519,0.5143292057,-0.167375987255,68.4075868613
HPMC-AS,0.66966,0.651719255106,0.5143292057,-0.165958377844,68.1639284628
HPMC-AS,0.672986666667,0.655133549516,0.5143292057,-0.164533774525,67.9204862258
HPMC-AS,0.676313333333,0.658549687242,0.5143292057,-0.163102256569,67.6772598626
HPMC-AS,0.67964,0.661967669776,0.5143292057,-0.161663902485,67.4342490863
HPMC-AS,0.682966666667,0.665387498613,0.5143292057,-0.160218790031,67.1914536103
HPMC-AS,0.686293333333,0.66880917525,0.5143292057,-0.158766996219,66.9488731487
HPMC-AS,0.68962,0.672232701184,0.5143292057,-0.157308597324,66.7065074159
HPMC-AS,0.692946666667,0.675658077915,0.5143292057,-0.155843668891,66.4643561271
