degrader_total_nM,penalty_kcal_mol,free_pool_48h_nM,chromatin_pool_48h_nM,total_48h_nM,degraded_nM,synthesized_nM
3162.2776601683795,0.0,63.699859688187885,20.011682179099974,83.71154186728786,136.28845813263325,120.00000000000004
4641.588833612773,0.0,67.86314187346251,20.368625455130097,88.23176732859261,131.7682326712641,120.00000000000001
6812.920690579608,0.0,71.03511146541605,20.60609679081281,91.64120825622886,128.35879174364536,120.00000000000003
10000.0,0.0,73.37272241907866,20.763621359162038,94.1363437782407,125.86365622162987,119.99999999999994
0.0,1.0,37.77761876957275,62.222381230427246,100.0,119.99999999999997,119.99999999999997
0.01,1.0,37.77069673018638,62.20719127480072,99.97788800498711,120.02211199501296,120.00000000000003
0.014677992676220698,1.0,37.76745936506592,62.20008705125566,99.96754641632157,120.03245358367852,120.00000000000006
0.021544346900318832,1.0,37.76270850965953,62.18966128497253,99.95236979463206,120.04763020536816,119.99999999999993
0.03162277660168379,1.0,37.75573697133053,62.17436252287295,99.93009949420347,120.06990050579674,120.00000000000001
0.046415888336127774,1.0,37.74550836358478,62.151915581344824,99.89742394492961,120.10257605507066,120.00000000000006
0.06812920690579612,1.0,37.73050364048291,62.118986685837825,99.84949032632073,120.15050967367986,120.00000000000001
0.1,1.0,37.70849884893363,62.07069383056696,99.7791926795006,120.22080732050036,120.0
0.1467799267622069,1.0,37.67624115547321,61.99989633193139,99.67613748740459,120.32386251259699,119.99999999999997
0.21544346900318834,1.0,37.6289817912288,61.89616610486735,99.52514789609614,120.47485210390614,119.99999999999997
0.31622776601683794,1.0,37.55980470389733,61.74431189779724,99.30411660169457,120.69588339830902,120.00000000000007
0.46415888336127775,1.0,37.458675471440664,61.52228254365374,98.9809580150944,121.01904198490992,120.0
0.6812920690579611,1.0,37.31111658655344,61.19823970123786,98.50935628779129,121.49064371221546,120.00000000000001
1.0,1.0,37.09641420983098,60.72658193288933,97.82299614272031,122.17700385729054,120.0
1.467799267622069,1.0,36.78530851055596,60.04278505454086,96.82809356509682,123.17190643491898,120.0
2.154434690031882,1.0,36.33727765716714,59.05724882440916,95.39452648157629,124.60547351844619,120.0
3.1622776601683795,1.0,35.697946397593626,57.64919692131357,93.3471433189072,126.65285668112442,120.00000000000001
4.6415888336127775,1.0,34.79809796095208,55.66363304166181,90.46173100261389,129.53826899743177,120.00000000000003
6.812920690579608,1.0,33.5576747059597,52.918284148657094,86.47595885461679,133.52404114545786,120.00000000000001
10.0,1.0,31.901391381098453,49.23411026944038,81.13550165053883,138.8644983495664,119.99999999999996
