scenario,time_h,F_nM,C_nM,P_nM,E_nM,PF_nM,PC_nM,EP_nM,EFP_nM,ECP_nM,target_degraded_nM,target_synthesized_nM
no_penalty,3.75,19.14745796221467,34.36151247420464,58.24015219635873,7.699288714716949,10.190376998829,19.268759519529173,4.999728851967651,2.4559670494539625,4.845015384016742,19.105910611907046,9.375000000000002
no_penalty,4.0,19.07855636046648,33.814824536776655,58.460420650269725,7.687907251133262,10.200621916381218,19.026864684482273,5.013013528519462,2.475141612894004,4.823937607618806,20.580053281546032,10.000000000000004
no_penalty,4.25,19.007083785808135,33.28239505970523,58.68015984172469,7.679881770149586,10.209001999221378,18.79071992920347,5.032369936106751,2.491194337366016,4.796553956552922,22.048050932318052,10.625000000000002
no_penalty,4.5,18.93308399930774,32.76317590316536,58.89868553474674,7.674062529830986,10.215442164618425,18.559934830465767,5.0565014459000315,2.5048399852358987,4.764596039227459,23.508927078173656,11.25
no_penalty,4.75,18.856658650159893,32.25635986949633,59.11564314624738,7.669683312379383,10.21989897408675,18.334141192045198,5.0843508133809445,2.516606318257077,4.729359556192067,24.96197543997209,11.875
no_penalty,5.0,18.777941695217915,31.761300144455923,59.330863483790885,7.6662360709791635,10.222360647036348,18.113011940151875,5.115069221953991,2.52688186847382,4.691812838830514,26.40669086607103,12.5
no_penalty,5.25,18.697084231471482,31.27745982155658,59.54427855033971,7.663385849983939,10.222842643625075,17.8962646560191,5.147983129957414,2.5359521390917448,4.652678881226564,27.842717627269057,13.125
no_penalty,5.5,18.614245377686935,30.804379733376404,59.75587316642176,7.660913391641801,10.2213819793546,17.683658245865395,5.182562862170277,2.544026782752502,4.612496963724986,29.269810917528684,13.75
no_penalty,5.75,18.52958663670457,30.34165732232752,59.965657350567824,7.658676298326842,10.218031748235889,17.474987199523078,5.2183947428415705,2.5512599586488207,4.571669000508077,30.687808134377292,14.375
no_penalty,6.0,18.443268395301725,29.88893258038887,60.17365120701983,7.656583073163592,10.212856413305428,17.270075452838288,5.255157387969284,2.5577654063656987,4.530494132850932,32.096607619298496,15.0
no_penalty,6.25,18.355447692914897,29.445878357804997,60.379876827368726,7.654575659331177,10.205928010661667,17.06877082130074,5.292602073523821,2.5636276100732656,4.489194657436695,33.49615285017264,15.624999999999998
no_penalty,6.5,18.26627681376879,29.012193576117518,60.58435433681289,7.65261780968706,10.197323199992443,16.870940272881683,5.330536782698938,2.56891000458562,4.447935403411538,34.8864207296255,16.25
no_penalty,6.75,18.175902416054363,28.587598382481186,60.787100258874084,7.65068741880423,10.187121054222986,16.676466105707114,5.368813495158105,2.573660944619191,4.40683814182825,36.26741295549662,16.875
no_penalty,7.0,18.084465008051218,28.171830573562737,60.98812707251857,7.648771407964589,10.17540142410317,16.48524291134281,5.407318106056875,2.5779180720767925,4.365992414307882,37.63914959696147,17.5
no_penalty,7.25,17.992098672595574,27.76464293686349,61.18744343167712,7.646862396797746,10.162243761232988,16.2971752038876,5.44596253601286,2.5817114614958037,4.325463606101988,39.00166435823089,18.125
no_penalty,7.5,17.898930963262455,27.365801237882167,61.38505466462976,7.644956560129072,10.147726296354632,16.112175599144642,5.484678638751151,2.5850658587935027,4.285298942761881,40.35500110223626,18.749999999999996
no_penalty,7.75,17.805082914275875,26.97508264521488,61.58096335034808,7.64305221763226,10.131925467448601,15.930163399835548,5.5234134621874835,2.5880022952775414,4.245532025347704,41.69921125304478,19.375
no_penalty,8.0,17.710669133784048,26.592274488431773,61.77516990051752,7.641148939466541,10.114915538443597,15.751063500505392,5.56212559352994,2.590539229223928,4.206186238220754,43.0343518718316,20.0
no_penalty,8.25,17.615797958015897,26.21717327502764,61.967673085557536,7.639247006599696,10.096768366709062,15.57480555433307,5.600782409394177,2.5926933235052165,4.167277260944367,44.360484261908134,20.625
no_penalty,8.5,17.520571641071612,25.849583879450915,62.158470482079245,7.637347063931381,10.077553264924262,15.401323316927844,5.639357957377158,2.59447999355173,4.128814985585378,45.67767291893382,21.25
no_penalty,8.75,17.42508656918167,25.489318867734326,62.34755884987557,7.635449909936483,10.057336933193723,15.230554126867162,5.677831333337208,2.5959137837851696,4.0908049733867005,46.98598474629672,21.875
no_penalty,9.0,17.3294334910597,25.136197932391106,62.53493443976189,7.633556381652184,10.036183444996809,15.062438496893458,5.716185464349761,2.5970086127071403,4.053249541737692,48.28548848066078,22.500000000000004
no_penalty,9.25,17.23369775588199,24.79004740981625,62.72059323754809,7.631667292653414,10.01415426892889,14.896919786176408,5.754406194592048,2.5977779302413153,4.0161485829642825,49.57625426644183,23.125000000000004
no_penalty,9.5,17.137959552807335,24.450699859081208,62.904531156911624,7.629783399812187,9.991308312874434,14.733943930026097,5.792481587988667,2.5982348191198574,3.979500193545679,50.858353333011685,23.750000000000007
no_penalty,9.75,17.042294148798582,24.1179936931494,63.08674418953319,7.627905391293971,9.967701984862844,14.57345921689791,5.830401407245575,2.5983920538133227,3.9433011481264466,52.13185775483072,24.375000000000007
no_penalty,10.0,16.9467721228235,23.791772845136943,63.267228525704695,7.626033884306383,9.943389262991314,14.415416095610341,5.868156704910149,2.5982621356531803,3.9075472756155176,53.39684026265435,25.000000000000007
no_penalty,10.25,16.851459593724336,23.471886474913195,63.44598064092681,7.624169431159014,9.918421773964987,14.259767016267187,5.905739537655623,2.597857304302922,3.872233727371532,54.65337410994485,25.625000000000004
no_penalty,10.5,16.75641844036862,23.158188702549378,63.62299736066995,7.62231252664209,9.892848874323416,14.106466291648697,5.943142751982583,2.5971895395691544,3.8373551823000955,55.901532969734475,26.250000000000007
no_penalty,10.75,16.661706513652916,22.850538361904004,63.79827591045055,7.620463614998459,9.866717731847643,13.955469972700245,5.980359815515386,2.596270559372337,3.802906010611863,57.14139085040896,26.875000000000007
no_penalty,11.0,16.567377839757476,22.548798773689036,63.971813952858696,7.618623096949493,9.840073406753612,13.806735737337165,6.017384689437987,2.5951118144883867,3.768880399624989,58.37302202885011,27.50000000000001
no_penalty,11.25,16.473482815889952,22.252837534117916,64.14360961458688,7.616791336736405,9.812958932410085,13.66022278973941,6.0542117322173254,2.5937244810447466,3.735272450506969,59.59650099679629,28.12500000000001
no_penalty,11.5,16.380068396692295,21.96252632029576,64.31366150349551,7.6149686683753695,9.785415394636509,13.51589177024332,6.090835632817068,2.5921194522155435,3.702076247104623,60.81190241932447,28.750000000000014
no_penalty,11.75,16.287178271454675,21.677740709289253,64.48196871880967,7.613155400594269,9.75748200855997,13.373704673224598,6.12725136253489,2.590307331142388,3.6692859062486676,62.01930110060057,29.375000000000014
no_penalty,12.0,16.194853033114683,21.398360007746874,64.64853085719612,7.611351820690115,9.729196192775612,13.233624770718352,6.163454137187813,2.5882984257327992,3.636895616914836,63.21877195352232,30.000000000000018
no_penalty,12.25,16.103130339503164,21.124267090955765,64.81334801572152,7.609558197678123,9.700593640926064,13.095616541030523,6.199439387137211,2.5861027451136547,3.604899670599094,64.41038997239974,30.625000000000018
no_penalty,12.5,16.012045066819066,20.855348251294618,64.97642079184702,7.6077747849385995,9.671708390787982,12.959645602303572,6.2352027349999695,2.583729997414906,3.573292483175862,65.59423020873325,31.25000000000002
no_penalty,12.75,15.921629453595543,20.591493057942923,65.13775028008665,7.606001822263227,9.642572890166996,12.825678652009561,6.270739981854251,2.581189589100553,3.542068607314497,66.77036775040237,31.87500000000002
no_penalty,13.0,15.831913245621227,20.332594214888825,65.29733806959119,7.604239537905546,9.61321806302646,12.693683405287874,6.3060470905445865,2.578490624351799,3.511222747736874,67.93887769962565,32.50000000000002
no_penalty,13.25,15.742923823477252,20.07854743906989,65.45518623612044,7.6024881495483125,9.583673369749759,12.5636285436781,6.341120182929335,2.5756419073650925,3.480749760699306,69.09983515650255,33.12500000000002
no_penalty,13.5,15.654686326770022,19.829251340560198,65.61129733501961,7.60074786512495,9.553966865726526,12.435483664378788,6.375955533176495,2.57265194564299,3.4506446565990676,70.25331520086581,33.75000000000002
no_penalty,13.75,15.567223775256254,19.584607305867742,65.76567439399184,7.599018883716668,9.524125258573452,12.309219231151351,6.410549561592175,2.56952895340043,3.420902601833468,71.39939287445995,34.37500000000003
no_penalty,14.0,15.480557183653854,19.34451938807609,65.91832090431058,7.597301396052418,9.494173963187711,12.184806528554105,6.444898831902728,2.5662808560996067,3.391518916486971,72.53814316448329,35.00000000000003
no_penalty,14.25,15.394705664767647,19.108894207913938,66.06924081164188,7.595595584867203,9.46413715191404,12.062217621311259,6.47900004819595,2.56291529640824,3.362489071069718,73.66964098715617,35.62500000000003
no_penalty,14.5,15.309686534868458,18.87764085273976,66.21843850686021,7.593901625416063,9.434037805941884,11.941425312613935,6.512850052379874,2.559439639229773,3.3338086835155165,74.7939611716318,36.25000000000003
no_penalty,14.75,15.225515404416948,18.650670789838728,66.36591881552437,7.592219685566761,9.40389776064995,11.822403109392413,6.5464458236306005,2.5558609784321216,3.3054735129132324,75.91117844489922,36.87500000000003
no_penalty,15.0,15.142206290963017,18.427897758048363,66.51168698945212,7.590549926403245,9.373737759820523,11.705125177130583,6.579784474425408,2.552186141615718,3.2774794581001787,77.02136741486606,37.50000000000003
no_penalty,15.25,15.05977168390288,18.209237705792475,66.65574869427846,7.588892501924242,9.343577491333432,11.589566316312332,6.6128632523159965,2.548421698701391,3.2498225476046207,78.124602556899,38.12500000000003
no_penalty,15.5,14.978222644671556,17.99460869516634,66.79810999978676,7.587247559373036,9.313435636316795,11.475701923269456,6.645679538078827,2.544573967759691,3.222498935336203,79.2209581980276,38.75000000000003
no_penalty,15.75,14.897568885251827,17.78393082606475,66.93877736954481,7.585615239418907,9.283329909639715,11.363507960234365,6.678230843653828,2.5406490217482145,3.1955048957273036,80.31050850188196,39.37500000000003
no_penalty,16.0,14.81781882042608,17.5771261860104,67.07775764780108,7.583995675722278,9.253277090603863,11.252960937317319,6.71051481451301,2.5366526977992194,3.168836812513767,81.39332745587751,40.00000000000003
no_penalty,16.25,14.73897968255139,17.374118739775042,67.21505805169426,7.582388995706084,9.223293077061355,11.144037866950445,6.74252922482568,2.5325906009679517,3.142491179048169,82.46948885419341,40.62500000000002
no_penalty,16.5,14.661057531460832,17.17483431834982,67.3506861570623,7.580795319943286,9.193392898393473,11.036716264487497,6.774271979360134,2.528468114552601,3.1164645866911713,83.53906628661169,41.25000000000002
no_penalty,16.75,14.584057385205774,16.979200494375636,67.48464989004825,7.579214762729518,9.163590777320863,10.930974095360392,6.805741110964184,2.5242904044557255,3.0907537223973796,84.60213312143092,41.87500000000002
no_penalty,17.0,14.50798321589692,16.787146582858632,67.61695751447867,7.577647431932872,9.133900135294057,10.826789782160125,6.836934778968422,2.5200624267327045,3.0653553629125043,85.65876249469144,42.50000000000002
no_penalty,17.25,14.432838073987178,16.598603523653196,67.74761762163237,7.576093429081201,9.104333653122621,10.724142154326188,6.867851269480979,2.5157889349022082,3.040266367082109,86.70902729347289,43.12500000000002
