degrader_total_nM,penalty_kcal_mol,F_nM,C_nM,P_nM,E_nM,PF_nM,PC_nM,EP_nM,EFP_nM,ECP_nM
10.0,2.0,26.50862764861374,67.62162175913753,3.1257546754897185,16.06803534740263,0.8285946681347042,2.113686003778214,1.0044947322615567,2.6627776832515555,0.2646922370842559
14.67799267622069,2.0,25.1949345084287,66.40628066545723,4.857836077049221,14.629680278560699,1.2239286181393734,3.225908259593143,1.421371773057753,3.581136873431927,0.36781107494962495
21.54434690031882,2.0,23.544748959266112,64.55347455635804,7.667639827234897,12.878347400286499,1.8053265484231622,4.949727924947255,1.9749305887080753,4.649924492310726,0.4967975186947026
31.622776601683793,2.0,21.572572928048775,61.767443666389944,12.284717961432026,10.900027347385308,2.6501297412350304,7.587956246402414,2.6780752346904917,5.7772973307161966,0.644600087207639
46.41588833612777,2.0,19.328146354747815,57.70869217354618,19.923690240236,8.85638298335631,3.850880008899421,11.497701070348658,3.529036624185766,6.820973636352764,0.7936067561051597
68.12920690579608,2.0,16.87417542089764,52.10342235518141,32.58684241028873,6.935256590186364,5.498760952443589,16.978860133250112,4.5199622715863885,7.627063626658771,0.9177175115684784
100.0,2.0,14.277805425462192,44.939345705629655,53.5616874072819,5.279392787615064,7.647433510605995,24.070271869727122,5.655463723809934,8.07476106393181,0.9903824246432252
146.77992676220674,2.0,11.640395230688833,36.677773909634396,88.13975012576816,3.947336909188432,10.259815269980972,32.32769827564594,6.958345776761808,8.099789499330193,0.9945278147196681
215.44346900318823,2.0,9.123587443933534,28.262652029528113,144.38656224778052,2.923799174046443,13.17323426396578,40.80747166548821,8.443146228869319,7.703178292100691,0.9298763049836706
316.22776601683796,2.0,6.9038830412835335,20.727827600443177,233.78407759579898,2.1548514266624266,16.1401792863575,48.45836056134352,10.075399062765337,6.955937672358962,0.8138118382133149
464.1588833612773,2.0,5.0864944208892116,14.68278381181585,372.1649387580234,1.5803776243961603,18.930148846432612,54.64417338121744,11.763222835958949,5.983356732678177,0.6730428069667197
681.2920690579608,2.0,3.677883451387059,10.18943559959711,581.7674831585107,1.1509671250211064,21.39672998863786,59.278823035833405,13.39190495043432,4.925386559975081,0.5317413645694892
1000.0,2.0,2.6237600994154104,6.996165823552104,894.755782289867,0.8306257376208255,23.47624520293375,62.598598244819954,14.86414363310039,3.899994697650842,0.40523593162794175
1467.7992676220676,2.0,1.8524083002896559,4.77948594887729,1358.3109170645157,0.5933930370506304,25.16146417144363,64.92027942316479,16.120244806718798,2.986127528266712,0.30023462795792694
2154.4346900318824,2.0,1.2968776597947307,3.2580433417786985,2041.849760287501,0.41971380753157994,26.48029338774086,66.52435016417125,17.139850745954217,2.222828952464408,0.21760649405006321
3162.2776601683795,2.0,0.901767456145839,2.2190849748676884,3047.4650106855834,0.294236387471682,27.481047703793905,67.62583816647378,17.933501913809536,1.6171848400602562,0.15507685865852885
4641.588833612773,2.0,0.6236360397255571,1.511091187265966,4525.193053672047,0.20474824994128868,28.220734749856362,68.37979344080996,18.530507167716554,1.1556292104180803,0.10911537192407668
6812.920690579608,2.0,0.42948634949792364,1.02898763745911,6695.411502225697,0.1416467257805007,28.755878444773238,68.89495663491772,18.96766234086747,0.8146352057288411,0.07605572762318553
10000.0,2.0,0.29485399985778443,0.700754862944613,9881.714336628129,0.09756036036786196,29.136629976068164,69.24659375621661,19.281272234674166,0.5685160240740519,0.052651380838764805
0.0,4.0,30.0,70.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
