formulation,drug_loading,absorption_enabled,gamma_scale,nucleation_scale,absorption_scale,drug_activity_in_dry_ASD,source_solubility_mg_ml,polymer_concentration_mg_ml_assumed,gamma_J_m2_assumed,AUC_mg_h_ml,excess_AUC_mg_h_ml,Cmax_mg_ml,absorbed_mg,fraction_absorbed_proxy,induction_1pct_precip_h,induction_right_censored,supersaturation_over_1p05_duration_h,max_mass_error_mg,minimum_compartment_mg,solver_nfev,ER_abs_vs_matched_crystal
ASD,0.2,True,1.0,0.1,1.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.00726530612244898,0.25072756559021814,0.19109051915180766,0.047509289112237514,67.6966894018277,0.6769668940182769,,True,5.9195749543578495,5.684341886080802e-14,-1.419802620570074e-24,4541,8.802547156256896
ASD,0.2,True,1.0,0.1,2.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.00726530612244898,0.17082071810646224,0.1113627155321341,0.04081039662190966,92.24367589260662,0.9224367589260661,,True,5.589114005759333,7.105427357601002e-14,-7.405233555219427e-11,4769,7.813140206051137
ASD,0.2,True,1.0,1.0,0.5,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.00726530612244898,0.2892039037423054,0.22956520677112746,0.05219885704868167,39.04264605533787,0.3904264605533787,,True,5.9201174885382555,5.684341886080802e-14,-1.94213061858216e-24,4541,8.6715878424326
ASD,0.2,True,1.0,1.0,1.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.00726530612244898,0.2505190640937927,0.19088201765538224,0.04750271170850305,67.64039406163765,0.6764039406163765,,True,5.9195749543578495,5.684341886080802e-14,-1.4459809385127754e-24,4541,8.795227117550732
ASD,0.2,True,1.0,1.0,2.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.00726530612244898,0.1708102064201973,0.11135269155865242,0.040810155905815416,92.2379995756545,0.922379995756545,,True,5.588750755103944,9.947598300641403e-14,-3.980393522411431e-11,4766,7.812659415798887
ASD,0.2,True,1.0,10.0,0.5,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.00726530612244898,0.2837937280089422,0.22415503103776427,0.05183481790802727,38.31227316919247,0.38312273169192473,2.7397034521162604,False,5.9201174885382555,5.684341886080802e-14,-1.970282678709991e-24,4541,8.509367980823734
ASD,0.2,True,1.0,10.0,1.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.00726530612244898,0.24851635347332474,0.1888793070349143,0.04743959298427548,67.0996627800814,0.670996627800814,4.022841900044879,False,5.9195749543578495,8.526512829121202e-14,-1.472330240717263e-24,4541,8.724916255279327
ASD,0.2,True,1.0,10.0,2.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.00726530612244898,0.17070553543856626,0.11125301704163273,0.040807751394710524,92.18147719723704,0.9218147719723704,,True,5.585133768903725,1.1368683772161603e-13,-7.600663049140165e-11,4796,7.807871908546149
ASD,0.2,True,1.2,0.1,0.5,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.008718367346938776,0.2898747409057709,0.23023604393459302,0.052250764325224616,39.1332089586485,0.391332089586485,,True,5.9201174885382555,8.526512829121202e-14,-5.867242457938146e-23,4541,8.691702364645332
ASD,0.2,True,1.2,0.1,1.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.008718367346938776,0.2507508359477477,0.19111378950933727,0.047510026788173905,67.70297239119489,0.6770297239119489,,True,5.9195749543578495,1.1368683772161603e-13,-1.10738204319422e-22,4541,8.803364128411305
ASD,0.2,True,1.2,0.1,2.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.008718367346938776,0.17082188932191728,0.11136383389377935,0.040810423415810065,92.24430835011026,0.9224430835011026,,True,5.589154561026807,8.526512829121202e-14,-7.6555414795798e-11,4730,7.8131937758932155
ASD,0.2,True,1.2,1.0,0.5,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.008718367346938776,0.2898722703186781,0.23023357334750022,0.05225058552311252,39.132875429806,0.39132875429805997,,True,5.9201174885382555,8.526512829121202e-14,-5.512087453709339e-23,4541,8.691628286042882
ASD,0.2,True,1.2,1.0,1.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.008718367346938776,0.25075042725520047,0.19111338081679002,0.04751001492644869,67.70286204432861,0.6770286204432862,,True,5.9195749543578495,1.2789769243681803e-13,-1.0638974520793026e-22,4541,8.803349780095271
ASD,0.2,True,1.2,1.0,2.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.008718367346938776,0.17082188436092133,0.11136382911003039,0.040810423313539054,92.24430567115522,0.9224430567115521,,True,5.589154388534256,8.526512829121202e-14,-7.65451610961128e-11,4730,7.813193548982794
ASD,0.2,True,1.2,10.0,0.5,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.008718367346938776,0.2898476736827101,0.23020897671153218,0.0522488027695837,39.12955488807175,0.3912955488807175,,True,5.9201174885382555,2.842170943040401e-14,-5.161994439245084e-23,4541,8.69089077534004
ASD,0.2,True,1.2,10.0,1.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.008718367346938776,0.2507463681602873,0.19110932172187683,0.047509896774823215,67.7017660899054,0.677017660899054,,True,5.9195749543578495,1.2789769243681803e-13,-1.0214777452552971e-22,4541,8.803207274005585
ASD,0.2,True,1.2,10.0,2.0,0.5808859564696951,0.05808859564696951,0.4444444444444444,0.008718367346938776,0.17082183544899968,0.11136378223025678,0.04081042230031584,92.24427925862541,0.9224427925862542,,True,5.589152704467104,8.526512829121202e-14,-7.644435255391553e-11,4769,7.81319131181264
