alpha,Kd_E_nM,Kd_T_nM,peak_EPT_nM,optimal_total_P_nM
10.0,630.9573444801937,0.1,45.65359623830517,107.94328234724281
10.0,794.3282347242822,0.1,41.75963589028859,108.91250938133747
10.0,1000.0,0.1,37.85682270579875,109.99999999999999
10.0,0.1,0.12589254117941673,97.9003769185471,100.11220184543019
10.0,0.12589254117941673,0.12589254117941673,97.7810003503229,100.12589254117941
10.0,0.15848931924611134,0.12589254117941673,97.64723189187784,100.14125375446227
10.0,0.19952623149688797,0.12589254117941673,97.49736035577799,100.15848931924612
10.0,0.251188643150958,0.12589254117941673,97.32947728609471,100.1778279410039
10.0,0.31622776601683794,0.12589254117941673,97.1414558337509,100.19952623149689
10.0,0.3981071705534973,0.12589254117941673,96.93092780085871,100.22387211385683
10.0,0.5011872336272724,0.12589254117941673,96.69525881729123,100.25118864315095
10.0,0.6309573444801934,0.12589254117941673,96.43152165383215,100.28183829312644
10.0,0.7943282347242815,0.12589254117941673,96.13646773304677,100.31622776601684
10.0,1.0,0.12589254117941673,95.80649697571836,100.35481338923357
10.0,1.2589254117941675,0.12589254117941673,95.43762622244148,100.3981071705535
10.0,1.584893192461114,0.12589254117941673,95.0254566029495,100.44668359215096
10.0,1.9952623149688797,0.12589254117941673,94.56514039737091,100.50118723362728
10.0,2.511886431509581,0.12589254117941673,94.0513481525481,100.56234132519035
10.0,3.1622776601683795,0.12589254117941673,93.47823709286448,100.6309573444802
10.0,3.981071705534973,0.12589254117941673,92.83942221005287,100.70794578438414
10.0,5.011872336272725,0.12589254117941673,92.12795184262403,100.79432823472428
10.0,6.309573444801933,0.12589254117941673,91.33629007583775,100.89125093813375
10.0,7.943282347242818,0.12589254117941673,90.45630892013978,101.0
10.0,10.0,0.12589254117941673,89.47929397032074,101.12201845430197
10.0,12.589254117941675,0.12589254117941673,88.39596811541854,101.25892541179417
10.0,15.848931924611142,0.12589254117941673,87.19653885825407,101.41253754462275
10.0,19.952623149688808,0.12589254117941673,85.87077589697384,101.58489319246111
10.0,25.11886431509582,0.12589254117941673,84.40812678013245,101.77827941003892
10.0,31.622776601683793,0.12589254117941673,82.79787959884018,101.99526231496887
10.0,39.810717055349734,0.12589254117941673,81.02938270212746,102.23872113856834
10.0,50.11872336272725,0.12589254117941673,79.09233212361805,102.51188643150958
10.0,63.095734448019364,0.12589254117941673,76.97713750446351,102.81838293126445
10.0,79.43282347242821,0.12589254117941673,74.67537638563604,103.16227766016837
10.0,100.0,0.12589254117941673,72.1803442755215,103.54813389233576
10.0,125.89254117941675,0.12589254117941673,69.48770317557594,103.98107170553497
10.0,158.48931924611142,0.12589254117941673,66.59622343202675,104.46683592150964
10.0,199.52623149688807,0.12589254117941673,63.50860198403143,105.01187233627273
10.0,251.18864315095823,0.12589254117941673,60.23232353374536,105.6234132519035
10.0,316.22776601683796,0.12589254117941673,56.7805095719275,106.30957344480194
10.0,398.1071705534973,0.12589254117941673,53.17267426323916,107.07945784384137
10.0,501.18723362727246,0.12589254117941673,49.43527839911797,107.94328234724281
10.0,630.9573444801937,0.12589254117941673,45.60194804428208,108.91250938133746
10.0,794.3282347242822,0.12589254117941673,41.71321143372616,110.00000000000001
10.0,1000.0,0.12589254117941673,37.815617345985146,111.22018454301963
10.0,0.1,0.15848931924611134,97.76644422890435,100.12589254117941
10.0,0.12589254117941673,0.15848931924611134,97.64723189187784,100.14125375446227
10.0,0.15848931924611134,0.15848931924611134,97.51364752193446,100.15848931924612
10.0,0.19952623149688797,0.15848931924611134,97.36398230750027,100.1778279410039
10.0,0.251188643150958,0.15848931924611134,97.19633044621521,100.19952623149689
10.0,0.31622776601683794,0.15848931924611134,97.00856805101107,100.22387211385683
10.0,0.3981071705534973,0.15848931924611134,96.7983302281155,100.25118864315095
10.0,0.5011872336272724,0.15848931924611134,96.56298629037163,100.28183829312644
10.0,0.6309573444801934,0.15848931924611134,96.29961311033001,100.31622776601684
10.0,0.7943282347242815,0.15848931924611134,96.00496667431216,100.35481338923357
10.0,1.0,0.15848931924611134,95.67545197526958,100.3981071705535
10.0,1.2589254117941675,0.15848931924611134,95.30709148389977,100.44668359215096
10.0,1.584893192461114,0.15848931924611134,94.8954925703163,100.50118723362728
10.0,1.9952623149688797,0.15848931924611134,94.43581441998738,100.56234132519035
10.0,2.511886431509581,0.15848931924611134,93.92273520632979,100.6309573444802
10.0,3.1622776601683795,0.15848931924611134,93.35042055830627,100.70794578438414
10.0,3.981071705534973,0.15848931924611134,92.71249470594849,100.79432823472428
10.0,5.011872336272725,0.15848931924611134,92.00201611230635,100.89125093813374
10.0,6.309573444801933,0.15848931924611134,91.21145991986243,101.0
10.0,7.943282347242818,0.15848931924611134,90.33271016550326,101.12201845430197
10.0,10.0,0.15848931924611134,89.35706546128925,101.25892541179417
10.0,12.589254117941675,0.15848931924611134,88.2752627045579,101.41253754462275
