generation,pareto,id,smiles,genes,mw_g_mol,clogp,tpsa_A2,hbd,pka_assumed,logd74_proxy,cns_mpo_proxy,qed,sa_score,rotatable_bonds,fsp3,pocket_geometry_score,steric_overlap_per_atom_A2,pharmacophore_contact_proxy,mmff_status,predicted_kd_nM,confirmed_novel,synthetic_route_validated
12,True,Gcc601569829e,CC(=O)Nc1cc(C2CC2)co1,"[5, 5, 11]",165.19199999999998,2.1154,42.24,1,0.0,2.115399982710426,5.7756333419781205,0.7288185912927779,2.9378632397295164,2,0.4444444444444444,19.882249770700152,0.122222484785573,0.9969013292640586,0,,,False
12,True,Gf564492353cd,O=C(Nc1ccccc1)c1cc(N2CCOCC2)cs1,"[4, 2, 14]",288.37200000000007,2.8370000000000006,41.57000000000001,1,9.0,1.2262257744880438,5.333333333333333,0.9439940473208634,2.0603212712714907,3,0.26666666666666666,7.117272614275799,0.615965604478115,0.0018557378771112264,0,,,False
12,True,G12f4b7c3660c,N#Cc1ccc(C(=O)N2CCOCC2)cc1,"[0, 17, 4]",216.23999999999995,1.03068,53.33,0,0.0,1.0306799827104256,6.0,0.7041617357049904,1.76490365929482,1,0.3333333333333333,7.913649789252181,0.36979999382168716,1.3826739686157695e-11,0,,,False
12,True,Gfc6d935a7520,Clc1ccc(-c2ccccc2)cc1,"[0, 14, 1]",188.65699999999998,4.0070000000000014,0.0,0,0.0,4.006999982710427,3.4964999999999993,0.6346172430604236,1.0954863087132818,1,0.0,12.192881000744618,0.10090361400299129,0.0,0,,,False
12,True,G9befda2b08e7,c1ccc(-c2cccc(-c3ccccc3)c2)cc1,"[1, 14, 12]",230.31,5.0206000000000035,0.0,0,0.0,5.020599982710429,3.0,0.5794896680157823,1.0268896615884557,2,0.0,12.356794772879939,0.09586944666258174,0.0,0,,,False
12,True,Gc02d8e978085,O=C(Nc1cc(Cl)co1)c1ccncc1,"[5, 6, 1]",222.63100000000003,2.5803000000000003,55.13,1,5.0,2.5785744749712074,5.54404609584773,0.8498044046374743,2.594291616120554,2,0.0,19.873175114661247,0.10382813450575464,1.9862192093685338,0,,,False
12,True,Gda82b0828f9f,Cc1ccc(-c2ccccc2)cc1,"[0, 14, 2]",168.23899999999998,3.662020000000002,0.0,0,0.0,3.6620199827104276,3.8379800086447853,0.6092016568043107,1.0697798309804867,1,0.07692307692307693,13.57944592043475,0.16034792540110476,0.0,0,,,False
12,True,Ga51e2049e205,CCOc1ccc(C2CC2)cc1,"[0, 10, 11]",162.23199999999997,2.9627000000000017,9.23,0,0.0,2.9626999827104274,4.518650008644786,0.6635697767752864,1.4413456338060264,3,0.45454545454545453,19.09296977667731,0.12267246264196156,0.8341090933671738,0,,,False
12,True,G1f001663f24c,CNS(=O)(=O)c1ccnc(-c2ccccc2)c1,"[2, 15, 12]",248.30700000000002,1.6566999999999998,59.06,1,5.0,1.654974474971207,5.833333333333333,0.8982383910309468,1.8701742741482477,3,0.08333333333333333,9.38114128862942,0.5959574142782427,0.39452484064586624,0,,,False
12,True,Ga7fe394a253e,CC(=O)Nc1ccc(Cl)cc1,"[0, 5, 1]",169.611,2.2984,29.1,1,0.0,2.298399982710426,5.139133341978121,0.6869443648513704,1.2427972593741536,1,0.125,14.255761861147425,0.20464960785787223,0.5813046834219154,0,,,False
12,True,G0453ea8be7dd,CC(=O)Nc1ccc(-c2ccccc2)cc1,"[0, 14, 10]",211.26399999999998,3.312000000000001,29.1,1,0.0,3.311999982710427,4.476333341978119,0.8107896420472547,1.2526832579570275,2,0.07142857142857142,14.12579893839931,0.12443755006060922,0.9374756954383526,0,,,False
12,True,Gaaff24b02248,O=C(Nc1ccccc1)c1ccc(Cl)cc1,"[0, 2, 1]",231.68200000000002,3.5923000000000016,29.1,1,0.0,3.5922999827104274,4.196033341978119,0.8409326520489111,1.1603143616359564,2,0.0,18.021537957719644,0.13930117922133198,0.9577778395646962,0,,,False
12,True,Gfa991c50c5b6,O=C(NC1CCCC1)c1cccc(-c2ccccc2)c1,"[1, 18, 12]",265.35599999999994,4.0260000000000025,29.1,1,0.0,4.025999982710428,3.7753333333333323,0.8917000371495367,1.5271129270733148,3,0.2777777777777778,14.556659004637734,0.16070196753958785,0.9907229299069458,0,,,False
12,True,G1821c874272a,Fc1ccc(-c2ccccc2)cc1,"[0, 14, 0]",172.20199999999997,3.492700000000001,0.0,0,0.0,3.492699982710427,4.007300008644786,0.6172445494970527,1.1048944058792731,1,0.0,16.827691697246472,0.13348096717086078,0.13409016746362545,0,,,False
12,True,G2d0a3c65af3a,O=C(Nc1ccccc1)C1CCN(c2ccccc2)CC1,"[6, 2, 12]",280.37100000000004,3.5417000000000023,32.34,1,9.0,1.9309257744880455,4.679483333333333,0.9323231384582071,1.4922987072808063,3,0.2777777777777778,10.026210114743128,0.3759440844380352,0.30264077845030507,0,,,False
12,True,Ge3a44cd028b3,CNS(=O)(=O)c1ccnc(C(F)(F)F)c1,"[2, 15, 15]",240.20599999999996,1.0085,59.06,1,5.0,1.006774474971207,5.833333333333333,0.838780474549518,2.369838444247703,2,0.2857142857142857,15.397324894437173,0.265055126240035,0.9892064530124205,0,,,False
12,True,G6a5ddca468ad,COc1ccnc(-c2ccncc2)c1,"[2, 9, 13]",186.214,2.1522000000000006,35.010000000000005,0,5.0,2.1504744749712077,5.6752627625143965,0.7203902948836506,1.8212997226527392,2,0.09090909090909091,18.22327247763531,0.11003005363250744,1.8146642419650958,0,,,False
12,True,Gbf3a3de0c0bf,CC(=O)Nc1ccc(C(=O)Nc2ccccc2)cc1,"[0, 2, 10]",254.28900000000002,2.8973000000000004,58.2,2,0.0,2.897299982710426,5.051350008644787,0.8843772868530372,1.3114027896783629,3,0.06666666666666667,8.277632984665907,0.15903935673881095,0.18465281704763428,0,,,False
12,True,G3eea60e45e56,CNS(=O)(=O)c1cc(C(F)(F)F)co1,"[5, 15, 15]",229.17899999999997,1.2065000000000001,59.31,1,0.0,1.2064999827104257,5.833333333333333,0.8286033064142385,2.9225882779998305,2,0.3333333333333333,17.4985995286451,0.1917339691386312,0.7372541427311513,0,,,False
12,True,Gef6fca66ca7f,CC(=O)NCCc1ncc(C)cn1,"[3, 16, 2]",179.22299999999998,0.46361999999999975,54.88,1,5.0,0.46189447497120695,5.833333333333333,0.7331639865079852,2.259308980778057,3,0.4444444444444444,19.684187063966924,0.0485849648045089,1.9863311374022663,0,,,False
12,True,Gf4bd0c90851f,O=C(NC1CCCC1)c1ccc(-c2ccccc2)cc1,"[0, 18, 12]",265.35599999999994,4.0260000000000025,29.1,1,0.0,4.025999982710428,3.7753333333333323,0.8917000371495367,1.467098063970317,3,0.2777777777777778,8.466886950957807,0.5577096528299726,0.8149864904195421,0,,,False
12,True,Gb989d60cc470,O=C(Nc1ccccc1)c1ccc(C2CC2)cc1,"[0, 2, 11]",237.302,3.8163000000000027,29.1,1,0.0,3.8162999827104285,3.972033341978118,0.8635317611261063,1.3777713431516787,3,0.1875,17.893377343321983,0.2626258701792524,0.9984461056426202,0,,,False
12,True,Gf92910409c0b,CCOc1ncc(-c2ccncc2)cn1,"[3, 10, 13]",201.229,1.9372999999999998,47.900000000000006,0,5.0,1.935574474971207,6.0,0.7609388638024754,2.12844955237035,3,0.18181818181818182,16.81182817203876,0.07991845030269726,1.5047766099746136,0,,,False
12,True,G1405de9f56a8,CCOc1ccc(OC)cc1,"[0, 9, 6]",152.19299999999998,2.0938999999999997,18.46,0,0.0,2.0938999827104254,4.953050008644787,0.6598906467530797,1.1489670856768832,3,0.3333333333333333,13.468685508566386,0.09072242998615933,0.09899740664121791,0,,,False
12,True,G709a91d564ab,NC(=O)c1csc(NC(=O)c2ccncc2)c1,"[4, 6, 8]",247.279,1.4942999999999997,85.08,2,5.0,1.4925744749712069,5.5,0.8613105255899149,2.32327523568671,3,0.0,19.00206775047149,0.14926602698200897,1.9900168615288805,0,,,False
12,True,G6c1443c8d080,CCOc1ccc(NC(C)=O)cc1,"[0, 10, 10]",179.219,2.0437,38.33,1,0.0,2.0436999827104256,5.7279833419781205,0.7706788668096719,1.313193596162673,3,0.3,11.914973175828226,0.08436384520040845,0.0032562187737717203,0,,,False
12,True,G81721fd07003,O=C(Nc1ccc(-c2ccccc2)cc1)C1CC1,"[0, 7, 12]",237.302,3.7021000000000015,29.1,1,0.0,3.7020999827104273,4.086233341978119,0.8660047148479035,1.3479541833883637,3,0.1875,12.707780571196931,0.15859099855487427,0.9689464651607534,0,,,False
12,True,G93db80e09c1d,COc1ccc(-c2ccccc2)cc1,"[0, 9, 12]",184.23800000000003,3.3622000000000014,9.23,0,0.0,3.362199982710427,4.137800008644786,0.6949649441287624,1.0967406232155916,2,0.07692307692307693,12.142115293593148,0.05203649387649091,0.0007294778758175827,0,,,False
12,True,G5fa4f9354700,CNS(=O)(=O)c1ccc(F)cc1,"[0, 15, 0]",189.21099999999998,0.7338,46.17,1,0.0,0.7337999827104257,5.833333333333333,0.7452140042060936,1.5731829075616854,2,0.14285714285714285,17.36823165810269,0.11769962463393675,0.9991694531041758,0,,,False
12,True,G35ab0177d262,NC(=O)c1ccc(-c2ccccc2)cc1,"[0, 14, 8]",197.23699999999997,2.4524999999999997,43.09,1,0.0,2.4524999827104255,5.607083341978121,0.7890687326247524,1.265521312006065,2,0.0,11.555673908746206,0.04803558077353858,0.01416180984710152,0,,,False
12,True,G4075f18953f6,O=C(NC1CCCC1)c1ccc(Cl)cc1,"[0, 18, 1]",223.70299999999995,3.0124000000000013,29.1,1,0.0,3.012399982710427,4.775933341978119,0.8206971811832318,1.4523606679989083,2,0.4166666666666667,16.26796474558051,0.10935230183648051,0.9510809039176402,0,,,False
