time_day,mean_eob,sem_eob,mean_targeted_effect,mean_mab_effect,mean_combo_effect
8.0,0.004718476602212467,0.00038133529140523513,0.0612891868463139,0.12223713679529387,0.18079954166878834
8.25,0.0055305326420779346,0.00041944011318228964,0.06590536334218733,0.1283217033010124,0.1913515762038073
8.5,0.006408445226093029,0.0004599612498202708,0.07062813007053217,0.13445183193925708,0.20204803441526825
8.75,0.007353744046676888,0.000502831031785633,0.07544748455403753,0.140620970412841,0.21287314968856738
9.0,0.00836829601357189,0.0005479367141009873,0.08035348387816275,0.1468227890175104,0.22381209165053145
9.25,0.009450705096091513,0.0005953642986723972,0.08533648101903284,0.1530511944428688,0.23484758725258487
9.5,0.01059587290584914,0.0006454133205715094,0.09038820003383716,0.15930034199476772,0.24596038770151066
9.75,0.011803897004809105,0.0006979977919425925,0.09549978516016377,0.16556464532378545,0.2571364930474536
10.0,0.013075260924963075,0.0007529814550332521,0.10066266526837545,0.17183878302340305,0.26836309093351124
10.25,0.014407250915941017,0.0008104104895700522,0.10586849961611348,0.17811770171983338,0.27962492413187545
10.5,0.01579356460910448,0.0008705183171152765,0.11111019608089732,0.18439661560845289,0.2909047161273645
10.75,0.01723318604975262,0.0009331621834266122,0.11638056587895024,0.19067100264045614,0.30219090567196855
11.0,0.018725573548263055,0.0009981498692568692,0.12167278251476339,0.19693659781544987,0.3134732016489499
11.25,0.020267146143683593,0.0010654537219799125,0.126980094076137,0.2031893841871765,0.32473881588524833
11.5,0.021850933507200736,0.0011352088234611458,0.13229679660498775,0.20942558227464558,0.3359728613443726
11.75,0.023475278859951668,0.001207207781451564,0.1376173963917004,0.2156416385511709,0.34716635230110804
12.0,0.025139091237904233,0.0012812045054202232,0.14293674884504015,0.22183421360545372,0.3583115435252872
12.25,0.02683844147853412,0.001357102661909329,0.14824959433096718,0.22800017044105986,0.3693981372097372
12.5,0.028566242304284305,0.001434948846602023,0.1535515020051192,0.2341365632334792,0.3804136685935496
12.75,0.030320641726273953,0.0015144993376908196,0.15883846173611427,0.24024062673138666,0.3913515605095577
13.0,0.0321004027736375,0.0015954890365046772,0.16410677195502055,0.24630976638347904,0.4022063883032701
13.25,0.033901648237726595,0.0016777902363952623,0.16935244003560815,0.2523415492018632,0.41297014563816176
13.5,0.03571756284690768,0.0017614031216751302,0.17457210259501235,0.2583336953278345,0.4236326191395747
13.75,0.037546376551097174,0.001846095493527797,0.17976297858423432,0.2642840702472455,0.4341893275308697
14.0,0.03938694078455473,0.0019316287022396925,0.18492255455050824,0.27019067760214094,0.444636831292423
14.25,0.04123869026159644,0.002017945760802062,0.19004787585123237,0.27606679610814955,0.4549844548612502
14.5,0.0430983942626825,0.002105111032692733,0.19513644362958604,0.28192672323622386,0.465239789657204
14.75,0.044964168874570054,0.002192937858151612,0.20018647388938074,0.2877678215168445,0.4753984811293375
15.0,0.04683478011888156,0.0022812375058922597,0.20519641326911092,0.293587573578192,0.48545718189152154
15.25,0.0487066847473888,0.0023699300166013042,0.21016414217626195,0.29938359586775337,0.4954100177123525
15.5,0.05057369758989669,0.002459036955039186,0.21508784870543568,0.3051536347127174,0.5052488631897449
