time_h,plasma_mg_l,free_plasma_nm,liver_mg_l,kidney_mg_l,brain_mg_l,lung_mg_l,rest_mg_l,amount_blood_mg,amount_liver_mg,amount_gut_depot_mg,amount_kidney_mg,amount_brain_mg,amount_lung_mg,amount_rest_mg,hepatic_eliminated_mg,renal_eliminated_mg,presystemic_loss_mg,auc_to_time_mg_h_l
2.5666666666666664,0.23180620266663363,51.51248948147415,0.8284074094664288,0.5543914047231306,1.4938098240557072,0.21459790369685822,1.168471083674518,1.159031013333168,1.4911333370395718,7.679108965515197,0.1718613354641705,2.09133375367799,0.10729895184842911,71.26505139330885,6.229298905604226,0.5737932414574642,9.232089103448477,0.7650576552766191
2.6,0.2308479210377135,51.299538008380786,0.81875216711798,0.5520766540592121,1.486494614323627,0.21370985666264938,1.1720048008212047,1.1542396051885675,1.4737539008123641,7.427357834672989,0.17114376275835574,2.081092460053078,0.10685492833132469,71.48057280208528,6.268144133350442,0.5795763569124618,9.257264216532697,0.7727684758832826
2.6333333333333333,0.22991848155705835,51.09299590156853,0.8094065942626231,0.5498316281809648,1.4794007753170146,0.21284854009572848,1.175407301562871,1.1495924077852917,1.4569318696727216,7.183860083000688,0.17044780473609908,2.0711610854438205,0.10642427004786424,71.68809132231951,6.306541288157973,0.5853358778336623,9.281613991699928,0.7804478371115496
2.6463708474008025,0.22956259803097862,51.013910673550804,0.8058333475503585,0.5489720205704788,1.4766849206168282,0.2125187415363021,1.176703344949632,1.147812990154893,1.4505000255906453,7.090808286333354,0.17018132637684844,2.0673588888635592,0.10625937076815105,71.76713700847806,6.321440624197618,0.5875823085677604,9.290919171366662,0.7834430780903472
2.6666666666666665,0.22901695415603554,50.892656479119005,0.8003605895049327,0.547654079986184,1.472521426357509,0.21201309207190575,1.1786828823437099,1.1450847707801777,1.440649061108879,6.948345129131756,0.16977276479571704,2.0615299969005125,0.10600654603595287,71.88786899414286,6.3445047371175365,0.5910725135973399,9.305165487086821,0.7880966847964533
2.7,0.2281424375277683,50.69831945061518,0.7916043771482204,0.5455418316993775,1.4658498676884697,0.2112026773152285,1.181835699921813,1.1407121876388415,1.4248878788667967,6.720551273403545,0.16911796782680702,2.0521898147638575,0.10560133865761424,72.08015933823137,6.382048377988897,0.5967869506601768,9.327944872659643,0.7957159342135691
2.7292289205545637,0.22739713907648718,50.532697572552706,0.7841573301258248,0.5437417368191405,1.4601656317358802,0.21051201099837846,1.1845024607326124,1.1369856953824358,1.4114831942264847,6.52695982349061,0.16855993841393355,2.044231884430232,0.10525600549918923,72.24280508008204,6.414634348241792,0.6017800132798977,9.347304017650936,0.8023733510398637
2.7333333333333334,0.22729405835218405,50.509790744929795,0.7831284967108201,0.5434927730248041,1.4593795796867057,0.21041648648077016,1.1848697760073656,1.1364702917609202,1.4096312940794762,6.500225392613294,0.1684827596376893,2.043131411561388,0.10520824324038508,72.26520763868923,6.419185655070956,0.6024798533055397,9.349977460738668,0.803306471074053
2.7666666666666666,0.22647097054623702,50.32688234360823,0.7749237929992029,0.5415048593568547,1.4531042215824055,0.20965373546061822,1.1877890016394452,1.132354852731185,1.3948628273985653,6.2871226530382796,0.16786650640062495,2.0343459102153676,0.10482686773030911,72.44325120998977,6.455929574148046,0.6081518643492162,9.371287734696168,0.8108691524656216
2.8,0.22567235458558327,50.14941213012962,0.7669814072013954,0.539576110160069,1.4470176301233504,0.208913664755965,1.1905971411076888,1.1283617729279163,1.3805665329625119,6.081006253672181,0.1672685941496214,2.0258246821726904,0.1044568323779825,72.61451963615794,6.4922927158716215,0.6138036057722944,9.391899374632777,0.8184048076963927
2.8146812863009507,0.22532817040513442,50.072926756696546,0.7635642631085899,0.5387448852355021,1.444395188471581,0.20859471293306073,1.191799659942593,1.126640852025672,1.374415673595462,5.992381433552276,0.16701091442300564,2.0221532638602135,0.10429735646653036,72.68786125989875,6.508190813254949,0.6162865769759066,9.400761856644769,0.8217154359678756
2.8333333333333335,0.22489741675592834,49.97720372353963,0.7592927673954267,0.5377046071770433,1.4411138172909552,0.20819553878394081,1.193297836107273,1.1244870837796417,1.3667269813117682,5.881647155905269,0.16668842822488342,2.017559344207337,0.10409776939197041,72.77923502418258,6.528287249890451,0.6194356793941511,9.411835284409468,0.8259142391922015
