regimen,dose_mg,daily_dose_mg,coverage_24h_pct,cmax_ss_mg_l,ctrough_ss_mg_l,feasible,status
QD,586.8512969538073,586.8512969538073,100.0,6.34721829221165,4.057696689787891,False,converged
QD,592.5252525252525,592.5252525252525,100.0,6.408586197129322,4.096928418267941,False,converged
QD,600.5050505050506,600.5050505050506,100.0,6.4948934439028,4.152103553802065,False,converged
QD,608.4848484848485,608.4848484848485,100.0,6.581200690676277,4.207278689336188,False,converged
QD,613.4104917994798,613.4104917994798,100.0,6.6344750610488425,4.241336323146663,False,converged
QD,616.4646464646465,616.4646464646465,100.0,6.667507937449754,4.262453824870311,False,converged
QD,624.4444444444445,624.4444444444445,100.0,6.753815184223231,4.317628960404434,False,converged
QD,632.4242424242425,632.4242424242425,100.0,6.840122430996709,4.372804095938558,False,converged
QD,640.4040404040404,640.4040404040404,100.0,6.926429677770185,4.427979231472681,False,converged
QD,641.1716790996495,641.1716790996495,100.0,6.934732241632394,4.4332869559512575,False,converged
QD,648.3838383838385,648.3838383838385,100.0,7.012736924543662,4.483154367006804,False,converged
QD,656.3636363636364,656.3636363636364,100.0,7.099044171317139,4.538329502540927,False,converged
QD,664.3434343434344,664.3434343434344,100.0,7.185351418090617,4.593504638075051,False,converged
QD,670.1892575613957,670.1892575613957,100.0,7.248578195052141,4.633924720034031,False,converged
QD,672.3232323232323,672.3232323232323,100.0,7.271658664864093,4.648679773609174,False,converged
QD,680.3030303030304,680.3030303030304,100.0,7.357965911637571,4.703854909143297,False,converged
QD,688.2828282828283,688.2828282828283,100.0,7.444273158411047,4.759030044677421,False,converged
QD,696.2626262626263,696.2626262626263,100.0,7.530580405184525,4.814205180211545,False,converged
QD,700.5200878201738,700.5200878201737,100.0,7.576627909921624,4.843642769867786,False,converged
QD,704.2424242424242,704.2424242424244,100.0,7.6168876519580015,4.869380315745667,False,converged
QD,712.2222222222223,712.2222222222223,100.0,7.703194898731479,4.924555451279791,False,converged
QD,720.2020202020202,720.2020202020202,100.0,7.789502145504955,4.979730586813914,False,converged
QD,728.1818181818182,728.1818181818184,100.0,7.875809392278433,5.034905722348038,False,converged
QD,732.2236038595838,732.2236038595838,100.0,7.919524207462921,5.062852052961315,False,converged
QD,736.1616161616162,736.1616161616162,100.0,7.962116639051909,5.09008085788216,False,converged
QD,744.1414141414142,744.1414141414142,100.0,8.048423885825388,5.145255993416284,False,converged
