time_min,salt_m,dar_0_signal,dar_1_signal,dar_2_signal,dar_3_signal,dar_4_signal,dar_5_signal,dar_6_signal,dar_7_signal,dar_8_signal,total_signal
24.175,0.4639285714285714,5.0032444200082394e-08,1.1582796956707253e-06,9.95931531469853e-06,4.023776442191825e-05,8.523006949265719e-05,0.0001019852314808808,7.50276465134537e-05,4.2686731116388606e-05,0.00045148844504168764,0.0008078235155215555
24.18,0.46371428571428575,5.000987306756632e-08,1.1577052940721364e-06,9.953696293192101e-06,4.0211088959142995e-05,8.516080274060601e-05,0.00010187690277310535,7.491091205570917e-05,4.2558534312724634e-05,0.0004471275497682228,0.0008030072020698427
24.185000000000002,0.4634999999999999,4.9987317209037e-08,1.157131319768012e-06,9.948082027486105e-06,4.018444002791323e-05,8.509162046009415e-05,0.00010176874680451237,7.479445061242272e-05,4.2430920679604934e-05,0.0004427465378877065,0.0007981719171367171
24.19,0.46328571428571425,4.99647766107129e-08,1.15655777233452e-06,9.94247251221312e-06,4.0157817593037924e-05,8.502252251371829e-05,0.000101660763207542,7.467826133042176e-05,4.23038866438517e-05,0.0004383470692160907,0.0007933193155658207
24.195,0.4630714285714286,4.994225125882809e-08,1.1559846513483494e-06,9.936867742013306e-06,4.0131221619384213e-05,8.495350876435444e-05,0.0001015529516156126,7.456234335987357e-05,4.2177428659943546e-05,0.00043393079296292277,0.0007884510416267116
24.2,0.4628571428571429,4.9919741139632164e-08,1.1554119563867181e-06,9.931267711534365e-06,4.010465207187757e-05,8.488457907515749e-05,0.00010144531166311802,7.444669585426955e-05,4.2051543209755946e-05,0.00042949934672614466,0.000783568728009384
24.205000000000002,0.4626428571428571,4.9897246239390145e-08,1.1548396870273664e-06,9.925672415431543e-06,4.007810891550161e-05,8.481573330956041e-05,0.00010133784298542406,7.433131797040942e-05,4.192622680230436e-05,0.0004250543555095692,0.0007786739948414674
24.21,0.4624285714285714,4.987476654438263e-08,1.1542678428485571e-06,9.920081848367649e-06,4.005159211529792e-05,8.474697133127365e-05,0.00010123054521886594,7.421620886838645e-05,4.1801475973490624e-05,0.0004205974307638227,0.0007737684487288979
24.215,0.46221428571428574,4.985230204090561e-08,1.1536964234290759e-06,9.914496005012989e-06,4.0025101636365994e-05,8.467829300428444e-05,0.00010112341800074464,7.410136771157095e-05,4.167728728585112e-05,0.0004161301694514226,0.0007688536818207227
24.22,0.4620000000000001,4.982985271527049e-08,1.1531254283482302e-06,9.908914880045383e-06,3.999863744386312e-05,8.4609698192856e-05,0.00010101646096932403,7.398679366659545e-05,4.155365732830878e-05,0.00041165415313673063,0.0007639312708987869
24.225,0.46178571428571424,4.980741855380421e-08,1.1525548571858486e-06,9.90333846815015e-06,3.9972199503004194e-05,8.454118676152712e-05,0.00010090967376382771,7.387248590333933e-05,4.143058271592725e-05,0.00040717094710136586,0.0007590027764928813
24.23,0.4615714285714286,4.978499954284902e-08,1.151984709522279e-06,9.897766764020095e-06,3.994578777906177e-05,8.447275857511124e-05,0.0001008030560244365,7.37584435949138e-05,4.130806008966818e-05,0.0004026820994857156,0.0007540697420219923
24.235,0.4613571428571429,4.976259566876253e-08,1.1514149849383893e-06,9.892199762355496e-06,3.991940223736573e-05,8.440441349869591e-05,0.00010069660739228457,7.364466591764633e-05,4.1186086116150474e-05,0.00039818914045704716,0.0007491336929621529
24.240000000000002,0.4611428571428571,4.9740206917917733e-08,1.1508456830155654e-06,9.886637457864067e-06,3.989304284330332e-05,8.433615139764205e-05,0.00010059032750945663,7.353115205106584e-05,4.1064657487412766e-05,0.00039369358140479483,0.0007441961360414729
24.245,0.4609285714285714,4.971783327670302e-08,1.1502768033357114e-06,9.881079845261014e-06,3.9866709562319004e-05,8.426797213758339e-05,0.00010048421601898556,7.3417901177888e-05,4.09437709206787e-05,0.00038919691416347345,0.0007392585584628015
24.25,0.46071428571428574,4.9695474731522014e-08,1.1497083454812482e-06,9.87552691926892e-06,3.984040235991434e-05,8.419987558442574e-05,0.00010037827256484855,7.330491248399974e-05,4.082342315812375e-05,0.00038470061026361506,0.0007343224271544088
24.255,0.4605000000000001,4.967313126879364e-08,1.1491403090351137e-06,9.86997867461782e-06,3.98141212016478e-05,8.413186160434624e-05,0.00010027249679196452,7.319218515844505e-05,4.07036109666457e-05,0.0003802061202111855,0.0007293891880491565
24.26,0.46028571428571424,4.965080287495211e-08,1.1485726935807589e-06,9.864435106045166e-06,3.978786605313486e-05,8.406393006379287e-05,0.00010016688834619091,7.30797183934098e-05,4.0584331137636927e-05,0.0003757148727957813,0.0007244602653924475
24.265,0.4600714285714286,4.96284895364469e-08,1.1480054987021527e-06,9.858896208295783e-06,3.976163688004762e-05,8.399608082948376e-05,0.00010006144687432121,7.296751138420756e-05,4.046558048675967e-05,0.00037122827442795023,0.0007195370610793045
24.27,0.4598571428571429,4.9606191239742696e-08,1.1474387239837754e-06,9.853361976121893e-06,3.9735433648114906e-05,8.39283137684064e-05,9.995617202408124e-05,7.285556332926459e-05,4.034735585372302e-05,0.0003667477085058564,0.0007146209540207921
24.275000000000002,0.4596428571428571,4.958390797131943e-08,1.1468723690106218e-06,9.847832404283081e-06,3.9709256323122004e-05,8.386062874781708e-05,9.985106344412658e-05,7.274387343010555e-05,4.022965410206294e-05,0.0003622745348115767,0.000709713299540076
24.28,0.4594285714285714,4.956163971767218e-08,1.1463064333681983e-06,9.842307487546298e-06,3.96831048709107e-05,8.37930256352403e-05,9.974612078404008e-05,7.263244089133926e-05,4.011247211892473e-05,0.00035781008893718896,0.0007048154287982762
24.285,0.45921428571428574,4.953938646531121e-08,1.1457409166425245e-06,9.83678722068583e-06,3.965697925737903e-05,8.372550429846806e-05,9.964134369432794e-05,7.252126492064406e-05,3.9995806814847075e-05,0.00035335568174076656,0.0006999286482502264
24.29,0.4590000000000001,4.951714820076197e-08,1.1451758184201284e-06,9.831271598483308e-06,3.963087944848126e-05,8.365806460555908e-05,9.95367318264175e-05,7.241034472875378e-05,3.98796551235492e-05,0.00034891259883245286,0.0006950542391303178
24.295,0.45878571428571424,4.949492491056496e-08,1.1446111382880509e-06,9.825760615727674e-06,3.9604805410227703e-05,8.359070642483832e-05,9.943228483265409e-05,7.229967952944345e-05,3.976401400171996e-05,0.0003444821000906285,0.0006901934569684383
24.3,0.4585714285714286,4.94727165812759e-08,1.1440468758338396e-06,9.820254267215197e-06,3.957875710868467e-05,8.352342962489648e-05,9.932800236629836e-05,7.218926853951546e-05,3.9648880428809506e-05,0.0003400654192082417,0.0006853475311360765
24.305,0.4583571428571429,4.945052319946549e-08,1.1434830306455522e-06,9.814752547749414e-06,3.9552734509974344e-05,8.345623407458898e-05,9.922388408152291e-05,7.207911097878515e-05,3.953425140682245e-05,0.00033566376326924245,0.0006805176644225307
24.310000000000002,0.4581428571428571,4.9428344751719514e-08,1.1429196023117556e-06,9.80925545214117e-06,3.9526737580274615e-05,8.338911964303541e-05,9.911992963340977e-05,7.196920607006711e-05,3.942012396011395e-05,0.00033127831235513363,0.0006757050326412391
24.315,0.4579285714285714,4.940618122463893e-08,1.1423565904215206e-06,9.803762975208577e-06,3.9500766285819084e-05,8.332208619961927e-05,9.901613867794771e-05,7.18595530391614e-05,3.930649513518806e-05,0.00032691021918153113,0.0006709107842661215
24.32,0.45771428571428574,4.938403260483956e-08,1.141793994564427e-06,9.798275111776994e-06,3.947482059289685e-05,8.325513361398693e-05,9.891251087202869e-05,7.175015111483956e-05,3.919336200049733e-05,0.00032256060876458285,0.0006661360400977785
24.325,0.4575000000000001,4.936189887895229e-08,1.1412318143305594e-06,9.792791856679042e-06,3.9448900467852436e-05,8.318826175604706e-05,9.880904587344576e-05,7.164099952883097e-05,3.908072164624555e-05,0.00031823057811715367,0.0006613818929594639
24.330000000000002,0.45728571428571424,4.933978003362303e-08,1.140670049310507e-06,9.787313204754571e-06,3.942300587708564e-05,8.312147049597002e-05,9.870574334088971e-05,7.153209751580906e-05,3.896857118419187e-05,0.0003139211959745409,0.0006566494074225859
24.335,0.4570714285714286,4.931767605551264e-08,1.140108699095363e-06,9.781839150850663e-06,3.939713678705155e-05,8.305475970418748e-05,9.860260293394665e-05,7.142344431337832e-05,3.885690774745773e-05,0.0003096335025495315,0.0006519396195615548
24.34,0.4568571428571429,4.92955869312969e-08,1.1395477632767254e-06,9.776369689821591e-06,3.9371293164260296e-05,8.298812925139135e-05,9.849962431309477e-05,7.131503916206002e-05,3.874572849033482e-05,0.00030536850931650014,0.000647253536737671
24.345,0.45664285714285724,4.927351264766652e-08,1.1389872414466928e-06,9.770904816528849e-06,3.934547497527699e-05,8.292157900853346e-05,9.83968071397018e-05,7.12068813052792e-05,3.863503058809595e-05,0.0003011271988243241,0.0006425921374118347
24.35,0.4564285714285714,4.9251453191327145e-08,1.1384271331978667e-06,9.765444525841103e-06,3.931968218672161e-05,8.285510884682484e-05,9.829415107602198e-05,7.109896998935135e-05,3.852481123680752e-05,0.0002969105245377472,0.0006379563709857048
24.355,0.45621428571428574,4.922940854899933e-08,1.137867438123351e-06,9.759988812634204e-06,3.929391476526898e-05,8.278871863773508e-05,9.819165578519376e-05,7.09913044634691e-05,3.84150676531443e-05,0.000292719410706885,0.0006333471576710028
24.36,0.45600000000000007,4.920737870741843e-08,1.1373081558167476e-06,9.754537671791159e-06,3.9268172677648524e-05,8.272240825299177e-05,9.808932093123657e-05,7.088388397968882e-05,3.830579707420541e-05,0.00028855475226444605,0.0006287653883865324
24.365000000000002,0.45578571428571424,4.9185363653334664e-08,1.1367492858721587e-06,9.749091098202125e-06,3.9242455890644186e-05,8.265617756457977e-05,9.798714617904793e-05,7.07767077929177e-05,3.819699675733304e-05,0.0002844174147503264,0.0006242119246825767
24.37,0.45557142857142857,4.916336337351311e-08,1.1361908278841877e-06,9.743649086764405e-06,3.9216764371094494e-05,8.259002644474076e-05,9.788513119440129e-05,7.066977516090077e-05,3.808866397993291e-05,0.00028030823426311737,0.0006196875986922098
24.375,0.4553571428571429,4.9141377854733596e-08,1.1356327814479337e-06,9.738211632382423e-06,3.919109808589216e-05,8.252395476597244e-05,9.778327564394277e-05,7.056308534420751e-05,3.7980796039296e-05,0.000276228017438049,0.0006151932131090449
24.38,0.45514285714285724,4.911940708379085e-08,1.1350751461589944e-06,9.732778729967714e-06,3.916545700198424e-05,8.2457962401028e-05,9.768157919518864e-05,7.045663760621925e-05,3.787339025242291e-05,0.000272177541450945,0.0006107295411909986
24.385,0.4549285714285714,4.90974510474942e-08,1.1345179216134626e-06,9.727350374438925e-06,3.9139841086371814e-05,8.239204922291541e-05,9.758004151652233e-05,7.035043121311621e-05,3.7766443955849605e-05,0.00026815755404763935,0.0006062973267895146
24.39,0.45471428571428574,4.9075509732667897e-08,1.1339611074079308e-06,9.72192656072179e-06,3.911425030611014e-05,8.232621510489711e-05,9.747866227719225e-05,7.024446543386486e-05,3.765995450547537e-05,0.00026416877359836767,0.0006018972844037697
24.395,0.45450000000000007,4.9053583126150794e-08,1.1334047031394829e-06,9.716507283749127e-06,3.9088684628308244e-05,8.226045992048908e-05,9.737744114730862e-05,7.013873954020499e-05,3.755391927639183e-05,0.00026021188917654104,0.0005975300992592586
24.400000000000002,0.45428571428571424,4.903167121479647e-08,1.132848708405698e-06,9.71109253846081e-06,3.9063144020128975e-05,8.219478354346018e-05,9.727637779784064e-05,7.003325280663703e-05,3.744833566271445e-05,0.00025628756066139254,0.0005931964274102551
24.405,0.45407142857142857,4.900977398547327e-08,1.1322931228046518e-06,9.705682319803776e-06,3.903762844878903e-05,8.212918584783194e-05,9.71754719006146e-05,6.99280045104098e-05,3.7343201077415736e-05,0.0002523964188638894,0.0005888968958655444
24.41,0.4538571428571429,4.898789142506413e-08,1.1317379459349105e-06,9.70027662273201e-06,3.9012137881558505e-05,8.206366670787759e-05,9.707472312831027e-05,6.982299393150757e-05,3.7238512952159526e-05,0.0002485390656752848,0.0005846321027367903
24.415,0.45364285714285724,4.896602352046665e-08,1.1311831773955328e-06,9.694875442206517e-06,3.8986672285761114e-05,8.19982259981216e-05,9.69741311544587e-05,6.971822035263794e-05,3.713426873713768e-05,0.00024471607423774607,0.0005804026174089856
24.42,0.4534285714285714,4.894417025859305e-08,1.1306288167860707e-06,9.689478773195328e-06,3.896123162877391e-05,8.19328635933389e-05,9.687369565343956e-05,6.961368305921916e-05,3.70304659009081e-05,0.00024092798913638697,0.0005762089807323066
