permeability_scenario,time_h,external_adc_molecules_per_cell,free_surface_receptor_molecules_per_cell,bound_adc_molecules_per_cell,endosome_adc_molecules_per_cell,lysosome_adc_molecules_per_cell,recycling_receptor_molecules_per_cell,degraded_adc_molecules_per_cell,cytoplasm_payload_molecules_per_cell,exported_payload_molecules_per_cell,metabolized_payload_molecules_per_cell
High permeability,71.10000000000001,3093524.0198845463,177594.97372782903,615192.971204712,207212.0550670334,84447.55327408196,207212.0550670334,2021764.1605692052,549213.428579044,6553450.201726407,983017.5302589606
High permeability,71.2,3090553.374293644,177732.26723971145,615087.9145225016,207179.81823736138,84415.17739222191,207179.81823736138,2024904.47555385,549141.4704493124,6564433.750939165,984665.0626408743
High permeability,71.3,3087583.3932461124,177869.74143409083,614982.7189221251,207147.53964335858,84382.76588365213,207147.53964335858,2028044.3423043308,549069.376317962,6575415.859604022,986312.3789406029
High permeability,71.4,3084614.077677245,178007.39661576864,614877.3841674919,207115.21921631388,84350.31882608749,207115.21921631388,2031183.760112441,548997.1464562997,6586396.52502215,987959.478753322
High permeability,71.5,3081645.428522336,178145.2330895462,614771.9100225122,207082.85688751607,84317.83629724287,207082.85688751607,2034322.7282699721,548924.7811356322,6597375.744494716,989606.3616742068
High permeability,71.60000000000001,3078677.4467166783,178283.25116022496,614666.2962510955,207050.452588254,84285.31837483318,207050.452588254,2037461.246068718,548852.280627266,6608353.515322893,991253.0272984335
High permeability,71.7,3075710.133195567,178421.45113260625,614560.5426171516,207018.0062498165,84252.76513657329,207018.0062498165,2040599.3128004705,548779.6452025082,6619329.8348078495,992899.4752211769
High permeability,71.8,3072743.488894295,178559.83331149153,614454.6488845905,206985.51780349246,84220.17666017807,206985.51780349246,2043736.927757023,548706.8751326654,6630304.700250757,994545.705037613
High permeability,71.9,3069777.514748156,178698.3980016822,614348.6148173215,206952.9871805707,84187.55302336242,206952.9871805707,2046874.0902301683,548633.970689044,6641278.108952788,996191.7163429178
High permeability,72.0,3066812.211692444,178837.1455079796,614242.4401792547,206920.41431234003,84154.8943038412,206920.41431234003,2050010.7995116988,548560.9321429511,6652250.05821511,997837.508732266
Low permeability,0.0,6022140.760000001,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low permeability,0.1,5928162.476450253,906022.9219853267,93738.84808937051,238.22992530336057,1.1757791806756253,238.22992530336057,0.02975589097388936,0.11892657576678188,4.796505259922528e-06,7.194757889883793e-05
Low permeability,0.2,5845101.35420806,822969.9031006112,176120.92839112092,909.16850827024,8.855290947056966,909.16850827024,0.4536016043492646,1.8117404237102646,0.00014733697275731432,0.0022100545913597146
Low permeability,0.30000000000000004,5771480.456611341,749370.0450232003,248676.02343422725,1953.9315425761667,28.159418667591474,1953.9315425761667,2.1889931925997774,8.737292322478282,0.0010744496280326902,0.01611674442049035
Low permeability,0.4,5706060.797921878,683989.5775474019,312688.95044609025,3321.4720065136553,62.941803869591546,3321.4720065136553,6.597821656047873,26.31720249403883,0.004349711594833469,0.06524567392250202
Low permeability,0.5,5647795.618844671,625786.2422636797,369246.38857626636,4967.369160060816,116.01538997212153,4967.369160060816,15.368029038820836,61.25755279883518,0.012756744499055766,0.1913511674858365
Low permeability,0.6000000000000001,5595794.865466611,573873.8632381797,419273.29587774404,6852.840884083955,189.34316015243616,6852.840884083955,30.414611416765258,121.14951411809926,0.030514959513196126,0.45772439269794185
Low permeability,0.7000000000000001,5549297.3042225465,527494.5402708773,463561.52859417733,8943.93113495366,284.198844538063,8943.93113495366,53.79720379287843,214.13745747403058,0.06342234058275303,0.9513351087412956
Low permeability,0.8,5507648.418548882,485996.6127323865,502792.5510968296,11210.836170791852,401.3021489439086,11210.836170791852,87.65203456035128,348.6454999785914,0.11893783175735921,1.784067476360388
Low permeability,0.9,5470282.73004275,448817.03866181226,537555.6195694859,13627.341768708271,540.9322105692821,13627.341768708271,134.13640849407375,533.154948071671,0.2062142433253082,3.093213649879623
Low permeability,1.0,5436709.5391494315,415467.1856474308,568362.464376571,16170.349976001646,703.0223790417106,16170.349976001646,195.3841189584213,776.0260898401976,0.3360911797370579,5.041367696055869
Low permeability,1.1,5406501.33355876,385521.282883639,595659.238431897,18819.478684464066,887.2389667361945,18819.478684464066,273.4703581442495,1085.3584803306328,0.5210562588777711,7.815843883166568
Low permeability,1.2000000000000002,5379284.296580207,358606.96765996603,619836.3114227819,21556.720917249007,1093.046258919319,21556.720917249007,370.3848208402964,1468.8843878947214,0.7751818019654156,11.627727029481232
Low permeability,1.3,5354730.481491095,334397.4930907708,641236.3535067873,24366.15340243565,1319.759792338695,24366.15340243565,488.01180733738636,1933.8905264349823,1.1140431403045827,16.71064710456874
Low permeability,1.4000000000000001,5332551.315721414,312605.26163536514,660161.0523626674,27233.686001954422,1566.589668183596,27233.686001954422,628.1162457681977,2487.163673417587,1.5546236687687973,23.31935503153196
Low permeability,1.5,5312492.178822214,292976.42889846803,676876.7256637706,30146.8454377402,1832.6754348786521,30146.8454377402,792.3346413747148,3134.9561325780833,2.115211128402958,31.728166926044366
Low permeability,1.6,5294327.848466298,275286.3724465859,691619.0398119211,33094.58774146424,2117.113899248146,33094.58774146424,982.1700810391069,3882.9674990937406,2.8152886282839633,42.22932942425944
Low permeability,1.7000000000000002,5277858.6562590785,259335.86780517167,704596.9971293665,36067.13506542595,2418.9810368455483,36067.13506542595,1198.9905092465183,4736.339544416749,3.6754234074513916,55.13135111177086
Low permeability,1.8,5262907.225395569,244947.84401499855,715996.3228306317,39055.833154327265,2737.3490182291957,39055.833154327265,1444.0296011990877,5699.661487212635,4.717155642635608,70.75733463953411
Low permeability,1.9000000000000001,5249315.689108119,231964.61797686885,725982.3555459735,42053.02647710919,3071.2992209407366,42053.02647710919,1718.3896478073277,6776.983280125372,5.962889150610205,89.44333725915305
Low permeability,2.0,5236943.308303647,220245.52622909966,734702.5252643033,45051.948506543005,3419.9319684868256,45051.948506543005,2023.045956964538,7971.834908000611,7.435785380696266,111.53678071044398
Low permeability,2.1,5225664.422375907,209664.8883546952,742288.486599885,48046.62504535474,3782.3736223923506,48046.62504535474,2358.8523563934905,9287.250022574473,9.159661724397688,137.39492586596532
Low permeability,2.2,5215366.679362449,200110.24837110296,748857.9628028633,51031.78882595827,4157.781551582764,51031.78882595827,2726.5474570691704,10725.792538388969,11.158894860044613,167.3834229006692
Low permeability,2.3000000000000003,5205949.50268731,191480.85149445693,754516.3445501542,54002.80395530289,4545.347419891467,54002.80395530289,3126.7613872533693,12289.585022016357,13.45832964858075,201.87494472871128
Low permeability,2.4000000000000004,5197322.756002274,183686.31794351825,759358.0832443655,56955.59881201922,4944.299144962671,56955.59881201922,3560.0227962800946,13980.338068418529,16.083193759646512,241.24790639469768
Low permeability,2.5,5189405.578944981,176645.4867048065,763467.9068345975,59886.60646049117,5353.901832530365,59886.60646049117,4026.7659272930878,15799.379857893618,19.059018246053647,285.8852736908047
Low permeability,2.6,5182125.368151005,170285.40370688462,766921.8846801337,62792.71161286954,5773.457926233948,62792.71161286954,4527.337629642961,17747.68537752857,22.411564004109874,336.1734600616481
Low permeability,2.7,5175416.882038914,164540.43301987165,769788.3636786605,65671.20330134819,6202.306763371984,65671.20330134819,5062.004217584931,19825.904935832143,26.16675399185186,392.5013098777778
Low permeability,2.8000000000000003,5169221.452665932,159351.4744548325,772128.7929344205,68519.73261061891,6639.823694736819,68519.73261061891,5630.958094162918,22034.391648509372,30.35061105750782,455.2591658626172
Low permeability,2.9000000000000004,5163486.290832147,154665.27380838897,773998.4512706731,71336.2749207965,7085.4188980088275,71336.2749207965,6234.324078231538,24373.227650861554,34.98920115096714,524.8380172645071
Low permeability,3.0,5158163.871340706,150433.81272811562,775447.0911673183,74119.09610440937,7538.535979285433,74119.09610440937,6872.165408123458,26842.248935481533,40.10858162938242,601.6287244407362
Low permeability,3.1,5153211.387096805,146613.7669413699,776519.5108762899,76866.72218216988,7998.650432609135,76866.72218216988,7544.489411954871,29441.068779220263,45.734754407016375,686.0213161052453
Low permeability,3.2,5148590.265877471,143166.02671566998,777256.061086831,79577.91219731962,8465.268035950254,79577.91219731962,8251.252802247576,32169.09959559462,51.893623610146214,778.4043541521928
Low permeability,3.3000000000000003,5144265.739280092,140055.2691176611,777693.0970750941,82251.6338070542,8937.92320958423,82251.6338070542,8992.366627983252,35025.573349394646,58.61095746710695,879.1643620066039
Low permeability,3.4000000000000004,5140206.458429904,137249.57668382637,777863.3819642313,84887.04135174127,9416.177377780168,84887.04135174127,9767.700876141087,38009.56050614308,65.91235415581899,988.6853123372845
Low permeability,3.5,5136384.15139862,134720.09748822346,777796.4463431666,87483.4561684015,9899.61736398263,87483.4561684015,10577.08872562,41119.98753326804,73.82321128016936,1107.3481692025402
Low permeability,3.6,5132773.31726659,132440.74157319812,777518.9095246133,90040.34890197235,10387.853837017223,90040.34890197235,11420.330469590583,44355.65302223595,82.36869865790575,1235.5304798685859
Low permeability,3.7,5129350.951131613,130387.90807802982,777054.7683934101,92557.32352832866,10880.519807180646,92557.32352832866,12297.19713923594,47715.24256506308,91.57373431978968,1373.6060147968449
