scenario,time_h,radius_um,extracellular_nm,neighbor_intracellular_nm,hypothetical_neighbor_survival,neighbor_cell_volume_um3
High permeability,0.5,88.75,2.7891865821323083e-09,6.757525905010036e-11,0.9999999999999917,173226.10992200216
High permeability,0.5,91.25,1.7892171503936243e-09,4.321338218994736e-11,0.9999999999999947,183122.12678081
High permeability,0.5,93.75,1.147825693264085e-09,2.763863183802388e-11,0.9999999999999967,193293.03299680696
High permeability,0.5,96.25,7.363902088810005e-10,1.7679604827535378e-11,0.9999999999999979,203738.82856999306
High permeability,0.5,98.75,4.724457369333453e-10,1.1310382926794083e-11,0.9999999999999987,214459.5135003682
High permeability,0.5,101.25,3.0311067643359934e-10,7.236402712687245e-12,0.9999999999999991,225455.08778793245
High permeability,0.5,103.75,1.944688861085666e-10,4.630219073387094e-12,0.9999999999999994,236725.55143268587
High permeability,0.5,106.25,1.2476520189626181e-10,2.962833137893331e-12,0.9999999999999997,248270.90443462835
High permeability,0.5,108.75,8.004361622160543e-11,1.895980126527005e-12,0.9999999999999998,260091.14679375992
High permeability,0.5,111.25,5.135062543213471e-11,1.2133217105405363e-12,0.9999999999999999,272186.27851008065
High permeability,0.5,113.75,3.2941772246538655e-11,7.764776138626399e-13,0.9999999999999999,284556.2995835904
High permeability,0.5,116.25,2.1131345267511328e-11,4.969221297029813e-13,0.9999999999999999,297201.21001428936
High permeability,0.5,118.75,1.3554497733345637e-11,3.180169187457534e-13,1.0,310121.0098021774
High permeability,0.5,121.25,8.693872444334671e-12,2.035218483880749e-13,1.0,323315.6989472545
High permeability,0.5,123.75,5.575892482782388e-12,1.302469466125526e-13,1.0,336785.27744952077
High permeability,0.5,126.25,3.575895411133448e-12,8.335215707334602e-14,1.0,350529.7453089761
High permeability,0.5,128.75,2.293098678809658e-12,5.3340400526893067e-14,1.0,364549.10252562055
High permeability,0.5,131.25,1.4703700099530963e-12,3.413370611110967e-14,1.0,378843.3490994541
High permeability,0.5,133.75,9.427468887895974e-13,2.1842190725875406e-14,1.0,393412.48503047676
High permeability,0.5,136.25,6.04403473358061e-13,1.3976311231015937e-14,1.0,408256.5103186885
High permeability,0.5,138.75,3.874548585792714e-13,8.942743556560124e-15,1.0,423375.4249640894
High permeability,0.5,141.25,2.48357150467801e-13,5.721754699049423e-15,1.0,438769.2289666794
High permeability,0.5,143.75,1.5918158608879705e-13,3.660719817695396e-15,1.0,454437.9223264585
High permeability,0.5,146.25,1.0201614439995337e-13,2.3419695161796766e-15,1.0,470381.5050434267
