KD_apical_nM,time_h,plasma_antibody_nmol,surface_receptor_nmol,surface_complex_nmol,endosomal_receptor_nmol,endosomal_complex_nmol,endosomal_free_antibody_nmol,brain_free_antibody_nmol,systemic_cleared_nmol,lysosomal_degraded_nmol,brain_cleared_nmol
100.0,40.0,90.32313326065757,0.018573274595090145,0.004904953411293225,0.0064414862686940745,8.02857251126727e-05,0.005043634652164905,0.03534141677748694,209.6065508384231,0.008233827805653947,0.016711782547445878
100.0,40.25,89.64800267394563,0.01861994739493375,0.004880629497916262,0.006419614104620287,7.980900271981814e-05,0.005019522408938288,0.035416101034527865,210.2814394215544,0.008273165556113418,0.01688867699957087
100.0,40.5,88.97791789903046,0.018666509462007364,0.004856366614151161,0.006397789720847539,7.933420318405326e-05,0.004995462427399685,0.035489211501517445,210.95128347214373,0.008312313145211183,0.017065940934178316
100.0,40.75,88.31284122811898,0.018712959928526292,0.004832165190121296,0.006376013551373358,7.88613301691721e-05,0.004971455189796872,0.03556075864644654,211.61612069401053,0.008351271005231671,0.01724356650855588
100.0,41.0,87.65273523915474,0.018759297936388947,0.004808025650821921,0.006354286025791383,7.839038718786547e-05,0.004947501173197155,0.03563075290895763,212.27598850522068,0.008390039572103183,0.017421545932131476
100.0,41.25,86.99756279387101,0.01880552263719736,0.0047839484161153216,0.0063326075692747355,7.792137760269839e-05,0.004923600849469473,0.03569920470022946,212.93092404003372,0.00842861928535563,0.01759987146632673
100.0,41.5,86.34728701971243,0.018851633193750897,0.0047599338995085875,0.006310978602316349,7.745430461428203e-05,0.004899754685981017,0.035766124403057625,213.58096416698112,0.008467010588172275,0.017778535424931068
100.0,41.75,85.70187132385622,0.01889762877860846,0.004735982509353792,0.006289399540952939,7.698917127492704e-05,0.004875963144872054,0.03583152237154523,214.22614547484585,0.008505213927254444,0.017957530173439824
100.0,42.0,85.06127938617783,0.01894350857457361,0.004712094648459198,0.006267870796671726,7.652598048558225e-05,0.0048522266832633784,0.035895408931049325,214.86650427969687,0.008543229752808919,0.018136848129071893
100.0,42.25,84.42547516613187,0.01898927177412976,0.004688270714733442,0.006246392776325716,7.606473500120056e-05,0.004828545752549424,0.03595779437823915,215.50207661800863,0.008581058518494025,0.018316481760310907
100.0,42.5,83.79442290102199,0.019034917579452575,0.004664511101196115,0.006224965882109677,7.560543743174936e-05,0.004804920798354972,0.03601868898099302,216.13289824839174,0.008618700681378228,0.01849642358675024
100.0,42.75,83.16808706695387,0.01908044520492393,0.004640816193242653,0.0062035905117991865,7.514809022434814e-05,0.004781352263367558,0.03607810297759598,216.75900469063933,0.008656156701952925,0.01867666618025475
