scenario,KD_apical_nM,initial_plasma_nM,pH_slope,receptor_nmol,plasma_AUC_nM_h,brain_AUC_nM_h,Kp_extravascular,Kp_with_vascular_contamination,lysosomal_loss_nmol
pH_sensitivity,7.498942093324558,100.0,1.4,0.03,2947.5746229267916,12.016050765228055,0.004076589163091901,0.0540765891630919,0.02334658647108296
pH_sensitivity,10.0,100.0,1.4,0.03,2947.6058661797692,11.793246571925492,0.004000957762785998,0.054000957762785996,0.022464607050796025
pH_sensitivity,13.33521432163324,100.0,1.4,0.03,2947.6460379735768,11.486807244444561,0.0038969425421043484,0.05389694254210435,0.02150537162003104
pH_sensitivity,17.78279410038923,100.0,1.4,0.03,2947.69617107864,11.088533066648015,0.0037617625505109056,0.053761762550510905,0.020436255629520193
pH_sensitivity,23.71373705661655,100.0,1.4,0.03,2947.7570053634036,10.591664941977209,0.003593126883493388,0.05359312688349339,0.01923479476710588
pH_sensitivity,31.622776601683793,100.0,1.4,0.03,2947.8287467718,9.993091370224393,0.0033899836892383717,0.05338998368923837,0.017891775633996743
pH_sensitivity,42.169650342858226,100.0,1.4,0.03,2947.91082610022,9.29566656654394,0.00315330656688864,0.05315330656688864,0.01641384731626729
pH_sensitivity,56.23413251903491,100.0,1.4,0.03,2948.0018420697793,8.510094667854386,0.0028867331581718027,0.05288673315817179,0.014824548215113894
pH_sensitivity,74.98942093324558,100.0,1.4,0.03,2948.099364695457,7.655718849246421,0.0025968320270769664,0.05259683202707697,0.013162851460691977
pH_sensitivity,100.0,100.0,1.4,0.03,2948.2002961690464,6.759669655564511,0.0022928122164386756,0.05229281221643868,0.011478959210349011
pH_sensitivity,133.3521432163324,100.0,1.4,0.03,2948.301045426142,5.854224119002905,0.0019856263077628646,0.051985626307762864,0.009827910026375284
pH_sensitivity,177.82794100389228,100.0,1.4,0.03,2948.3980684723033,4.972802972639702,0.0016866117997480351,0.05168661179974804,0.008262276501679159
pH_sensitivity,237.13737056616552,100.0,1.4,0.03,2948.488274502541,4.145560211885333,0.0014059951493565826,0.05140599514935658,0.0068255598655979684
pH_sensitivity,316.22776601683796,100.0,1.4,0.03,2948.5693776300404,3.3957219967218073,0.0011516507030440548,0.05115165070304405,0.005547706379889394
pH_sensitivity,421.6965034285823,100.0,1.4,0.03,2948.640093005166,2.737566798374587,0.0009284167317906001,0.050928416731790604,0.0044435107633062155
pH_sensitivity,562.341325190349,100.0,1.4,0.03,2948.700078597488,2.176321831250572,0.0007380614417339155,0.05073806144173392,0.0035137893721300037
pH_sensitivity,749.8942093324558,100.0,1.4,0.03,2948.749745080569,1.7096076985936213,0.0005797737503651432,0.05057977375036514,0.0027484733078628415
pH_sensitivity,1000.0,100.0,1.4,0.03,2948.790035875909,1.3296988236636684,0.0004509303163284376,0.05045093031632844,0.0021304716503135045
pH_sensitivity,1333.521432163324,100.0,1.4,0.03,2948.8221695119,1.0258710005424931,0.0003478917824035144,0.05034789178240352,0.001639312750997263
pH_sensitivity,1778.2794100389228,100.0,1.4,0.03,2948.8474466212388,0.7863515138350571,0.0002666640197803556,0.05026666401978035,0.0012539814240481735
pH_sensitivity,2371.373705661655,100.0,1.4,0.03,2948.8671115366415,0.5996798989247456,0.00020335941778409103,0.050203359417784095,0.0009547841570028836
pH_sensitivity,3162.2776601683795,100.0,1.4,0.03,2948.8822832824976,0.45550181510266213,0.00015446592008265184,0.05015446592008265,0.0007243508079904858
pH_sensitivity,4216.965034285822,100.0,1.4,0.03,2948.893902853725,0.34492309468279286,0.00011696693948500533,0.05011696693948501,0.0005479991856156394
pH_sensitivity,5623.413251903491,100.0,1.4,0.03,2948.9027696226626,0.26057186417553857,8.836231118223033e-05,0.05008836231118223,0.0004136954824034909
pH_sensitivity,7498.942093324558,100.0,1.4,0.03,2948.909497632367,0.19649396176166373,6.663275421623676e-05,0.05006663275421623,0.0003117971813349433
pH_sensitivity,10000.0,100.0,1.4,0.03,2948.9145898874276,0.14797063545715103,5.0177999717109366e-05,0.0500501779997171,0.00023470625691066323
dose_sensitivity,0.1,1.0,0.7,0.03,29.378122789438596,0.15432295048681755,0.005252988817321455,0.055252988817321456,0.010774515183836948
