id,turnover_half_life_h,time_since_washout_h,free_active_fraction,EI_fraction,covalent_fraction,inhibited_fraction
W04,8.0,0.03053242652541003,0.004443419805631976,-6.00745691268031e-13,0.9955565802021384,0.9955565802015377
W04,8.0,0.03206491386491865,0.00457560094256649,-2.5356944426584827e-13,0.9954243990648557,0.9954243990646021
W04,8.0,0.03367431999906686,0.004714397637979978,4.904544591142236e-13,0.9952856023686972,0.9952856023691877
W04,8.0,0.03536450564553641,0.00486013999987488,1.2819019548657695e-12,0.9951398600060098,0.9951398600072917
W04,8.0,0.03713952529962982,0.005013174506322575,1.1550081264795527e-12,0.9949868254996879,0.9949868255008428
W04,8.0,0.039003636960381,0.005173864804367223,1.0086927619028154e-12,0.9948261352017884,0.9948261352027971
W04,8.0,0.04096131234483922,0.005342592551956746,7.494931067883091e-13,0.9946574074544569,0.9946574074552064
W04,8.0,0.04301724761503092,0.0055197582963657935,5.674015319053519e-14,0.9944802417107393,0.9944802417107961
W04,8.0,0.04517637464332913,0.005705782393639011,-2.380248911722508e-13,0.9942942176137596,0.9942942176135215
W04,8.0,0.0474438728432572,0.005901105974698266,-3.0162783424777167e-13,0.9940988940327626,0.994098894032461
W04,8.0,0.049825181594104095,0.0061061919538312305,-2.827819837483946e-13,0.9938938080536093,0.9938938080533265
W04,8.0,0.052326013289159166,0.006321526085270063,-1.7615887948075373e-13,0.9936784739220622,0.993678473921886
W04,8.0,0.05495236703886395,0.006547618069668463,-3.700016267605349e-13,0.993452381937856,0.993452381937486
W04,8.0,0.05771054306175582,0.006785002710515203,-5.017872044171322e-13,0.9932149972971394,0.9932149972966375
W04,8.0,0.06060715779772214,0.007034241125968021,-5.312235419292377e-13,0.9929657588817142,0.992965758881183
W04,8.0,0.06364915977982183,0.0072959220152759826,-4.074559367610138e-13,0.9927040779922806,0.9927040779918731
W04,8.0,0.0668438463027474,0.0075706629835447636,-6.691193044984086e-14,0.9924293370236693,0.9924293370236024
W04,8.0,0.07019888092791121,0.00785911192723491,4.410047465832577e-15,0.9921408880799057,0.9921408880799102
W04,8.0,0.07372231186715121,0.008161948481463758,6.346685342020661e-14,0.9918380515256157,0.9918380515256792
W04,8.0,0.07742259128915166,0.00847988553389955,1.0146245619382934e-13,0.9915201144731396,0.9915201144732411
W04,8.0,0.08130859559489648,0.00881367080579727,9.756142924115916e-14,0.9911863292012434,0.991186329201341
W04,8.0,0.08538964671078815,0.009164088503252801,1.0187037756164476e-13,0.990835911503781,0.990835911503883
W04,8.0,0.08967553445051621,0.009531961042482294,9.90877560252563e-14,0.9904680389645517,0.9904680389646509
W04,8.0,0.0941765399993125,0.009918150849964702,6.42459243252153e-14,0.9900818491571013,0.9900818491571656
W04,8.0,0.09890346057693408,0.010323562241049303,4.9632641495633585e-15,0.9896764377660732,0.9896764377660782
W04,8.0,0.10386763533853084,0.010749143379820907,-1.9161201103021765e-14,0.9892508566273226,0.9892508566273034
W04,8.0,0.10908097257553447,0.011195888323873825,-2.6194399162661475e-14,0.9888041116832734,0.9888041116832472
W04,8.0,0.11455597828181795,0.011664839152693039,-5.994189846521336e-14,0.9883351608544847,0.9883351608544247
W04,8.0,0.12030578615364915,0.01215708818831852,-2.0357004681396752e-13,0.9878429118189993,0.9878429118187957
W04,8.0,0.12634418909540915,0.012673780313823754,-3.470659588747516e-13,0.9873262196936338,0.9873262196932867
W04,8.0,0.1326856723066456,0.013216115372642325,-4.778639919453164e-13,0.9867838846349422,0.9867838846344643
W04,8.0,0.13934544802983967,0.013785350675924402,-5.79607402331858e-13,0.9862146493317577,0.9862146493311781
W04,8.0,0.1463394920422331,0.01438280360729009,-6.313372083141716e-13,0.9856171964004394,0.985617196399808
W04,8.0,0.15368458197926171,0.015009854330146977,-6.065296647433533e-13,0.9849901456775532,0.9849901456769466
W04,8.0,0.1613983375815191,0.015667948599915552,-4.719559572112114e-13,0.9843320514076453,0.9843320514071734
W04,8.0,0.16949926296180562,0.016358600683352018,-1.8633329327140547e-13,0.9836413993239183,0.983641399323732
W04,8.0,0.1780067909936456,0.017083396370311872,-5.932684935697322e-14,0.9829166036368262,0.9829166036367669
W04,8.0,0.18694132992776183,0.017843996144419453,-7.026426899452932e-14,0.9821560038627241,0.9821560038626538
W04,8.0,0.19632431234833,0.01864213842508778,-7.468612992139467e-14,0.9813578615820544,0.9813578615819797
W04,8.0,0.20617824658644773,0.01947964292042467,-6.845196010540112e-14,0.9805203570867053,0.9805203570866368
W04,8.0,0.2165267707141608,0.020358414113233875,-4.6332584224509516e-14,0.9796415858938676,0.9796415858938213
W04,8.0,0.22739470924855745,0.021280444855253974,-1.7875281031588464e-15,0.9787195551517963,0.9787195551517945
W04,8.0,0.2388081327019688,0.022247820045197493,3.010548516365083e-14,0.977752179961814,0.977752179961844
W04,8.0,0.25079442012111286,0.02326272049773821,3.7414645474146833e-14,0.9767372795092587,0.9767372795092961
W04,8.0,0.2633823247652186,0.02432742688385908,3.8285032801156595e-14,0.9756725731231293,0.9756725731231676
W04,8.0,0.2766020430806676,0.025444323740271082,2.9650828211313364e-14,0.9745556762667178,0.9745556762667474
W04,8.0,0.2904852871376235,0.026615903637953665,7.686886573135981e-15,0.9733840963690488,0.9733840963690564
W04,8.0,0.30506536070241125,0.02784477137867888,-6.648802343015603e-15,0.972155228628329,0.9721552286283224
W04,8.0,0.32037723912812366,0.029133648469988484,-1.7065379406064288e-14,0.9708663515370206,0.9708663515370035
W04,8.0,0.33645765325511723,0.030485377492988543,-1.748722218901922e-14,0.9695146225140112,0.9695146225139937
W04,8.0,0.35334517752264105,0.0319029266514028,-8.721281840323655e-15,0.9680970733555779,0.9680970733555692
W04,8.0,0.37108032250298667,0.03338939439110576,-6.255781119538197e-14,0.9666106056159182,0.9666106056158557
W04,8.0,0.3897056320801123,0.034948014056318394,-1.18353805621782e-13,0.96505198595075,0.9650519859506317
W04,8.0,0.40926578550588005,0.03658215863907739,-1.6603997200092356e-13,0.963417841368027,0.9634178413678609
W04,8.0,0.42980770457870066,0.03829534554425473,-1.8998979338026063e-13,0.9617046544628612,0.9617046544626713
W04,8.0,0.45138066620171413,0.04009124138345675,-1.6706564144076285e-13,0.9599087586236233,0.9599087586234563
W04,8.0,0.4740364205904929,0.04197366677336824,-6.409886863633922e-14,0.9580263332335954,0.9580263332335314
W04,8.0,0.49782931541384856,0.04394660112950096,-9.450771388172348e-15,0.9560533988773938,0.9560533988773844
W04,8.0,0.5228164261655301,0.04601418738577623,-9.967697381377997e-15,0.9539858126211042,0.9539858126210942
W04,8.0,0.5490576930795446,0.0481807366692494,-9.15283538169879e-15,0.9518192633376146,0.9518192633376055
W04,8.0,0.5766160649175637,0.050450732878598546,-5.963692757592595e-15,0.9495492671282458,0.9495492671282398
W04,8.0,0.605557649973309,0.05282883711438,1.1216116115345812e-15,0.9471711628924402,0.9471711628924413
W04,8.0,0.6359518746561855,0.055319891965178565,5.583752634807921e-15,0.9446801080416192,0.9446801080416247
W04,8.0,0.6678716500345457,0.05792892550348352,7.386688876530953e-15,0.9420710745032936,0.9420710745033011
W04,8.0,0.7013935467381349,0.060661155078401925,6.723718354621712e-15,0.9393388449283562,0.939338844928363
W04,8.0,0.7365979786392383,0.06352199077423706,1.7414776287024193e-15,0.9364780092325055,0.9364780092325072
W04,8.0,0.7735693957531999,0.06651703850183396,-1.6461581848264321e-15,0.9334829615048904,0.9334829615048887
W04,8.0,0.8123964868210052,0.06965210258090514,-3.341920975701866e-15,0.9303478974257984,0.930347897425795
W04,8.0,0.8531723920599272,0.072933187862882,-2.37523075003823e-15,0.9270668121437969,0.9270668121437946
W04,8.0,0.8959949265925843,0.07636650124511671,4.029083695056917e-17,0.923633498761535,0.923633498761535
W04,8.0,0.9409668150903542,0.07995845248209563,5.853677516377244e-16,0.9200415475245297,0.9200415475245303
W04,8.0,0.988195938194071,0.08371565420473377,4.508749297145941e-16,0.9162843458018646,0.916284345801865
W04,8.0,1.0377955913030676,0.08764492113819987,3.0304385067428062e-15,0.9123550788683676,0.9123550788683706
W04,8.0,1.0898847563534213,0.09175326814294867,7.657181853251314e-15,0.9082467318635846,0.9082467318635923
W04,8.0,1.1445883872372962,0.09604790726455087,1.1649199811047169e-14,0.9039520927419474,0.9039520927419591
W04,8.0,1.2020377095481196,0.1005362435356273,1.2992394437613019e-14,0.8994637564708373,0.8994637564708503
W04,8.0,1.2623705353705736,0.10522586932253794,8.538338200845058e-15,0.8947741306838974,0.894774130683906
W04,8.0,1.3257315938705982,0.11012455726946951,5.844935662245415e-16,0.8898754427369385,0.8898754427369391
W04,8.0,1.392272878478376,0.1152402514868839,1.4682060209725412e-15,0.8847597485194865,0.8847597485194879
W04,8.0,1.4621540114971898,0.12058105615761269,2.0667730958795993e-15,0.8794189438487185,0.8794189438487207
W04,8.0,1.5355426270127785,0.1261552232317988,1.7567063516537613e-15,0.8738447767744926,0.8738447767744943
W04,8.0,1.6126147730216942,0.13197113717675985,-8.571159296195511e-17,0.8680288628294915,0.8680288628294914
W04,8.0,1.6935553337433822,0.1380372982038067,-2.2120586415887137e-16,0.8619627018024012,0.861962701802401
W04,8.0,1.7785584731289499,0.14436229999832062,-2.806439466651243e-16,0.8556377000078418,0.8556377000078415
