id,atom_zero_based,element,reaction_center,alpha_carbon,fplus_proxy,local_softness_eV_inv,electronic_method
W04,6,C,False,False,6.660298350062558e-05,2.729079999364672e-05,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,7,C,False,False,2.3517958672632943e-06,9.63656389938818e-07,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,8,C,False,False,9.663545207356619e-08,3.959670657712439e-08,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,9,N,False,False,3.1310724693798903e-07,1.282967639530105e-07,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,10,C,False,False,6.726108439777216e-05,2.7560459084211303e-05,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,11,N,False,False,0.12408923455832992,0.05084598772762617,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,12,C,False,False,0.3746488411209795,0.15351364238492626,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,13,C,False,False,1.57344610545351e-05,6.44724916329173e-06,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,14,C,False,False,0.37144924466534524,0.15220259680796233,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,15,N,False,False,0.12952200179404158,0.05307208265985171,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,16,C,False,False,6.67068046067411e-05,2.7333341046512487e-05,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,17,C,False,False,3.915402050611776e-05,1.6043493645739844e-05,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,18,H,False,False,3.9734455491380443e-07,1.6281328863616688e-07,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,19,H,False,False,2.255341813212352e-07,9.241340118210878e-08,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,20,H,False,False,4.3872805862109316e-10,1.797703206391153e-10,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,21,H,False,False,3.515705042122162e-10,1.4405721500495553e-10,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,22,H,False,False,1.031336664969016e-09,4.2259372133861973e-10,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,23,H,False,False,7.326982875012932e-10,3.0022562607420493e-10,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,24,H,False,False,2.29199373176933e-10,9.391522606464204e-11,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,25,H,False,False,3.688938723650119e-12,1.511555242791912e-12,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,26,H,False,False,2.0158576756967297e-10,8.260045684376928e-11,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,27,H,False,False,-5.956515627789892e-12,-2.4407026249134637e-12,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W04,28,H,False,False,1.925139690947142e-10,7.888325643096129e-11,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,0,C,True,False,8.093850046048283e-07,3.0934371943462894e-07,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,1,C,False,True,5.766069649723637e-07,2.20376881436728e-07,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,2,S,False,False,8.514243914025717e-08,3.2541100533784916e-08,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,3,O,False,False,1.1226790818758153e-07,4.290834657710031e-08,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,4,O,False,False,1.5001569929425652e-07,5.733540173002029e-08,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,5,C,False,False,2.069442071409901e-05,7.909325029279433e-06,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,6,C,False,False,6.936706132779484e-05,2.65118140752642e-05,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,7,C,False,False,8.75908190724254e-06,3.3476861575189197e-06,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,8,C,False,False,-1.0193366205041912e-08,-3.895863893557614e-09,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,9,N,False,False,2.0465686725379992e-07,7.821903811405492e-08,EHT/YAeHMOP; frozen-orbital LUMO population proxy
