id,concentration_M,time_s,E_fraction,EI_fraction,covalent_fraction
W08,9.085175756516881e-06,0.025601713260344647,0.756541846928618,0.24344836835529762,9.784716084585813e-06
W08,9.085175756516881e-06,0.028473339948914343,0.7332452941280599,0.26674272301308527,1.1982858855054405e-05
W08,9.085175756516881e-06,0.03166706382506866,0.7081803501357087,0.2918049905356236,1.4659328668000688e-05
W08,9.085175756516881e-06,0.03521901305221515,0.6813128162598112,0.31866927092434644,1.7912815842562585e-05
W08,9.085175756516881e-06,0.0391693681240563,0.6526318388944723,0.34734630056904814,2.1860536479745357e-05
W08,9.085175756516881e-06,0.04356281639588251,0.6221554164529308,0.37781794244495454,2.664110211487602e-05
W08,9.085175756516881e-06,0.04844905759855402,0.5899362575806432,0.41003132478151144,3.241763784560272e-05
W08,9.085175756516881e-06,0.05388336605366658,0.5560677655696981,0.4438928533261591,3.9381104143110064e-05
W08,9.085175756516881e-06,0.05992721594981196,0.520689837627353,0.47926240861688274,4.775375576441591e-05
W08,9.085175756516881e-06,0.06664897675320762,0.4839940475618169,0.5159481597978646,5.7792640318603693e-05
W08,9.085175756516881e-06,0.07412468661934475,0.4462276602866915,0.5537025467049227,6.979300838597963e-05
W08,9.085175756516881e-06,0.08243891255467224,0.4076958183242617,0.5922200901957698,8.409147996865276e-05
W08,9.085175756516881e-06,0.09168570705866917,0.3687611464269697,0.6311377847839299,0.0001010687891006136
W08,9.085175756516881e-06,0.10196967206806844,0.3298399922144507,0.6700388558616689,0.00012115192388062194
W08,9.085175756516881e-06,0.1134071422388215,0.29139455063680175,0.7084606338722678,0.00014481549093062134
W08,9.085175756516881e-06,0.1261275009513709,0.2539202880987906,0.7459071297178944,0.0001725821833151187
W08,9.085175756516881e-06,0.1402746439261954,0.21792838902166967,0.781866588658786,0.00020502231954445079
W08,9.085175756516881e-06,0.1560086070063932,0.18392344184794238,0.81583380559031,0.00024275256174763715
W08,9.085175756516881e-06,0.17350737652116863,0.15237721828168266,0.8473363476171089,0.000286434101208658
W08,9.085175756516881e-06,0.19296890270948247,0.12370020607975736,0.8759630230935175,0.00033677082672521223
W08,9.085175756516881e-06,0.21461333898019394,0.09821334746585994,0.9013921443190569,0.0003945082150831431
W08,9.085175756516881e-06,0.23868553233973622,0.07612315066943594,0.9234164154440582,0.00046043388650582085
W08,9.085175756516881e-06,0.2654577931596367,0.057503692763149004,0.9419609263647222,0.0005353808721287966
W08,9.085175756516881e-06,0.29523297561614725,0.04228887011083416,0.9570908952842925,0.0006202346048732949
W08,9.085175756516881e-06,0.3283479036486535,0.030277360682592926,0.9690066949075303,0.0007159444098765652
W08,9.085175756516881e-06,0.3651771811921163,0.021151130786457983,0.9780253293801754,0.0008235398333662336
W08,9.085175756516881e-06,0.40613742978580025,0.014506105744157007,0.9845497427027564,0.0009441515530861582
W08,9.085175756516881e-06,0.45169200149512756,0.00989125115135273,0.9890297128737814,0.0010790359748654073
W08,9.085175756516881e-06,0.5023562204603468,0.006850393436609643,0.9919200044558643,0.001229602107525584
W08,9.085175756516881e-06,0.5587032123656657,0.004960288034788946,0.9936422728666943,0.0013974390985161723
W08,9.085175756516881e-06,0.6213703877731785,0.0038591558763956682,0.9945565010985856,0.0015843430250180209
W08,9.085175756516881e-06,0.6910666526626144,0.003262121928079379,0.9949455359108929,0.001792342161026855
W08,9.085175756516881e-06,0.7685804277442345,0.0029631181541907047,0.9950131610261991,0.0020237208196093722
W08,9.085175756516881e-06,0.8547885672612593,0.0028258588784241733,0.9948930983945096,0.0022810427270652084
W08,9.085175756516881e-06,0.950666278173432,0.002768454331519571,0.9946643702221055,0.002567175446373709
W08,9.085175756516881e-06,1.0572981519298876,0.002746542715596337,0.9943681398057936,0.0028853174786088575
W08,9.085175756516881e-06,1.1758904336253515,0.002738650194849818,0.9940223204288774,0.0032390293762713913
W08,9.085175756516881e-06,1.3077846673312912,0.0027355812848173632,0.9936321490078083,0.0036322697073732585
W08,9.085175756516881e-06,1.4544728719612425,0.0027338890420838644,0.993196674700156,0.004069436257759045
W08,9.085175756516881e-06,1.617614419343306,0.002732451918863184,0.9927121354714908,0.004555412609644818
W08,9.085175756516881e-06,1.79905480542858,0.0027309510984522955,0.9921734286989844,0.005095620202562299
W08,9.085175756516881e-06,2.0008465269799025,0.002729300334259513,0.991574623579245,0.005696076086494383
W08,9.085175756516881e-06,2.2252722999029655,0.0027274681060430656,0.9909090751778921,0.006363456716063729
W08,9.085175756516881e-06,2.474870881871072,0.00272543212514185,0.9901693996261383,0.0071051682487186605
W08,9.085175756516881e-06,2.7524657913552395,0.002723169649442632,0.9893474064664546,0.007929423884101594
W08,9.085175756516881e-06,3.061197247936064,0.002720655557316281,0.9884340156150864,0.00884532882759614
W08,9.085175756516881e-06,3.4045576952138403,0.002717862175086898,0.9874191643400595,0.00986297348485227
W08,9.085175756516881e-06,3.7864313081604677,0.0027147588044287496,0.9862917056829839,0.010993535512586142
W08,9.085175756516881e-06,4.211137931829726,0.002711311550872763,0.9850392971047863,0.012249391344339609
W08,9.085175756516881e-06,4.683481948471043,0.00270748279406776,0.9836482793985618,0.013644237807369092
W08,9.085175756516881e-06,5.208806625843153,0.002703230936264147,0.9821035446647789,0.015193224398955719
W08,9.085175756516881e-06,5.793054561528709,0.0026985099980369603,0.9803883932486044,0.016913096753357358
W08,9.085175756516881e-06,6.442834907010257,0.0026932692159345765,0.978484379098884,0.018822351685180132
W08,9.085175756516881e-06,7.1654981319623365,0.0026874525510002726,0.976371143300784,0.020941404148214333
W08,9.085175756516881e-06,7.969219174511125,0.002680998214816537,0.974026235652615,0.023292766132567096
W08,9.085175756516881e-06,8.863089918077115,0.0026738381305864522,0.9714249245190605,0.025901237350351772
W08,9.085175756516881e-06,9.857222040920838,0.0026658973900354228,0.9685399953572065,0.028794107252756745
W08,9.085175756516881e-06,10.962861401850258,0.002657093667457086,0.9653415387571351,0.032001367575406434
W08,9.085175756516881e-06,12.192515256047827,0.002647336615774248,0.961796730583456,0.03555593280076839
W08,9.085175756516881e-06,13.560093740113263,0.0026365272359507,0.9578696040123515,0.0394938687516965
W08,9.085175756516881e-06,15.081067226834202,0.002624557249665582,0.953520820566782,0.043854622183551135
W08,9.085175756516881e-06,16.772641329719374,0.002611308463229315,0.9487074396546243,0.04868125188214497
W08,9.085175756516881e-06,18.653951536987154,0.0025966521596809803,0.9433826974964654,0.05402065034385223
W08,9.085175756516881e-06,20.746279676755442,0.0025804485232683804,0.9374957979530576,0.059923753523672685
