id,initial_drug_M,time_s,E_free_M,EI_M,covalent_M,free_drug_M,GSH_adduct_M,cleared_drug_M
W03,4.641588833612782e-08,8010.0,5.283488855953979e-09,7.560545197792499e-11,4.640905692044887e-09,2.8551166740056765e-09,3.213576419284672e-08,6.708496325229385e-09
W03,4.641588833612782e-08,8100.0,5.285458145865178e-09,7.553799325158476e-11,4.6390038608600276e-09,2.85136665452646e-09,3.2092040598620286e-08,6.757939228846234e-09
W03,4.641588833612782e-08,8190.0,5.287464983352929e-09,7.547101055779882e-11,4.637064006066062e-09,2.8476213573199207e-09,3.204841477162046e-08,6.807317190540354e-09
W03,4.641588833612782e-08,8280.0,5.2895082021904505e-09,7.540448905419727e-11,4.635087308732142e-09,2.8438807939094284e-09,3.200488545218611e-08,6.8566302922227174e-09
W03,4.641588833612782e-08,8370.0,5.291586670320998e-09,7.53384143548918e-11,4.6330749153009e-09,2.840144975364888e-09,3.196145141511898e-08,6.90587861596494e-09
W03,4.641588833612782e-08,8460.0,5.293699290966874e-09,7.52727725440947e-11,4.631027936465822e-09,2.8364139120942306e-09,3.191811147097869e-08,6.955062244021762e-09
W03,4.641588833612782e-08,8550.0,5.295845012645464e-09,7.520755029012494e-11,4.628947437041202e-09,2.832687612647241e-09,3.1874864477136864e-08,7.004181258989165e-09
W03,4.641588833612782e-08,8640.0,5.298022805210474e-09,7.514273455854271e-11,4.6268344602077736e-09,2.8289660861374245e-09,3.183170931174864e-08,7.05323574345221e-09
W03,4.641588833612782e-08,8730.0,5.3002316710674735e-09,7.507831274232578e-11,4.624690016166991e-09,2.8252493409348633e-09,3.178864488610003e-08,7.1022257801603796e-09
W03,4.641588833612782e-08,8820.0,5.302470643404112e-09,7.501427263808606e-11,4.622515083934593e-09,2.82153738473572e-09,3.174567014278802e-08,7.151151452008172e-09
W03,4.641588833612782e-08,8910.0,5.3047387959380895e-09,7.495060259087859e-11,4.620310601447822e-09,2.817830224657078e-09,3.17027840652837e-08,7.200012842125119e-09
W03,4.641588833612782e-08,9000.0,5.3070352189392626e-09,7.48872911465216e-11,4.618077489891006e-09,2.8141278673033675e-09,3.1659985654120617e-08,7.248810033643085e-09
W03,4.641588833612782e-08,9090.0,5.309359033585389e-09,7.482432726070736e-11,4.615816639130693e-09,2.8104303187489786e-09,3.161727394112794e-08,7.29754310983628e-09
W03,4.641588833612782e-08,9180.0,5.311709387900137e-09,7.4761700241361e-11,4.613528911835292e-09,2.8067375845834993e-09,3.1574647985363426e-08,7.346212154081019e-09
W03,4.641588833612782e-08,9270.0,5.314085463976837e-09,7.469939987278403e-11,4.611215136127168e-09,2.8030496704554793e-09,3.153210687975122e-08,7.394817249897956e-09
W03,4.641588833612782e-08,9360.0,5.316486459487923e-09,7.463741610973047e-11,4.608876124379137e-09,2.7993665810152667e-09,3.148964973376979e-08,7.443358480830674e-09
W03,4.641588833612782e-08,9450.0,5.318911599316025e-09,7.457573927476053e-11,4.6065126613860035e-09,2.795688320718466e-09,3.144727568420864e-08,7.491835930516728e-09
W03,4.641588833612782e-08,9540.0,5.321360132210958e-09,7.451436000365759e-11,4.604125507762173e-09,2.792014893637498e-09,3.1404983892035014e-08,7.540249682666263e-09
W03,4.641588833612782e-08,9630.0,5.323831336052133e-09,7.445326932256349e-11,4.601715394602092e-09,2.7883463033424187e-09,3.136277354771944e-08,7.588599821118087e-09
W03,4.641588833612782e-08,9720.0,5.326324502823701e-09,7.439245843097939e-11,4.599283038722109e-09,2.784682553246638e-09,3.1320643856022245e-08,7.636886429682631e-09
W03,4.641588833612782e-08,9810.0,5.328838948276501e-09,7.433191884268752e-11,4.5968291328576015e-09,2.7810236463869176e-09,3.127859404577316e-08,7.685109592244236e-09
W03,4.641588833612782e-08,9900.0,5.33137400979698e-09,7.427164235292284e-11,4.594354347826887e-09,2.777369585393002e-09,3.123662336778829e-08,7.733269392743505e-09
W03,4.641588833612782e-08,9990.0,5.333929050455554e-09,7.421162108830508e-11,4.5918593284329295e-09,2.7737203721167477e-09,3.119473109923234e-08,7.78136591523428e-09
