time_min,salt_m,dar_0_signal,dar_1_signal,dar_2_signal,dar_3_signal,dar_4_signal,dar_5_signal,dar_6_signal,dar_7_signal,dar_8_signal,total_signal
10.6,1.0457142857142858,3.340065825935818e-07,1.0902593230906686e-05,0.00018450845862378614,0.004802155961620113,0.011892628959796795,0.0005424728640653333,6.230418137114624e-05,4.745042785651623e-06,1.5183033565866923e-07,0.017500203898411986
10.605,1.0455,3.3361666994668254e-07,1.0885956762642401e-05,0.0001840564511933937,0.0047620964817532835,0.012042015167505657,0.0005438173007749864,6.239265105853503e-05,4.749739526199657e-06,1.5194516350122996e-07,0.017610499310408145
10.61,1.0452857142857144,3.332274407697654e-07,1.0869358450057787e-05,0.00018360611493716363,0.004722605718654099,0.012194448860364675,0.0005451667796114982,6.248130977009103e-05,4.7544432517049966e-06,1.5206012174603037e-07,0.017724417872601806
10.615,1.0450714285714287,3.32838893463783e-07,1.0852798176235435e-05,0.0001831574415650873,0.004683671841136506,0.012350004863795337,0.0005465213260160848,6.257015804600031e-05,4.759153976041335e-06,1.5217521059073125e-07,0.01784202259681535
10.620000000000001,1.044857142857143,3.324510264343698e-07,1.0836275824706682e-05,0.00018271042283889136,0.0046452833255236125,0.012508759754248245,0.0005478809655919124,6.265919642838466e-05,4.763871713116859e-06,1.522904302333684e-07,0.017963378553625536
10.625,1.0446428571428572,3.320638380918251e-07,1.0819791279449555e-05,0.00018226505057164754,0.004607428947096706,0.012670791887533084,0.0005492457241053459,6.274842546130998e-05,4.768596476874355e-06,1.52405780872353e-07,0.01808855289214338
10.63,1.0444285714285715,3.316773268510963e-07,1.0803344424886672e-05,0.00018182131662738493,0.0045700977717623706,0.01283618142693883,0.0005506156274872105,6.28378456907947e-05,4.773328281291328e-06,1.5252126270647354e-07,0.018217614859802327
10.635,1.0442142857142858,3.3129149113176366e-07,1.0786935145883233e-05,0.00018137921292070864,0.004533279147934436,0.013005010371104148,0.0005519907018340608,6.29274576648182e-05,4.778067140380094e-06,1.5263687593489532e-07,0.0183506358221115
10.64,1.044,3.3090632935802194e-07,1.0770563327744966e-05,0.00018093873141641876,0.004496962698626148,0.013177362581598576,0.0005533709734094676,6.301726193332926e-05,4.78281306818789e-06,1.5275262075716232e-07,0.018487689282329987
10.645,1.0437857142857143,3.305218399586671e-07,1.0754228856216093e-05,0.00018049986412913468,0.0044611383137494205,0.013353323810171146,0.0005547564686453085,6.310725904825473e-05,4.787566078796965e-06,1.5286849737319776e-07,0.01862885090101561
10.65,1.0435714285714286,3.3013802136707717e-07,1.0737931617477314e-05,0.00018006260312292138,0.0044257961426165445,0.013532981725623297,0.0005561472141430797,6.319744956350782e-05,4.792326186324706e-06,1.529845059833048e-07,0.018774198515400502
10.655,1.0433571428571429,3.297548720211989e-07,1.0721671498143839e-05,0.00017962694051092059,0.004390926586641105,0.013716425940260095,0.0005575432366752096,6.32878340349969e-05,4.797093404923724e-06,1.531006467881674e-07,0.018923812158544204
10.66,1.0431428571428571,3.2937239036352984e-07,1.0705448385263328e-05,0.00017919286845498322,0.004356520292233468,0.013903748035873504,0.000558944563186394,6.337841302063423e-05,4.801867748781974e-06,1.532169199888516e-07,0.019077774078213382
10.665000000000001,1.0429285714285714,3.289905748411033e-07,1.0689262166313956e-05,0.0001787603791653066,0.004322568143887578,0.014095041589208126,0.0005603512207949363,6.346918708034439e-05,4.8066492321228525e-06,1.5333332578680613e-07,0.019236168755435355
10.67,1.0427142857142857,3.286094239054721e-07,1.0673112729202449e-05,0.00017832946490007497,0.004289061257454564,0.014290402196860294,0.0005617632367941042,6.35601567760732e-05,4.811437869205308e-06,1.5344986438386294e-07,0.01939908292267181
10.675,1.0425,3.282289360126928e-07,1.0656999962262068e-05,0.00017790011796510043,0.004255990973599586,0.014489927499558528,0.0005631806386534983,6.365132267179655e-05,4.816233674323943e-06,1.5356653598223878e-07,0.019566605581557088
10.68,1.0422857142857143,3.2784910962331075e-07,1.0640923754250704e-05,0.00017747233071347166,0.004223348851437837,0.014693717205770944,0.0005646034540204298,6.374268533352904e-05,4.821036661809132e-06,1.5368334078453544e-07,0.01973882802014268
10.685,1.0420714285714285,3.2746994320234284e-07,1.0624883994348918e-05,0.0001770460955452011,0.00419112666234581,0.01490187311458678,0.0005660317107213166,6.383424532933311e-05,4.825846846027111e-06,1.538002789937412e-07,0.019915843829591016
10.69,1.0418571428571428,3.270914352192636e-07,1.0608880572158025e-05,0.0001766214049068785,0.004159316383944146,0.0151144991378132,0.0005674654367630875,6.392600322932756e-05,4.830664241380103e-06,1.5391735081323105e-07,0.02009774892025621
10.695,1.041642857142857,3.2671358414798854e-07,1.0592913377698136e-05,0.00017619825129132553,0.004127910194247748,0.015331701321231671,0.0005689046603346031,6.401795960569708e-05,4.835488862306424e-06,1.5403455644676818e-07,0.020284641537091645
10.700000000000001,1.0414285714285714,3.2633638846685885e-07,1.05769823014063e-05,0.00017577662723725413,0.0040969004659800155,0.015553587864952144,0.0005703494098080862,6.411011503270078e-05,4.840320723280576e-06,1.5415189609850475e-07,0.020476622274319452
10.705,1.0412142857142856,3.2595984665862673e-07,1.0561087234134563e-05,0.00017535652532892835,0.004066279761046755,0.01578026914280555,0.0005717997137405667,6.420247008668128e-05,4.845159838813373e-06,1.5426936997298225e-07,0.020673794089298064
