permeability_scenario,time_h,external_adc_molecules_per_cell,free_surface_receptor_molecules_per_cell,bound_adc_molecules_per_cell,endosome_adc_molecules_per_cell,lysosome_adc_molecules_per_cell,recycling_receptor_molecules_per_cell,degraded_adc_molecules_per_cell,cytoplasm_payload_molecules_per_cell,exported_payload_molecules_per_cell,metabolized_payload_molecules_per_cell
High permeability,24.5,4535553.550621784,128973.51107055735,654310.191220016,216716.2977090007,83210.5169585692,216716.2977090007,532350.203490202,513433.6320692822,1404873.916655645,210731.08749834672
High permeability,24.6,4532382.928945111,129053.7879047291,654209.513961711,216736.69813313393,83337.25022467482,216736.69813313393,535474.3687349412,514111.38339490554,1415149.3811486594,212272.40717229887
High permeability,24.700000000000003,4529212.055583272,129134.11299782633,654109.5898738046,216756.29712794317,83462.51174349384,216756.29712794317,538600.3056710585,514780.7291490052,1425438.3161909678,213815.74742864515
High permeability,24.8,4526040.943302282,129214.48721589982,654010.402467158,216775.1103165162,83586.31350798398,216775.1103165162,541727.9904056313,515441.76596197597,1435740.554664457,215361.0831996685
High permeability,24.900000000000002,4522869.604545195,129294.91140626628,653911.9356826514,216793.15291065635,83708.66742976005,216793.15291065635,544857.399431309,516094.5890887159,1446055.9319879906,216908.38979819856
High permeability,25.0,4519698.051648656,129375.38641007882,653814.1736028537,216810.43998664152,83829.58539306719,216810.43998664152,547988.5093683534,516739.2933233815,1456384.2844248705,218457.6426637305
High permeability,25.1,4516526.296714781,129455.9130549798,653717.1006226328,216826.98632196145,83949.07922647806,216826.98632196145,551121.2971137187,517375.9724541892,1466725.4500753721,220008.81751130577
High permeability,25.200000000000003,4513354.3514496265,129536.49214564872,653620.7016642857,216842.80618963958,84067.16065017361,216842.80618963958,554255.7400458461,518004.718514246,1477079.270240408,221561.89053606114
High permeability,25.3,4510182.227477019,129617.12448199457,653524.9617596266,216857.9137579528,84183.84136078425,216857.9137579528,557391.81564419,518625.6231655079,1487445.586894919,223116.83803423776
High permeability,25.400000000000002,4507009.936243988,129697.8108537473,653429.8661759146,216872.32296991206,84299.13300991028,216872.32296991206,560529.5015998472,519238.7772869109,1497824.2434307574,224673.63651461355
High permeability,25.5,4503837.4887902485,129778.55202704052,653335.4007229244,216886.04724960902,84413.04712910451,216886.04724960902,563668.7761076852,519844.26988434984,1508215.0866204526,226232.26299306782
High permeability,25.6,4500664.896058388,129859.34876236832,653241.5513398036,216899.0998974021,84525.59521968127,216899.0998974021,566809.6174842975,520442.18950984214,1518617.9640545347,227792.6946081801
High permeability,25.700000000000003,4497492.168866929,129940.20181308243,653148.3041309437,216911.49405554787,84636.78874889093,216911.49405554787,569952.0041972613,521032.62414793536,1529032.7243420559,229354.90865130827
