ligand,site,total_l_M,free_l_M,free_u_M,target_U1_occupancy,inclusion_proxy_percent,offtarget_inclusion_proxy_percent,target_ligand_occupancy,ligand_mass_error_M,u1_mass_error_M
Risdiplam-like model,WT scenario,4.641588833612782e-05,4.640852902619557e-05,9.702401742049763e-08,0.9007438196101082,90.07438196101081,3.9149831342738195,0.9623729377479199,6.776263578034403e-21,-1.3234889800848443e-23
Risdiplam-like model,WT scenario,5.411695265464637e-05,5.410886648782139e-05,9.695457870395662e-08,0.9052826139512139,90.52826139512139,4.116186893803207,0.967534014759719,6.776263578034403e-21,1.3234889800848443e-23
Risdiplam-like model,WT scenario,6.309573444801929e-05,6.308685502308703e-05,9.688071922766317e-08,0.909207187635711,90.9207187635711,4.336221323551335,0.9720066423874142,0.0,-1.3234889800848443e-23
Risdiplam-like model,WT scenario,7.356422544596406e-05,7.355448663917235e-05,9.680234434272115e-08,0.9125944178112753,91.25944178112752,4.574889405520981,0.975877471825617,0.0,0.0
Risdiplam-like model,WT scenario,8.576958985908945e-05,8.575892763191672e-05,9.671952761075368e-08,0.9155128462816607,91.55128462816607,4.831488988943322,0.9792236493194921,0.0,0.0
Risdiplam-like model,WT scenario,0.0001,9.998835440628807e-05,9.663252528314678e-08,0.9180232755915004,91.80232755915004,5.10476055223406,0.9821134756299159,0.0,0.0
Risdiplam-like model,WT scenario,0.00011659144011798311,0.0001165787574112234,9.654178202230685e-08,0.9201794199339076,92.01794199339076,5.392863792751156,0.9846071333888702,1.3552527156068805e-20,1.3234889800848443e-23
Risdiplam-like model,WT scenario,0.00013593563908785241,0.00013592187379898754,9.644792550179816e-08,0.9220285696455001,92.20285696455001,5.693391196369464,0.9867574376837549,2.710505431213761e-20,0.0
Risdiplam-like model,WT scenario,0.00015848931924611142,0.00015847443608217612,9.635174844127628e-08,0.9236122402723969,92.36122402723969,6.003423593929762,0.9886105783634227,0.0,0.0
Risdiplam-like model,WT scenario,0.00018478497974222906,0.00018476895515231773,9.625417802156889e-08,0.9249667871487344,92.49667871487344,6.319628013778774,0.9902068328109598,0.0,0.0
Risdiplam-like model,WT scenario,0.00021544346900318823,0.00021542629227427537,9.615623428661994e-08,0.9261239743814587,92.61239743814586,6.638392548723789,0.9915812356943001,0.0,0.0
Risdiplam-like model,WT scenario,0.0002511886431509582,0.00025117031693210886,9.605898076110641e-08,0.9271114932901853,92.71114932901853,6.9559875077107005,0.9927641979365401,0.0,0.0
Risdiplam-like model,WT scenario,0.00029286445646252375,0.0002928449966678926,9.59634717443307e-08,0.9279534298658384,92.79534298658383,7.268737986458727,0.9937820712757005,0.0,0.0
Risdiplam-like model,WT scenario,0.0003414548873833601,0.00034143432248430423,9.587070129279344e-08,0.9286706838277132,92.86706838277132,7.573191131837122,0.9946576576905685,0.0,1.3234889800848443e-23
Risdiplam-like model,WT scenario,0.0003981071705534969,0.00039808554032837726,9.57815586397669e-08,0.9292813435482812,92.92813435482812,7.866262243788452,0.9954106649698717,0.0,0.0
Risdiplam-like model,WT scenario,0.0004641588833612782,0.0004641362372187667,9.569679378350263e-08,0.9298010217145746,92.98010217145746,8.145347243560733,0.9960581110396319,0.0,1.3234889800848443e-23
Risdiplam-like model,WT scenario,0.0005411695265464637,0.0005411459215677074,9.56169954473627e-08,0.930243156402227,93.0243156402227,8.408394132776145,0.9966146805158659,0.0,0.0
Risdiplam-like model,WT scenario,0.000630957344480193,0.0006309328433343036,9.55425819148157e-08,0.9306192815778486,93.06192815778486,8.653931740095318,0.9970930374417684,0.0,0.0
Risdiplam-like model,WT scenario,0.0007356422544596406,0.0007356169233370949,9.547380370548743e-08,0.9309392702171848,93.09392702171849,8.881059180260648,0.9975040983881358,0.0,0.0
Risdiplam-like model,WT scenario,0.0008576958985908946,0.0008576698052751118,9.541075593013666e-08,0.9312115524588013,93.12115524588013,9.089403216485763,0.9978572701083973,0.0,0.0
Risdiplam-like model,WT scenario,0.001,0.000999973212164772,9.535339755303776e-08,0.9314433106388672,93.14433106388672,9.279052752281668,0.9981606557983519,0.0,0.0
Risdiplam-like model,WT scenario,0.0011659144011798312,0.001165886984965529,9.530157468051246e-08,0.9316406527126126,93.16406527126126,9.45048004687438,0.9984212337617506,0.0,0.0
Risdiplam-like model,WT scenario,0.0013593563908785241,0.0013593284097680371,9.52550452739439e-08,0.9318087654342276,93.18087654342277,9.604457317292137,0.9986450119668987,2.168404344971009e-19,0.0
Risdiplam-like model,WT scenario,0.001584893192461114,0.0015848647064504325,9.521350320421788e-08,0.9319520486747401,93.19520486747402,9.741975661442122,0.9988371616309667,0.0,0.0
