arm,time_day,survival,at_risk,events,censored
Targeted,5.575243414753672,0.3799999999999999,20,1,0
Targeted,5.680618070192966,0.35999999999999993,19,1,0
Targeted,5.752620934581917,0.3399999999999999,18,1,0
Targeted,5.767755533613299,0.3199999999999999,17,1,0
Targeted,5.84160658263868,0.2999999999999999,16,1,0
Targeted,5.943576648303528,0.2799999999999999,15,1,0
Targeted,6.118448252480404,0.25999999999999995,14,1,0
Targeted,6.454949222670977,0.23999999999999996,13,1,0
Targeted,7.153331591715565,0.21999999999999995,12,1,0
Targeted,7.442693967161084,0.19999999999999996,11,1,0
Targeted,9.53608685564201,0.17999999999999997,10,1,0
Targeted,13.922945498190794,0.15999999999999995,9,1,0
Targeted,20.986438113005846,0.13999999999999996,8,1,0
Targeted,60.0,0.13999999999999996,7,0,7
Anti-PD-1,0.0,1.0,50,0,0
Anti-PD-1,2.8439005191093147,0.98,50,1,0
Anti-PD-1,3.125847498162597,0.96,49,1,0
Anti-PD-1,3.1849690534445463,0.94,48,1,0
Anti-PD-1,3.659335761717353,0.9199999999999999,47,1,0
Anti-PD-1,3.713050137197956,0.8999999999999999,46,1,0
Anti-PD-1,3.7149614246698355,0.8799999999999999,45,1,0
Anti-PD-1,4.080382592513999,0.8599999999999999,44,1,0
Anti-PD-1,4.171039849337429,0.8399999999999999,43,1,0
Anti-PD-1,4.452318131069339,0.8199999999999998,42,1,0
Anti-PD-1,4.619502666566034,0.7999999999999998,41,1,0
Anti-PD-1,4.6556661730510385,0.7799999999999998,40,1,0
Anti-PD-1,4.741289528320054,0.7599999999999998,39,1,0
Anti-PD-1,4.753603421025597,0.7399999999999998,38,1,0
Anti-PD-1,4.790927030192755,0.7199999999999999,37,1,0
Anti-PD-1,4.810103724375917,0.6999999999999998,36,1,0
Anti-PD-1,4.840096323221137,0.6799999999999998,35,1,0
Anti-PD-1,5.174485049744567,0.6599999999999998,34,1,0
Anti-PD-1,5.349145054312072,0.6399999999999998,33,1,0
Anti-PD-1,5.6222627487023,0.6199999999999998,32,1,0
Anti-PD-1,5.631276780968507,0.5999999999999998,31,1,0
Anti-PD-1,5.830185447803498,0.5799999999999997,30,1,0
Anti-PD-1,5.92525622423515,0.5599999999999997,29,1,0
Anti-PD-1,6.949116332027676,0.5399999999999997,28,1,0
Anti-PD-1,7.616492895277226,0.5199999999999998,27,1,0
Anti-PD-1,7.69764957745788,0.49999999999999983,26,1,0
Anti-PD-1,8.064389406201368,0.4799999999999998,25,1,0
Anti-PD-1,9.80221168495607,0.45999999999999985,24,1,0
Anti-PD-1,9.899061782762109,0.4399999999999999,23,1,0
Anti-PD-1,60.0,0.4399999999999999,22,0,22
Combination,0.0,1.0,50,0,0
Combination,2.888099577054545,0.98,50,1,0
Combination,3.191353717343197,0.96,49,1,0
Combination,3.268548834018687,0.94,48,1,0
Combination,3.846724347692599,0.9199999999999999,47,1,0
Combination,3.8708942990241284,0.8999999999999999,46,1,0
Combination,3.8728623644735913,0.8799999999999999,45,1,0
Combination,4.486151542553927,0.8599999999999999,44,1,0
Combination,4.655268992945722,0.8399999999999999,43,1,0
Combination,5.212611752125611,0.8199999999999998,42,1,0
Combination,5.368176731516579,0.7999999999999998,41,1,0
Combination,5.448129624157733,0.7799999999999998,40,1,0
Combination,5.555820792453172,0.7599999999999998,39,1,0
Combination,5.765562837833209,0.7399999999999998,38,1,0
Combination,5.934280869055966,0.7199999999999999,37,1,0
Combination,60.0,0.7199999999999999,36,0,36
