total_BiTE_nM,KD_CD3_nM,KD_TAA_nM,free_CD3_nM,free_TAA_nM,free_BiTE_nM,CD3_BiTE_nM,TAA_BiTE_nM,trimer_nM,trimer_complexes_per_target,max_mass_balance_error_nM
4641.588833612773,10.0,0.1,0.01788100736326336,0.00035902896861383547,4616.728626114228,8.255175855773725,16.575393170037607,0.029638472732242772,17.84870547049878,9.094947017729282e-13
5623.413251903491,10.0,0.1,0.014760018432635066,0.0002961594912135059,5598.544695101681,8.263462289563208,16.58062148437386,0.024473027873390323,14.738001867695997,9.094947017729282e-13
6812.920690579608,10.0,0.1,0.012183633033535698,0.0002443257120413614,6788.045239012865,8.270305220717187,16.584939863907913,0.02020648211851115,12.168627958209715,0.0
8254.041852680173,10.0,0.1,0.010056864762291189,0.0002015819941067286,8229.160707955722,8.275955634707111,16.588506253344526,0.016682836399830762,10.04663890758325,3.552713678800501e-15
10000.0,10.0,0.1,0.008301279464709784,0.00016632843553169676,9975.114154627705,8.280621028994688,16.5914513158931,0.013773027409835553,8.29431097533679,1.8189894035458565e-12
12115.276586285852,10.0,0.1,0.00685211564821603,0.0001372485702464258,12090.386859963071,8.284472899613842,16.593883102561048,0.011370320607172612,6.847367118272214,1.8189894035458565e-12
14677.992676220676,10.0,0.1,0.005655904278465883,0.00011325856797509555,14653.09974585297,8.287652954535714,16.59589093611544,0.009386477055052848,5.652668606603853,0.0
17782.794100389227,10.0,0.1,0.004668501880250054,9.346572520403502e-05,17757.898524917928,8.290278265286899,16.597548637311178,0.007748568702082895,4.66629714124737,1.7763568394002505e-15
21544.34690031878,10.0,0.1,0.0038534655233972985,7.713448933001471e-05,21519.4491412467,8.292445534829577,16.598917201732874,0.006396335516260401,3.8519632827107406,1.7763568394002505e-15
26101.572156825332,10.0,0.1,0.003180710499283008,6.365860888943721e-05,26076.672595181215,8.294234630985837,16.600047018745464,0.00527999438411153,3.179686939312914,1.7763568394002505e-15
31622.776601683792,10.0,0.1,0.002625401665552849,5.2538278031197224e-05,31597.875552040106,8.295711510225773,16.600979709482527,0.004358423977908447,2.6247042686723803,1.7763568394002505e-15
38311.86849557277,10.0,0.1,0.0021670378866626397,4.336136102809595e-05,38286.9662176265,8.29693063589692,16.601749648330156,0.0035976620472819606,2.1665627255641744,3.836753137420601e-11
46415.888336127726,10.0,0.1,0.0017886960085049422,3.578795579771152e-05,46390.98504426602,8.297936977929108,16.602385221764884,0.002969662017783229,1.788372268071623,8.616396485194855e-11
56234.13251903491,10.0,0.1,0.0014764066154921587,2.953769397825738e-05,56209.22839023616,8.298767664705434,16.60290986944772,0.002451264596767267,1.4761860441737125,4.845901457883883e-11
68129.20690579595,10.0,0.1,0.0012186386315585949,2.4379286530145627e-05,68104.30208615374,8.299453349752355,16.603342944939364,0.002023347512571896,1.2184883527103827,2.7251090273239242e-11
82540.41852680173,10.0,0.1,0.0010058738077006358,2.0121913802484856e-05,82515.51313691256,8.300019339339807,16.603700427087613,0.001670122737051529,1.0057714209000774,1.532640681034536e-11
100000.0,10.0,0.1,0.0008302554347303265,1.6608131906034534e-05,99975.0941394117,8.300486524692257,16.603995507855693,0.001378555750863512,0.8301856777207561,8.617107027930615e-12
0.0001,10.0,1.0,8.302649972766071,16.605296351847155,3.103435235448723e-06,2.576673647307961e-06,5.15334617933906e-05,4.278642951554358e-05,0.025766590116042206,1.916908607757853e-13
0.00012115276586285888,10.0,1.0,8.302640377249727,16.60527640058908,3.7599038600027023e-06,3.121712960263554e-06,6.243424283498666e-05,5.183690654847747e-05,0.03121691477978971,3.4087150962112955e-13
0.0001467799267622069,10.0,1.0,8.30262875203247,16.605252229091672,4.555236673699098e-06,3.7820438979366887e-06,7.564085392998208e-05,6.280179286673575e-05,0.03782012366238466,6.061467246101099e-13
